Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0301,0.0048,0.1800,0.0786,0.0074,0.0749,0.1898,0.2363,0.0359,0.2147,0.0953,0.0524
1,WEEKDAY,1,0.0263,0.0036,0.1800,0.0786,0.0074,0.0749,0.1898,0.2363,0.0359,0.2248,0.0953,0.0524
1,WEEKDAY,2,0.0279,0.0041,0.1801,0.0786,0.0079,0.0751,0.1898,0.2389,0.0366,0.2265,0.0982,0.0551
1,WEEKDAY,3,0.0215,0.0020,0.1802,0.0786,0.0103,0.0757,0.1898,0.2606,0.0419,0.2413,0.1032,0.0709
1,WEEKDAY,4,0.0193,0.0012,0.1803,0.0786,0.0166,0.0775,0.1898,0.3119,0.0546,0.2700,0.1203,0.1179
1,WEEKDAY,5,0.0182,0.0013,0.1803,0.0786,0.0234,0.0792,0.1898,0.3863,0.0633,0.2910,0.1570,0.1530
1,WEEKDAY,6,0.0196,0.0011,0.1804,0.1036,0.0378,0.0811,0.1898,0.5450,0.0916,0.3748,0.1776,0.1714
1,WEEKDAY,7,0.0176,0.0009,0.1803,0.1275,0.0458,0.0846,0.0000,0.7458,0.1360,0.4901,0.1841,0.1783
1,WEEKDAY,8,0.6924,0.0047,0.2051,0.1573,0.0493,0.0872,0.0000,0.7788,0.1618,0.5850,0.1864,0.1813
1,WEEKDAY,9,0.2243,0.0211,0.1878,0.1544,0.0461,0.0886,0.0000,0.7979,0.1743,0.6260,0.1864,0.1823
1,WEEKDAY,10,0.1956,0.0582,0.1895,0.1476,0.0461,0.0887,0.0000,0.7925,0.1784,0.6260,0.1864,0.1825
1,WEEKDAY,11,0.1238,0.1012,0.1845,0.1541,0.0515,0.0888,0.0000,0.7851,0.1784,0.6260,0.1864,0.1825
1,WEEKDAY,12,0.1062,0.1194,0.1844,0.1499,0.0524,0.0888,0.0000,0.7876,0.1784,0.6260,0.1864,0.1825
1,WEEKDAY,13,0.0849,0.1348,0.1834,0.1481,0.0506,0.0885,0.0000,0.7910,0.1743,0.6258,0.1864,0.1820
1,WEEKDAY,14,0.0712,0.1429,0.1827,0.1444,0.0438,0.0877,0.0000,0.7920,0.1693,0.6034,0.1864,0.1778
