Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.0480,0.0979,0.2926,0.0918,0.7919,1.2828,0.7757,0.2166,0.0087,0.0574,0.0230
1,WEEKDAY,1,0.0462,0.0760,0.2242,0.0918,0.3511,1.2616,0.7757,0.1610,0.0072,0.0399,0.0227
1,WEEKDAY,2,0.0434,0.0690,0.2156,0.0918,0.1152,1.2495,0.6531,0.1453,0.0067,0.0246,0.0223
1,WEEKDAY,3,0.0431,0.0648,0.2692,0.0918,0.1900,1.2526,0.6403,0.1852,0.0089,0.0259,0.0222
1,WEEKDAY,4,0.0430,0.1394,0.4041,0.1381,0.4117,1.2821,0.6403,0.3210,0.0160,0.0405,0.0223
1,WEEKDAY,5,0.0725,0.2310,0.4285,0.2626,0.7196,1.3452,0.6403,0.4698,0.0259,0.0810,0.0238
1,WEEKDAY,6,0.0087,0.2811,0.6237,0.3393,1.1564,1.3717,0.3052,0.6203,0.0342,0.1450,0.0288
1,WEEKDAY,7,0.0086,0.2941,0.6789,0.4013,1.3021,1.3987,0.0000,0.7610,0.0406,0.2015,0.0354
1,WEEKDAY,8,0.0084,0.3877,0.7034,0.5199,1.5807,1.4297,0.0000,0.9271,0.0479,0.2406,0.0436
1,WEEKDAY,9,0.1266,0.6538,0.7871,0.6779,2.1653,1.4848,0.0000,1.0564,0.0557,0.2684,0.0534
1,WEEKDAY,10,0.0117,0.9568,0.8631,0.7851,2.4574,1.5143,0.0000,1.1583,0.0605,0.2865,0.0571
1,WEEKDAY,11,0.0154,1.3603,0.8869,0.8222,2.6232,1.5331,0.0000,1.1923,0.0618,0.2914,0.0577
1,WEEKDAY,12,0.0060,1.5402,0.8936,0.8188,2.6012,1.5577,0.0000,1.2011,0.0619,0.2918,0.0577
1,WEEKDAY,13,0.0057,1.7116,0.8976,0.7838,2.2890,1.5613,0.0000,1.2014,0.0620,0.2918,0.0577
1,WEEKDAY,14,0.0056,1.7238,0.9000,0.7659,2.1465,1.5810,0.0000,1.2014,0.0620,0.2918,0.0577
1,WEEKDAY,15,0.0055,1.6352,0.8950,0.7681,2.0298,1.5792,0.0000,1.2014,0.0620,0.2918,0.0577
