Month,Weekend,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.5841,0.0000,0.1209,0.0000,0.0447,0.4962,0.1107,0.0175,0.0172,0.0063
1,WEEKDAY,1,0.6767,0.0000,0.1243,0.0000,0.0427,0.4962,0.1107,0.0165,0.0142,0.0017
1,WEEKDAY,2,0.7547,0.0000,0.1260,0.0000,0.0419,0.4962,0.1107,0.0157,0.0119,0.0000
1,WEEKDAY,3,0.8251,0.0000,0.1273,0.0000,0.0419,0.4962,0.1107,0.0157,0.0119,0.0000
1,WEEKDAY,4,0.8379,0.0000,0.1260,0.0029,0.0444,0.4962,0.1993,0.0168,0.0246,0.0031
1,WEEKDAY,5,0.8481,0.0000,0.1258,0.0157,0.0476,0.4962,0.2657,0.0216,0.0314,0.0187
1,WEEKDAY,6,0.7701,0.0000,0.1243,0.0233,0.0496,0.4962,0.4428,0.0261,0.0486,0.0285
1,WEEKDAY,7,0.7896,0.0000,0.1236,0.0291,0.0511,0.1633,0.4650,0.0290,0.0508,0.0316
1,WEEKDAY,8,0.5333,0.0000,0.1021,0.0262,0.0524,0.0000,0.3321,0.0305,0.0524,0.0315
1,WEEKDAY,9,0.2969,0.0000,0.0917,0.0241,0.0536,0.0000,0.2657,0.0304,0.0647,0.0296
1,WEEKDAY,10,0.1367,0.0000,0.0776,0.0257,0.0539,0.0000,0.2435,0.0290,0.0658,0.0278
1,WEEKDAY,11,0.0832,0.0000,0.0717,0.0287,0.0539,0.0000,0.2214,0.0285,0.0546,0.0272
1,WEEKDAY,12,0.0584,0.0451,0.0681,0.0312,0.0539,0.0000,0.2214,0.0279,0.0307,0.0272
1,WEEKDAY,13,0.0414,0.0728,0.0664,0.0296,0.0539,0.0000,0.2214,0.0284,0.0311,0.0271
1,WEEKDAY,14,0.0440,0.0600,0.0689,0.0277,0.0539,0.0000,0.2214,0.0301,0.0315,0.0278
1,WEEKDAY,15,0.0467,0.0174,0.0749,0.0273,0.0539,0.0000,0.2214,0.0305,0.0457,0.0286
1,WEEKDAY,16,0.0692,0.0000,0.0980,0.0296,0.0539,0.0000,0.3321,0.0301,0.0479,0.0274
1,WEEKDAY,17,0.0969,0.0000,0.1069,0.0320,0.0536,0.4962,0.3321,0.0290,0.0618,0.0255
1,WEEKDAY,18,0.1193,0.0000,0.1093,0.0309,0.0529,0.4962,0.3985,0.0277,0.0621,0.0375
1,WEEKDAY,19,0.1584,0.0000,0.1111,0.0293,0.0524,0.4962,0.3985,0.0268,0.0621,0.0399
1,WEEKDAY,20,0.2096,0.0000,0.1135,0.0257,0.0514,0.4962,0.3764,0.0252,0.0449,0.0411
1,WEEKDAY,21,0.2655,0.0000,0.1160,0.0214,0.0497,0.4962,0.3543,0.0244,0.0389,0.0369
1,WEEKDAY,22,0.3322,0.0000,0.1190,0.0157,0.0477,0.4962,0.3321,0.0229,0.0232,0.0196
1,WEEKDAY,23,0.4541,0.0000,0.1217,0.0000,0.0463,0.4962,0.2214,0.0194,0.0210,0.0094
1,SATURDAY,0,0.5495,0.0000,0.1249,0.0000,0.0447,0.4962,0.1107,0.0175,0.0172,0.0063
1,SATURDAY,1,0.6992,0.0000,0.1303,0.0000,0.0427,0.4962,0.1107,0.0165,0.0142,0.0017
1,SATURDAY,2,0.7730,0.0000,0.1325,0.0000,0.0419,0.4962,0.1107,0.0157,0.0119,0.0000
1,SATURDAY,3,0.8077,0.0000,0.1320,0.0000,0.0419,0.4962,0.1107,0.0157,0.0119,0.0000
1,SATURDAY,4,0.8190,0.0000,0.1329,0.0029,0.0444,0.4962,0.1993,0.0168,0.0246,0.0031
1,SATURDAY,5,0.8378,0.0000,0.1329,0.0157,0.0476,0.4962,0.2657,0.0216,0.0314,0.0187
1,SATURDAY,6,0.7297,0.0000,0.1284,0.0233,0.0496,0.4962,0.4428,0.0261,0.0486,0.0285
1,SATURDAY,7,0.7243,0.0000,0.1287,0.0291,0.0511,0.1633,0.4650,0.0290,0.0508,0.0316
1,SATURDAY,8,0.6265,0.0000,0.1180,0.0262,0.0524,0.0000,0.3321,0.0305,0.0524,0.0315
1,SATURDAY,9,0.3610,0.0000,0.1090,0.0241,0.0536,0.0000,0.2657,0.0304,0.0647,0.0296
1,SATURDAY,10,0.1815,0.0000,0.0918,0.0257,0.0539,0.0000,0.2435,0.0290,0.0658,0.0278
1,SATURDAY,11,0.1101,0.0000,0.0866,0.0287,0.0539,0.0000,0.2214,0.0285,0.0546,0.0272
1,SATURDAY,12,0.0799,0.0298,0.0835,0.0312,0.0539,0.0000,0.2214,0.0279,0.0307,0.0272
1,SATURDAY,13,0.0555,0.0367,0.0730,0.0296,0.0539,0.0000,0.2214,0.0284,0.0311,0.0271
1,SATURDAY,14,0.0539,0.0320,0.0780,0.0277,0.0539,0.0000,0.2214,0.0301,0.0315,0.0278
1,SATURDAY,15,0.0622,0.0000,0.0897,0.0273,0.0539,0.0000,0.2214,0.0305,0.0457,0.0286
1,SATURDAY,16,0.0764,0.0000,0.1080,0.0296,0.0539,0.0000,0.3321,0.0301,0.0479,0.0274
1,SATURDAY,17,0.1263,0.0000,0.1126,0.0320,0.0536,0.4962,0.3321,0.0290,0.0618,0.0255
1,SATURDAY,18,0.1480,0.0000,0.1136,0.0309,0.0529,0.4962,0.3985,0.0277,0.0621,0.0375
1,SATURDAY,19,0.2074,0.0000,0.1159,0.0293,0.0524,0.4962,0.3985,0.0268,0.0621,0.0399
1,SATURDAY,20,0.2913,0.0000,0.1181,0.0257,0.0514,0.4962,0.3764,0.0252,0.0449,0.0411
1,SATURDAY,21,0.3323,0.0000,0.1197,0.0214,0.0497,0.4962,0.3543,0.0244,0.0389,0.0369
1,SATURDAY,22,0.4158,0.0000,0.1222,0.0157,0.0477,0.4962,0.3321,0.0229,0.0232,0.0196
1,SATURDAY,23,0.5516,0.0000,0.1232,0.0000,0.0463,0.4962,0.2214,0.0194,0.0210,0.0094
1,SUNDAY,0,0.7789,0.0000,0.1242,0.0000,0.0447,0.4962,0.1107,0.0175,0.0172,0.0063
1,SUNDAY,1,0.8371,0.0000,0.1253,0.0000,0.0427,0.4962,0.1107,0.0165,0.0142,0.0017
1,SUNDAY,2,0.8824,0.0000,0.1294,0.0000,0.0419,0.4962,0.1107,0.0157,0.0119,0.0000
1,SUNDAY,3,0.9436,0.0000,0.1293,0.0000,0.0419,0.4962,0.1107,0.0157,0.0119,0.0000
1,SUNDAY,4,0.9643,0.0000,0.1310,0.0029,0.0444,0.4962,0.1993,0.0168,0.0246,0.0031
1,SUNDAY,5,0.9088,0.0000,0.1288,0.0157,0.0476,0.4962,0.2657,0.0216,0.0314,0.0187
1,SUNDAY,6,0.8500,0.0000,0.1287,0.0233,0.0496,0.4962,0.4428,0.0261,0.0486,0.0285
1,SUNDAY,7,0.8453,0.0000,0.1252,0.0291,0.0511,0.1633,0.4650,0.0290,0.0508,0.0316
1,SUNDAY,8,0.6270,0.0000,0.1104,0.0262,0.0524,0.0000,0.3321,0.0305,0.0524,0.0315
1,SUNDAY,9,0.4051,0.0000,0.0968,0.0241,0.0536,0.0000,0.2657,0.0304,0.0647,0.0296
1,SUNDAY,10,0.1698,0.0000,0.0861,0.0257,0.0539,0.0000,0.2435,0.0290,0.0658,0.0278
1,SUNDAY,11,0.1060,0.0000,0.0824,0.0287,0.0539,0.0000,0.2214,0.0285,0.0546,0.0272
1,SUNDAY,12,0.0308,0.0000,0.0661,0.0312,0.0539,0.0000,0.2214,0.0279,0.0307,0.0272
1,SUNDAY,13,0.0144,0.0893,0.0620,0.0296,0.0539,0.0000,0.2214,0.0284,0.0311,0.0271
1,SUNDAY,14,0.0113,0.0507,0.0688,0.0277,0.0539,0.0000,0.2214,0.0301,0.0315,0.0278
1,SUNDAY,15,0.0106,0.0000,0.0738,0.0273,0.0539,0.0000,0.2214,0.0305,0.0457,0.0286
1,SUNDAY,16,0.0259,0.0000,0.1032,0.0296,0.0539,0.0000,0.3321,0.0301,0.0479,0.0274
1,SUNDAY,17,0.0832,0.0000,0.1082,0.0320,0.0536,0.4962,0.3321,0.0290,0.0618,0.0255
