Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Air_Compressors
1,WEEKDAY,0,0.0088,0.0084,0.2154,0.0357,0.1294,0.9387,0.3280,0.1334,0.0129,0.0382,0.0296
1,WEEKDAY,1,0.0000,0.0028,0.2051,0.0347,0.1028,0.9252,0.3280,0.1080,0.0084,0.0281,0.0107
1,WEEKDAY,2,0.0000,0.0003,0.2047,0.0347,0.0975,0.9199,0.3280,0.1314,0.0082,0.0273,0.0063
1,WEEKDAY,3,0.0000,0.0002,0.2041,0.0363,0.0992,0.9179,0.3280,0.1552,0.0086,0.0284,0.0059
1,WEEKDAY,4,0.0000,0.0006,0.2346,0.0492,0.1564,0.9206,0.3280,0.1913,0.0094,0.0358,0.0096
1,WEEKDAY,5,0.0000,0.0044,0.2378,0.0821,0.2942,0.9408,0.3280,0.2774,0.0124,0.0620,0.0211
1,WEEKDAY,6,0.0179,0.0085,0.2395,0.1249,0.4114,0.9659,0.3280,0.4152,0.0204,0.0970,0.0364
1,WEEKDAY,7,0.0000,0.0130,0.3302,0.1826,0.5212,0.9937,0.0000,0.5768,0.0326,0.1232,0.0476
1,WEEKDAY,8,0.0145,0.0248,0.3331,0.2369,0.5926,1.0117,0.0000,0.7094,0.0443,0.1419,0.0535
1,WEEKDAY,9,0.0000,0.0540,0.3406,0.2768,0.7789,1.0453,0.0000,0.8713,0.0644,0.1682,0.0707
1,WEEKDAY,10,0.0030,0.1249,0.3785,0.3012,0.9535,1.0775,0.0000,1.0469,0.1040,0.2038,0.1002
1,WEEKDAY,11,0.0000,0.2241,0.4184,0.3105,1.0268,1.0969,0.0000,1.1446,0.1282,0.2248,0.1192
1,WEEKDAY,12,0.0000,0.2852,0.4375,0.3089,0.9446,1.1114,0.0000,1.1707,0.1334,0.2307,0.1234
1,WEEKDAY,13,0.0000,0.3127,0.4404,0.2973,0.8593,1.1132,0.0000,1.1733,0.1338,0.2313,0.1237
1,WEEKDAY,14,0.0000,0.3316,0.4450,0.2898,0.8131,1.1214,0.0000,1.1733,0.1338,0.2312,0.1237
1,WEEKDAY,15,0.0000,0.3429,0.4461,0.2885,0.8079,1.1204,0.0000,1.1693,0.1336,0.2303,0.1237
1,WEEKDAY,16,0.0000,0.3294,0.4398,0.2969,0.8650,1.1078,0.0000,1.1449,0.1326,0.2269,0.1237
1,WEEKDAY,17,0.0000,0.2865,0.4058,0.3031,0.9398,1.0980,0.2846,1.1122,0.1301,0.2224,0.1237
1,WEEKDAY,18,0.0000,0.2360,0.3961,0.3015,1.0216,1.0774,0.6730,1.0665,0.1212,0.2147,0.1237
1,WEEKDAY,19,0.0000,0.1792,0.3822,0.2903,0.9621,1.0578,0.7013,0.9613,0.1010,0.1974,0.1237
