Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.0132,0.1426,0.4550,0.0270,0.0871,2.1390,0.2057,0.7615,0.0347,0.0545,0.0108
1,WEEKDAY,1,0.0132,0.1140,0.4220,0.0179,0.0440,2.1347,0.2057,0.6558,0.0315,0.0468,0.0079
1,WEEKDAY,2,0.0134,0.1005,0.4128,0.0132,0.0204,2.1333,0.2057,0.6431,0.0305,0.0446,0.0076
1,WEEKDAY,3,0.0135,0.0944,0.4124,0.0135,0.0542,2.1398,0.2057,0.6462,0.0311,0.0501,0.0081
1,WEEKDAY,4,0.0137,0.0994,0.4162,0.0208,0.1362,2.1488,0.2057,0.7105,0.0348,0.0733,0.0123
1,WEEKDAY,5,0.0168,0.1230,0.4188,0.0355,0.1929,2.2766,0.1223,1.1392,0.0408,0.0882,0.0224
1,WEEKDAY,6,0.0170,0.1479,0.4274,0.0477,0.2281,2.2607,0.0486,1.2713,0.0474,0.0948,0.0342
1,WEEKDAY,7,0.0168,0.1827,0.4668,0.0556,0.2511,2.2259,0.0000,1.3581,0.0538,0.0980,0.0442
1,WEEKDAY,8,0.0156,0.2015,0.4707,0.0599,0.2583,2.1714,0.0000,1.4099,0.0603,0.0999,0.0502
1,WEEKDAY,9,0.0128,0.2341,0.4730,0.0627,0.2593,2.2757,0.0000,1.4271,0.0648,0.1005,0.0522
1,WEEKDAY,10,0.0112,0.2877,0.4748,0.0623,0.2594,2.2841,0.0000,1.4300,0.0663,0.1005,0.0524
1,WEEKDAY,11,0.0097,0.3334,0.4760,0.0615,0.2585,2.3154,0.0000,1.4301,0.0665,0.1005,0.0525
1,WEEKDAY,12,0.0087,0.3735,0.4771,0.0612,0.2522,2.4637,0.0000,1.4301,0.0665,0.1005,0.0525
1,WEEKDAY,13,0.0090,0.3927,0.4779,0.0607,0.2317,2.5014,0.0000,1.4301,0.0665,0.1005,0.0525
1,WEEKDAY,14,0.0084,0.4074,0.4782,0.0610,0.2055,2.6462,0.0000,1.4292,0.0665,0.1005,0.0525
1,WEEKDAY,15,0.0082,0.4113,0.4781,0.0618,0.1860,2.6828,0.0000,1.4230,0.0665,0.1005,0.0525
