Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0514,0.0776,0.1879,0.0337,0.0015,0.0435,0.2311,0.2629,0.2269,0.0445,0.7235,0.0248,0.0091
1,WEEKDAY,1,0.0582,0.0762,0.1944,0.0337,0.0015,0.0435,0.2311,0.2531,0.2268,0.0444,0.7090,0.0248,0.0090
1,WEEKDAY,2,0.0624,0.0731,0.1997,0.0337,0.0016,0.0435,0.2311,0.2507,0.2278,0.0445,0.7090,0.0248,0.0091
1,WEEKDAY,3,0.0678,0.0713,0.2012,0.0340,0.0018,0.0436,0.2055,0.2576,0.2341,0.0454,0.7090,0.0253,0.0095
1,WEEKDAY,4,0.0758,0.0854,0.2214,0.0350,0.0030,0.0438,0.2088,0.3015,0.2435,0.0471,0.7300,0.0307,0.0103
1,WEEKDAY,5,0.1006,0.1056,0.2464,0.0382,0.0073,0.0444,0.1944,0.4220,0.2786,0.0565,0.8399,0.0545,0.0140
1,WEEKDAY,6,0.1137,0.1444,0.2914,0.0444,0.0144,0.0457,0.1229,0.6082,0.3530,0.0840,0.8885,0.0999,0.0251
1,WEEKDAY,7,0.1882,0.2214,0.3548,0.0532,0.0237,0.0477,0.0089,0.8030,0.4489,0.1238,0.9083,0.1597,0.0492
1,WEEKDAY,8,0.1398,0.3065,0.4189,0.0616,0.0306,0.0496,0.0083,0.9310,0.5205,0.1582,0.9173,0.1941,0.0600
1,WEEKDAY,9,0.1117,0.4228,0.4382,0.0658,0.0333,0.0507,0.0083,0.9937,0.5630,0.1754,0.9213,0.2073,0.0631
1,WEEKDAY,10,0.0799,0.5403,0.4475,0.0658,0.0338,0.0510,0.0083,0.9989,0.5782,0.1789,0.9225,0.2117,0.0643
1,WEEKDAY,11,0.0658,0.6380,0.4537,0.0659,0.0337,0.0510,0.0083,0.9850,0.5807,0.1792,0.9226,0.2122,0.0641
1,WEEKDAY,12,0.0569,0.7125,0.4583,0.0657,0.0332,0.0510,0.0083,0.9834,0.5804,0.1782,0.9226,0.2122,0.0633
1,WEEKDAY,13,0.0523,0.7423,0.4601,0.0646,0.0324,0.0508,0.0083,0.9870,0.5730,0.1765,0.9226,0.2121,0.0625
1,WEEKDAY,14,0.0512,0.7494,0.4602,0.0633,0.0303,0.0504,0.0083,0.9866,0.5619,0.1716,0.9224,0.2073,0.0599
1,WEEKDAY,15,0.0546,0.7042,0.4541,0.0613,0.0271,0.0498,0.0083,0.9559,0.5355,0.1595,0.9213,0.1897,0.0528
1,WEEKDAY,16,0.0719,0.5516,0.4379,0.0578,0.0219,0.0487,0.0087,0.8750,0.4865,0.1390,0.9184,0.1547,0.0400
1,WEEKDAY,17,0.0996,0.4342,0.4207,0.0520,0.0148,0.0472,0.1236,0.7823,0.4066,0.1109,0.9146,0.1080,0.0262
1,WEEKDAY,18,0.0900,0.2848,0.3123,0.0437,0.0071,0.0455,0.1817,0.6633,0.3212,0.0862,0.9065,0.0634,0.0172
1,WEEKDAY,19,0.0289,0.1854,0.2246,0.0371,0.0034,0.0445,0.2155,0.5531,0.2681,0.0659,0.8942,0.0397,0.0126
1,WEEKDAY,20,0.0270,0.1257,0.1871,0.0355,0.0024,0.0441,0.2343,0.4557,0.2494,0.0536,0.8799,0.0321,0.0105
1,WEEKDAY,21,0.0302,0.1007,0.1783,0.0348,0.0020,0.0437,0.2339,0.3783,0.2377,0.0477,0.8588,0.0277,0.0099
