Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0000,0.1318,0.3983,0.0529,0.3158,0.9907,0.4274,0.3608,0.0409,0.6465,0.0063,0.0000
1,WEEKDAY,1,0.0000,0.1011,0.3855,0.0521,0.3018,0.9795,0.4274,0.3483,0.0390,0.6424,0.0097,0.0003
1,WEEKDAY,2,0.0000,0.0820,0.3890,0.0563,0.2930,0.9737,0.4274,0.3450,0.0379,0.6409,0.0221,0.0049
1,WEEKDAY,3,0.0000,0.0726,0.3904,0.0735,0.3345,0.9777,0.4274,0.2647,0.0382,0.6406,0.0460,0.0257
1,WEEKDAY,4,0.0000,0.0862,0.3923,0.1032,0.4152,0.9963,0.4274,0.3072,0.0404,0.6441,0.0700,0.0564
1,WEEKDAY,5,0.0000,0.1555,0.4443,0.1274,0.6336,1.0384,0.4274,0.3738,0.0540,0.1608,0.0845,0.0892
1,WEEKDAY,6,0.0000,0.2081,0.4489,0.1524,0.7302,1.0483,0.2555,0.4126,0.0590,0.1700,0.0956,0.1165
1,WEEKDAY,7,0.0000,0.2597,0.4399,0.1839,0.8659,1.0577,0.0000,0.5164,0.0652,0.1909,0.1000,0.1268
1,WEEKDAY,8,0.1096,0.3278,0.6135,0.2360,1.1791,1.0702,0.0000,0.6186,0.0784,0.2156,0.1021,0.1307
1,WEEKDAY,9,0.0738,0.4637,0.6781,0.3078,1.5145,1.1191,0.0000,0.8790,0.1016,0.2365,0.1030,0.1312
1,WEEKDAY,10,0.2084,0.6790,0.7839,0.3943,1.8472,1.1458,0.0000,1.0306,0.1227,0.2527,0.1033,0.1312
1,WEEKDAY,11,0.2099,0.9501,0.8070,0.4387,1.9353,1.1650,0.0100,1.1244,0.1319,0.2601,0.1034,0.1312
1,WEEKDAY,12,0.1598,1.1475,0.8209,0.4456,1.9208,1.1920,0.0100,1.1687,0.1332,0.2614,0.1034,0.1312
1,WEEKDAY,13,0.1365,1.2025,0.8232,0.4291,1.7529,1.1922,0.0100,1.1724,0.1332,0.2615,0.1034,0.1312
1,WEEKDAY,14,0.1481,1.2039,0.8245,0.4274,1.6754,1.2109,0.0100,1.1740,0.1329,0.2614,0.1012,0.1237
1,WEEKDAY,15,0.1485,1.1041,0.8133,0.4206,1.5933,1.2043,0.0100,1.1680,0.1311,0.2603,0.0851,0.0812
1,WEEKDAY,16,0.2055,0.9353,0.8004,0.3751,1.7394,1.1716,0.0100,1.1553,0.1297,0.2562,0.0549,0.0445
