Month,Daytype,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.1281,0.0747,0.0921,0.0081,0.0931,0.1265,0.1620,0.0199,0.0354,0.0209,0.0005
1,WEEKDAY,1,0.1345,0.0708,0.0926,0.0081,0.0901,0.1265,0.1525,0.0192,0.0307,0.0156,0.0003
1,WEEKDAY,2,0.1438,0.0678,0.0938,0.0078,0.0887,0.1265,0.1479,0.0187,0.0271,0.0137,0.0002
1,WEEKDAY,3,0.1524,0.0616,0.0949,0.0074,0.0886,0.1265,0.1479,0.0187,0.0271,0.0137,0.0002
1,WEEKDAY,4,0.1672,0.0575,0.0962,0.0133,0.0927,0.1240,0.1536,0.0195,0.0283,0.0172,0.0003
1,WEEKDAY,5,0.1756,0.0589,0.0972,0.0450,0.0986,0.1240,0.2069,0.0229,0.0472,0.0348,0.0013
1,WEEKDAY,6,0.1855,0.0583,0.0982,0.1131,0.1018,0.0836,0.2537,0.0265,0.0637,0.0459,0.0019
1,WEEKDAY,7,0.1808,0.0631,0.0969,0.1262,0.1040,0.0000,0.2914,0.0293,0.0697,0.0523,0.0021
1,WEEKDAY,8,0.1330,0.0748,0.0928,0.1259,0.1061,0.0000,0.3274,0.0318,0.0733,0.0561,0.0022
1,WEEKDAY,9,0.1072,0.0902,0.0913,0.1016,0.1085,0.0000,0.3111,0.0322,0.0873,0.0592,0.0023
1,WEEKDAY,10,0.0902,0.1121,0.0942,0.0756,0.1093,0.0000,0.2866,0.0316,0.0903,0.0591,0.0022
1,WEEKDAY,11,0.0838,0.1362,0.0987,0.0920,0.1096,0.0000,0.2459,0.0314,0.1030,0.0585,0.0022
1,WEEKDAY,12,0.0721,0.1683,0.1016,0.0998,0.1101,0.0000,0.2383,0.0310,0.1030,0.0585,0.0022
1,WEEKDAY,13,0.0652,0.2002,0.1043,0.0950,0.1101,0.0000,0.2399,0.0313,0.1036,0.0584,0.0022
1,WEEKDAY,14,0.0654,0.2200,0.1057,0.0713,0.1105,0.0000,0.2384,0.0325,0.1042,0.0592,0.0022
1,WEEKDAY,15,0.0657,0.2189,0.1051,0.0710,0.1105,0.0000,0.2421,0.0328,0.1078,0.0602,0.0023
1,WEEKDAY,16,0.0629,0.1747,0.1006,0.1104,0.1099,0.0000,0.2589,0.0325,0.1112,0.0588,0.0022
1,WEEKDAY,17,0.0668,0.1468,0.0975,0.1797,0.1092,0.0621,0.2837,0.0313,0.1142,0.0565,0.0021
1,WEEKDAY,18,0.0759,0.1302,0.0960,0.1853,0.1076,0.1051,0.3588,0.0301,0.1148,0.0692,0.0028
1,WEEKDAY,19,0.0795,0.1238,0.0947,0.1234,0.1067,0.1265,0.3964,0.0290,0.1139,0.0704,0.0029
1,WEEKDAY,20,0.0820,0.1204,0.0938,0.0941,0.1051,0.1265,0.4056,0.0272,0.1103,0.0674,0.0028
1,WEEKDAY,21,0.0881,0.1140,0.0929,0.0849,0.1019,0.1265,0.3912,0.0256,0.0924,0.0583,0.0025
1,WEEKDAY,22,0.0958,0.1000,0.0922,0.0654,0.0986,0.1265,0.2825,0.0239,0.0645,0.0359,0.0013
1,WEEKDAY,23,0.1114,0.0835,0.0915,0.0266,0.0959,0.1265,0.2254,0.0212,0.0582,0.0244,0.0007
1,SATURDAY,0,0.0915,0.0921,0.0904,0.0081,0.0931,0.1265,0.1620,0.0199,0.0354,0.0209,0.0005
1,SATURDAY,1,0.0970,0.0885,0.0903,0.0081,0.0901,0.1265,0.1525,0.0192,0.0307,0.0156,0.0003
1,SATURDAY,2,0.1029,0.0846,0.0911,0.0078,0.0887,0.1265,0.1479,0.0187,0.0271,0.0137,0.0002
1,SATURDAY,3,0.1209,0.0709,0.0920,0.0074,0.0886,0.1265,0.1479,0.0187,0.0271,0.0137,0.0002
1,SATURDAY,4,0.1291,0.0715,0.0934,0.0133,0.0927,0.1240,0.1525,0.0195,0.0283,0.0172,0.0003
1,SATURDAY,5,0.1361,0.0695,0.0939,0.0450,0.0986,0.1240,0.1988,0.0229,0.0472,0.0348,0.0013
1,SATURDAY,6,0.1526,0.0708,0.0955,0.1131,0.1018,0.0836,0.2492,0.0265,0.0637,0.0459,0.0019
1,SATURDAY,7,0.1637,0.0656,0.0949,0.1262,0.1040,0.0000,0.2895,0.0293,0.0697,0.0523,0.0021
1,SATURDAY,8,0.1183,0.0876,0.0908,0.1259,0.1061,0.0000,0.3274,0.0318,0.0733,0.0561,0.0022
1,SATURDAY,9,0.0944,0.1046,0.0890,0.1016,0.1085,0.0000,0.3111,0.0322,0.0873,0.0592,0.0023
1,SATURDAY,10,0.0809,0.1310,0.0920,0.0756,0.1093,0.0000,0.2866,0.0316,0.0903,0.0591,0.0022
1,SATURDAY,11,0.0695,0.1649,0.0962,0.0920,0.1096,0.0000,0.2459,0.0314,0.1030,0.0585,0.0022
1,SATURDAY,12,0.0680,0.2033,0.1014,0.0998,0.1101,0.0000,0.2383,0.0310,0.1030,0.0585,0.0022
1,SATURDAY,13,0.0668,0.2337,0.1065,0.0950,0.1101,0.0000,0.2399,0.0313,0.1036,0.0584,0.0022
1,SATURDAY,14,0.0668,0.2535,0.1064,0.0713,0.1105,0.0000,0.2384,0.0325,0.1042,0.0592,0.0022
1,SATURDAY,15,0.0592,0.2437,0.1039,0.0710,0.1105,0.0000,0.2421,0.0328,0.1078,0.0602,0.0023
1,SATURDAY,16,0.0607,0.1934,0.0992,0.1104,0.1099,0.0000,0.2589,0.0325,0.1112,0.0588,0.0022
1,SATURDAY,17,0.0612,0.1633,0.0963,0.1797,0.1092,0.0621,0.2837,0.0313,0.1142,0.0565,0.0021
1,SATURDAY,18,0.0618,0.1509,0.0953,0.1853,0.1076,0.1051,0.3588,0.0301,0.1148,0.0692,0.0028
1,SATURDAY,19,0.0664,0.1423,0.0940,0.1234,0.1067,0.1265,0.3964,0.0290,0.1139,0.0704,0.0029
1,SATURDAY,20,0.0675,0.1403,0.0933,0.0941,0.1051,0.1265,0.4056,0.0272,0.1103,0.0674,0.0028
1,SATURDAY,21,0.0822,0.1223,0.0922,0.0849,0.1019,0.1265,0.3912,0.0256,0.0924,0.0583,0.0025
1,SATURDAY,22,0.0838,0.1088,0.0911,0.0654,0.0986,0.1265,0.2825,0.0239,0.0645,0.0359,0.0013
1,SATURDAY,23,0.0993,0.0890,0.0907,0.0266,0.0959,0.1265,0.2254,0.0212,0.0582,0.0244,0.0007
1,SUNDAY,0,0.1091,0.0810,0.0913,0.0081,0.0931,0.1265,0.1620,0.0199,0.0354,0.0209,0.0005
1,SUNDAY,1,0.1126,0.0757,0.0916,0.0081,0.0901,0.1265,0.1525,0.0192,0.0307,0.0156,0.0003
1,SUNDAY,2,0.1269,0.0715,0.0928,0.0078,0.0887,0.1265,0.1479,0.0187,0.0271,0.0137,0.0002
1,SUNDAY,3,0.1342,0.0680,0.0939,0.0074,0.0886,0.1265,0.1479,0.0187,0.0271,0.0137,0.0002
1,SUNDAY,4,0.1449,0.0683,0.0950,0.0133,0.0927,0.1240,0.1525,0.0195,0.0283,0.0172,0.0003
1,SUNDAY,5,0.1532,0.0656,0.0960,0.0450,0.0986,0.1240,0.1988,0.0229,0.0472,0.0348,0.0013
