Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0649,0.0813,0.2211,0.0207,0.0016,0.0352,0.0728,0.2531,0.2565,0.0460,0.0084,0.0437,0.0066
1,WEEKDAY,1,0.0669,0.0722,0.2185,0.0206,0.0016,0.0352,0.0728,0.2506,0.2565,0.0456,0.0084,0.0433,0.0064
1,WEEKDAY,2,0.0680,0.0685,0.2190,0.0206,0.0018,0.0352,0.0728,0.2506,0.2567,0.0449,0.0084,0.0434,0.0064
1,WEEKDAY,3,0.0691,0.0670,0.2206,0.0207,0.0035,0.0353,0.0728,0.2564,0.2599,0.0454,0.0084,0.0447,0.0068
1,WEEKDAY,4,0.0750,0.0748,0.2403,0.0216,0.0047,0.0355,0.0728,0.2897,0.2653,0.0464,0.0084,0.0504,0.0075
1,WEEKDAY,5,0.0799,0.0689,0.2646,0.0241,0.0078,0.0358,0.0715,0.3742,0.2915,0.0500,0.0086,0.0695,0.0099
1,WEEKDAY,6,0.1406,0.0899,0.3526,0.0292,0.0154,0.0369,0.0591,0.5550,0.3640,0.0633,0.0120,0.1119,0.0151
1,WEEKDAY,7,0.2838,0.1728,0.4842,0.0345,0.0256,0.0386,0.0106,0.7455,0.4413,0.0807,0.0227,0.1660,0.0233
1,WEEKDAY,8,0.2343,0.1831,0.4978,0.0385,0.0328,0.0401,0.0018,0.8436,0.5017,0.0946,0.0279,0.1934,0.0276
1,WEEKDAY,9,0.1828,0.2340,0.4927,0.0394,0.0353,0.0410,0.0018,0.8764,0.5277,0.1021,0.0293,0.2035,0.0291
1,WEEKDAY,10,0.1749,0.2622,0.4894,0.0391,0.0358,0.0411,0.0018,0.8769,0.5369,0.1034,0.0299,0.2073,0.0296
1,WEEKDAY,11,0.1626,0.2918,0.4940,0.0396,0.0358,0.0412,0.0018,0.8680,0.5377,0.1035,0.0299,0.2078,0.0297
1,WEEKDAY,12,0.1557,0.3301,0.4942,0.0391,0.0352,0.0411,0.0018,0.8675,0.5371,0.1035,0.0299,0.2078,0.0297
1,WEEKDAY,13,0.1506,0.3496,0.5008,0.0386,0.0345,0.0410,0.0018,0.8702,0.5310,0.1034,0.0299,0.2075,0.0297
1,WEEKDAY,14,0.1485,0.3631,0.4991,0.0380,0.0330,0.0407,0.0018,0.8717,0.5225,0.1015,0.0292,0.2035,0.0290
1,WEEKDAY,15,0.1529,0.3597,0.4980,0.0369,0.0302,0.0402,0.0018,0.8519,0.5009,0.0965,0.0266,0.1890,0.0268
1,WEEKDAY,16,0.1649,0.3219,0.4900,0.0349,0.0256,0.0393,0.0030,0.8043,0.4628,0.0876,0.0214,0.1600,0.0223
1,WEEKDAY,17,0.1765,0.2763,0.4700,0.0317,0.0190,0.0380,0.0501,0.7417,0.3994,0.0714,0.0153,0.1215,0.0167
1,WEEKDAY,18,0.1396,0.2155,0.3378,0.0270,0.0116,0.0366,0.0614,0.6015,0.3213,0.0588,0.0103,0.0833,0.0116
1,WEEKDAY,19,0.0728,0.1214,0.2494,0.0234,0.0063,0.0358,0.0694,0.4921,0.2789,0.0513,0.0086,0.0608,0.0088
1,WEEKDAY,20,0.0571,0.1021,0.2280,0.0217,0.0039,0.0355,0.0733,0.4045,0.2631,0.0484,0.0084,0.0515,0.0077
1,WEEKDAY,21,0.0582,0.0887,0.2135,0.0212,0.0021,0.0353,0.0731,0.3406,0.2577,0.0469,0.0084,0.0474,0.0072
1,WEEKDAY,22,0.0600,0.0839,0.2157,0.0210,0.0017,0.0353,0.0730,0.2999,0.2566,0.0466,0.0084,0.0460,0.0069
1,WEEKDAY,23,0.0628,0.0792,0.2171,0.0209,0.0016,0.0352,0.0730,0.2727,0.2565,0.0461,0.0084,0.0448,0.0067
1,SATURDAY,0,0.0572,0.0740,0.1834,0.0205,0.0014,0.0352,0.0728,0.2427,0.2568,0.0449,0.0084,0.0437,0.0066
1,SATURDAY,1,0.0660,0.0715,0.1809,0.0205,0.0014,0.0352,0.0728,0.2425,0.2568,0.0448,0.0084,0.0434,0.0064
1,SATURDAY,2,0.0656,0.0630,0.1843,0.0205,0.0018,0.0352,0.0728,0.2431,0.2571,0.0448,0.0084,0.0435,0.0065
1,SATURDAY,3,0.0656,0.0632,0.1847,0.0206,0.0034,0.0353,0.0728,0.2455,0.2591,0.0452,0.0084,0.0444,0.0067
1,SATURDAY,4,0.0665,0.0600,0.1886,0.0207,0.0042,0.0353,0.0728,0.2480,0.2606,0.0455,0.0084,0.0465,0.0070
1,SATURDAY,5,0.0725,0.0595,0.1897,0.0209,0.0051,0.0354,0.0715,0.2553,0.2635,0.0461,0.0086,0.0507,0.0077
1,SATURDAY,6,0.0765,0.0680,0.2461,0.0214,0.0071,0.0355,0.0591,0.2750,0.2711,0.0485,0.0090,0.0577,0.0091
1,SATURDAY,7,0.0793,0.0758,0.2654,0.0222,0.0110,0.0356,0.0106,0.3107,0.2834,0.0550,0.0098,0.0674,0.0113
1,SATURDAY,8,0.0937,0.0772,0.2858,0.0229,0.0142,0.0359,0.0018,0.3530,0.3000,0.0609,0.0106,0.0788,0.0138
1,SATURDAY,9,0.0880,0.0905,0.2889,0.0234,0.0155,0.0361,0.0018,0.3870,0.3143,0.0650,0.0109,0.0881,0.0153
1,SATURDAY,10,0.0836,0.1123,0.2905,0.0234,0.0157,0.0361,0.0018,0.4023,0.3235,0.0659,0.0109,0.0916,0.0156
1,SATURDAY,11,0.0815,0.1313,0.2906,0.0234,0.0151,0.0361,0.0018,0.4009,0.3245,0.0637,0.0109,0.0908,0.0155
1,SATURDAY,12,0.0803,0.1494,0.2809,0.0230,0.0129,0.0360,0.0018,0.4006,0.3189,0.0595,0.0109,0.0881,0.0149
1,SATURDAY,13,0.0768,0.1609,0.2795,0.0224,0.0107,0.0359,0.0018,0.3646,0.3043,0.0574,0.0108,0.0843,0.0140
1,SATURDAY,14,0.0754,0.1627,0.2744,0.0217,0.0089,0.0358,0.0018,0.3388,0.2913,0.0558,0.0107,0.0788,0.0131
1,SATURDAY,15,0.0731,0.1620,0.2701,0.0213,0.0074,0.0357,0.0018,0.3143,0.2811,0.0540,0.0104,0.0709,0.0121
1,SATURDAY,16,0.0755,0.1479,0.2585,0.0212,0.0057,0.0356,0.0030,0.2957,0.2738,0.0521,0.0100,0.0647,0.0114
1,SATURDAY,17,0.0795,0.1192,0.2467,0.0210,0.0042,0.0355,0.0501,0.2788,0.2682,0.0509,0.0090,0.0591,0.0105
1,SATURDAY,18,0.0653,0.1038,0.2176,0.0208,0.0028,0.0354,0.0614,0.2633,0.2634,0.0497,0.0085,0.0535,0.0090
1,SATURDAY,19,0.0640,0.0868,0.1976,0.0207,0.0019,0.0353,0.0694,0.2531,0.2610,0.0478,0.0084,0.0496,0.0078
1,SATURDAY,20,0.0614,0.0829,0.1959,0.0207,0.0016,0.0353,0.0733,0.2488,0.2592,0.0459,0.0084,0.0468,0.0071
1,SATURDAY,21,0.0617,0.0775,0.1887,0.0206,0.0015,0.0352,0.0731,0.2474,0.2576,0.0453,0.0084,0.0460,0.0069
1,SATURDAY,22,0.0620,0.0720,0.1883,0.0206,0.0015,0.0352,0.0730,0.2465,0.2568,0.0452,0.0084,0.0457,0.0068
1,SATURDAY,23,0.0631,0.0713,0.1907,0.0206,0.0015,0.0352,0.0730,0.2460,0.2568,0.0449,0.0084,0.0446,0.0066
1,SUNDAY,0,0.0603,0.0488,0.1163,0.0205,0.0014,0.0352,0.0728,0.2425,0.2568,0.0432,0.0097,0.0536,0.0088
1,SUNDAY,1,0.0589,0.0472,0.1132,0.0205,0.0014,0.0352,0.0728,0.2423,0.2568,0.0430,0.0097,0.0540,0.0087
1,SUNDAY,2,0.0586,0.0449,0.1137,0.0205,0.0018,0.0352,0.0728,0.2429,0.2571,0.0431,0.0097,0.0542,0.0088
1,SUNDAY,3,0.0577,0.0438,0.1146,0.0206,0.0034,0.0353,0.0728,0.2451,0.2590,0.0435,0.0097,0.0546,0.0089
1,SUNDAY,4,0.0702,0.0428,0.1238,0.0206,0.0042,0.0353,0.0728,0.2465,0.2598,0.0438,0.0097,0.0553,0.0091
1,SUNDAY,5,0.0621,0.0423,0.1194,0.0207,0.0047,0.0353,0.0715,0.2500,0.2605,0.0441,0.0098,0.0565,0.0094
1,SUNDAY,6,0.0742,0.0440,0.1331,0.0209,0.0052,0.0354,0.0591,0.2599,0.2631,0.0448,0.0100,0.0579,0.0099
1,SUNDAY,7,0.0656,0.0456,0.1419,0.0211,0.0058,0.0354,0.0106,0.2718,0.2672,0.0455,0.0104,0.0596,0.0106
1,SUNDAY,8,0.0581,0.0521,0.1415,0.0212,0.0063,0.0355,0.0018,0.2843,0.2720,0.0466,0.0108,0.0615,0.0112
1,SUNDAY,9,0.0612,0.0660,0.1436,0.0214,0.0066,0.0356,0.0018,0.2941,0.2758,0.0474,0.0109,0.0630,0.0114
1,SUNDAY,10,0.0575,0.0919,0.1473,0.0214,0.0068,0.0356,0.0018,0.3002,0.2791,0.0479,0.0109,0.0640,0.0115
1,SUNDAY,11,0.0523,0.1094,0.1494,0.0215,0.0069,0.0356,0.0018,0.3023,0.2798,0.0482,0.0109,0.0644,0.0115
1,SUNDAY,12,0.0643,0.1317,0.1572,0.0215,0.0066,0.0356,0.0018,0.3133,0.2793,0.0485,0.0109,0.0644,0.0115
1,SUNDAY,13,0.0791,0.1441,0.1641,0.0214,0.0060,0.0356,0.0018,0.2982,0.2765,0.0484,0.0108,0.0638,0.0114
1,SUNDAY,14,0.0819,0.1472,0.1637,0.0213,0.0054,0.0356,0.0018,0.2927,0.2737,0.0482,0.0108,0.0626,0.0113
1,SUNDAY,15,0.0796,0.1464,0.1620,0.0211,0.0048,0.0355,0.0018,0.2856,0.2702,0.0478,0.0106,0.0605,0.0110
1,SUNDAY,16,0.0835,0.1263,0.1455,0.0210,0.0040,0.0355,0.0030,0.2777,0.2674,0.0471,0.0104,0.0567,0.0105
1,SUNDAY,17,0.0879,0.0950,0.1335,0.0209,0.0032,0.0354,0.0501,0.2681,0.2649,0.0466,0.0096,0.0552,0.0101
1,SUNDAY,18,0.0438,0.0744,0.1165,0.0207,0.0024,0.0354,0.0614,0.2583,0.2622,0.0458,0.0084,0.0542,0.0091
1,SUNDAY,19,0.0438,0.0666,0.1155,0.0207,0.0018,0.0353,0.0694,0.2516,0.2605,0.0449,0.0088,0.0511,0.0078
1,SUNDAY,20,0.0443,0.0602,0.1170,0.0206,0.0016,0.0353,0.0733,0.2477,0.2590,0.0436,0.0095,0.0517,0.0081
1,SUNDAY,21,0.0485,0.0573,0.1116,0.0206,0.0015,0.0352,0.0731,0.2465,0.2576,0.0435,0.0097,0.0545,0.0090
1,SUNDAY,22,0.0499,0.0560,0.1132,0.0206,0.0015,0.0352,0.0730,0.2456,0.2568,0.0434,0.0097,0.0553,0.0091
1,SUNDAY,23,0.0519,0.0535,0.1159,0.0206,0.0015,0.0352,0.0730,0.2453,0.2568,0.0431,0.0097,0.0547,0.0089
1,HOLIDAY,0,0.0425,0.0554,0.0820,0.0205,0.0014,0.0352,0.0728,0.2426,0.2568,0.0432,0.0084,0.0436,0.0064
1,HOLIDAY,1,0.0418,0.0568,0.0865,0.0205,0.0014,0.0352,0.0728,0.2423,0.2568,0.0430,0.0084,0.0434,0.0063
1,HOLIDAY,2,0.0449,0.0553,0.0917,0.0205,0.0018,0.0352,0.0728,0.2423,0.2572,0.0430,0.0084,0.0435,0.0064
