Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0524,0.0017,0.0651,0.0180,0.0053,0.0756,0.1127,0.1387,0.0151,0.0291,0.0158,0.0038
1,WEEKDAY,1,0.0604,0.0013,0.0602,0.0130,0.0045,0.0747,0.1124,0.1249,0.0131,0.0247,0.0152,0.0034
1,WEEKDAY,2,0.0639,0.0011,0.0617,0.0121,0.0045,0.0746,0.1124,0.1227,0.0130,0.0246,0.0151,0.0036
1,WEEKDAY,3,0.0664,0.0010,0.0610,0.0138,0.0064,0.0748,0.1124,0.1302,0.0152,0.0298,0.0154,0.0056
1,WEEKDAY,4,0.0673,0.0011,0.0623,0.0217,0.0133,0.0760,0.1001,0.1703,0.0229,0.0461,0.0180,0.0111
1,WEEKDAY,5,0.0602,0.0010,0.0603,0.0285,0.0255,0.0798,0.1001,0.2720,0.0385,0.0720,0.0248,0.0196
1,WEEKDAY,6,0.0546,0.0012,0.0784,0.0365,0.0495,0.0822,0.0967,0.4586,0.0610,0.1085,0.0356,0.0300
1,WEEKDAY,7,0.7202,0.0012,0.1386,0.0427,0.0643,0.0833,0.0125,0.5981,0.0802,0.1363,0.0456,0.0390
1,WEEKDAY,8,0.2906,0.0023,0.1902,0.0491,0.0716,0.0834,0.0000,0.7304,0.0969,0.1602,0.0531,0.0453
1,WEEKDAY,9,0.2660,0.0046,0.1848,0.0526,0.0726,0.0847,0.0000,0.7828,0.1090,0.1746,0.0573,0.0484
1,WEEKDAY,10,0.0794,0.0075,0.1846,0.0549,0.0746,0.0852,0.0000,0.8506,0.1165,0.1817,0.0585,0.0492
1,WEEKDAY,11,0.0760,0.0177,0.1793,0.0564,0.0758,0.0860,0.0000,0.8506,0.1196,0.1846,0.0588,0.0494
1,WEEKDAY,12,0.0341,0.0236,0.1769,0.0562,0.0759,0.0875,0.0000,0.8506,0.1201,0.1850,0.0588,0.0494
1,WEEKDAY,13,0.0368,0.0357,0.1751,0.0549,0.0738,0.0879,0.0000,0.8506,0.1201,0.1850,0.0587,0.0493
1,WEEKDAY,14,0.0210,0.0396,0.1740,0.0552,0.0745,0.0894,0.0000,0.8506,0.1197,0.1848,0.0581,0.0487
1,WEEKDAY,15,0.0373,0.0423,0.1739,0.0534,0.0701,0.0894,0.0000,0.8459,0.1155,0.1807,0.0550,0.0439
1,WEEKDAY,16,0.0523,0.0296,0.1758,0.0471,0.0550,0.0874,0.0000,0.7945,0.0984,0.1588,0.0496,0.0318
1,WEEKDAY,17,0.1179,0.0223,0.1640,0.0382,0.0374,0.0863,0.2014,0.6297,0.0747,0.1283,0.0439,0.0213
1,WEEKDAY,18,0.2017,0.0163,0.1643,0.0318,0.0252,0.0842,0.2475,0.5123,0.0556,0.1022,0.0395,0.0144
1,WEEKDAY,19,0.0234,0.0120,0.1545,0.0286,0.0196,0.0831,0.2885,0.4564,0.0436,0.0871,0.0361,0.0116
1,WEEKDAY,20,0.0127,0.0081,0.1580,0.0267,0.0174,0.0823,0.2647,0.3920,0.0345,0.0769,0.0323,0.0098
1,WEEKDAY,21,0.0259,0.0044,0.1481,0.0251,0.0156,0.0802,0.2647,0.3295,0.0266,0.0654,0.0276,0.0080
1,WEEKDAY,22,0.0204,0.0031,0.0810,0.0235,0.0135,0.0792,0.1706,0.2150,0.0221,0.0510,0.0227,0.0062
1,WEEKDAY,23,0.0265,0.0024,0.0777,0.0213,0.0065,0.0766,0.1202,0.1573,0.0177,0.0363,0.0177,0.0045
1,SATURDAY,0,0.0404,0.0023,0.0706,0.0180,0.0053,0.0756,0.1127,0.1386,0.0151,0.0290,0.0156,0.0038
1,SATURDAY,1,0.0551,0.0017,0.0589,0.0130,0.0045,0.0747,0.1124,0.1249,0.0131,0.0247,0.0152,0.0034
1,SATURDAY,2,0.0589,0.0014,0.0586,0.0121,0.0044,0.0745,0.1124,0.1224,0.0128,0.0241,0.0151,0.0034
1,SATURDAY,3,0.0599,0.0014,0.0595,0.0133,0.0051,0.0747,0.1124,0.1236,0.0135,0.0252,0.0154,0.0037
1,SATURDAY,4,0.0597,0.0013,0.0602,0.0200,0.0089,0.0755,0.1001,0.1365,0.0176,0.0316,0.0177,0.0060
1,SATURDAY,5,0.0534,0.0013,0.0609,0.0268,0.0182,0.0790,0.1001,0.2128,0.0287,0.0487,0.0242,0.0110
1,SATURDAY,6,0.0489,0.0014,0.0639,0.0331,0.0361,0.0812,0.0967,0.3697,0.0479,0.0770,0.0347,0.0182
1,SATURDAY,7,0.4477,0.0015,0.1194,0.0377,0.0502,0.0823,0.0125,0.4967,0.0696,0.1042,0.0452,0.0256
1,SATURDAY,8,0.2479,0.0024,0.1750,0.0414,0.0588,0.0824,0.0000,0.6099,0.0828,0.1243,0.0535,0.0311
1,SATURDAY,9,0.1761,0.0038,0.1731,0.0455,0.0633,0.0837,0.0000,0.7034,0.0925,0.1393,0.0582,0.0341
1,SATURDAY,10,0.0113,0.0061,0.1721,0.0466,0.0649,0.0841,0.0000,0.7889,0.0977,0.1471,0.0595,0.0348
1,SATURDAY,11,0.0260,0.0126,0.1705,0.0438,0.0562,0.0847,0.0000,0.7762,0.0917,0.1424,0.0597,0.0350
1,SATURDAY,12,0.0005,0.0179,0.1599,0.0407,0.0485,0.0861,0.0000,0.7370,0.0837,0.1360,0.0598,0.0350
1,SATURDAY,13,0.0124,0.0281,0.1547,0.0378,0.0420,0.0863,0.0000,0.7066,0.0774,0.1302,0.0591,0.0338
1,SATURDAY,14,0.0105,0.0290,0.1546,0.0371,0.0387,0.0877,0.0000,0.6893,0.0735,0.1248,0.0554,0.0276
1,SATURDAY,15,0.0227,0.0280,0.1586,0.0364,0.0366,0.0878,0.0000,0.6607,0.0706,0.1207,0.0508,0.0219
1,SATURDAY,16,0.0000,0.0216,0.1579,0.0340,0.0330,0.0863,0.0000,0.6299,0.0650,0.1138,0.0461,0.0175
1,SATURDAY,17,0.0467,0.0190,0.1612,0.0315,0.0277,0.0855,0.2014,0.5589,0.0550,0.1024,0.0398,0.0134
1,SATURDAY,18,0.1079,0.0132,0.1601,0.0295,0.0222,0.0836,0.2475,0.4672,0.0431,0.0906,0.0345,0.0110
1,SATURDAY,19,0.0277,0.0093,0.1517,0.0279,0.0188,0.0827,0.2885,0.4106,0.0341,0.0800,0.0298,0.0094
1,SATURDAY,20,0.0109,0.0067,0.1282,0.0267,0.0169,0.0820,0.2647,0.3564,0.0279,0.0706,0.0244,0.0080
1,SATURDAY,21,0.0363,0.0043,0.1185,0.0250,0.0153,0.0800,0.2647,0.3035,0.0233,0.0595,0.0194,0.0065
1,SATURDAY,22,0.0128,0.0035,0.0764,0.0235,0.0132,0.0790,0.1706,0.2018,0.0202,0.0465,0.0167,0.0053
1,SATURDAY,23,0.0255,0.0029,0.0772,0.0213,0.0065,0.0765,0.1202,0.1525,0.0172,0.0349,0.0159,0.0043
1,SUNDAY,0,0.0606,0.0022,0.0632,0.0180,0.0052,0.0756,0.1127,0.1310,0.0150,0.0286,0.0156,0.0037
1,SUNDAY,1,0.0640,0.0016,0.0596,0.0130,0.0045,0.0747,0.1124,0.1173,0.0131,0.0247,0.0152,0.0034
1,SUNDAY,2,0.0663,0.0013,0.0603,0.0121,0.0044,0.0745,0.1124,0.1148,0.0127,0.0240,0.0151,0.0034
1,SUNDAY,3,0.0702,0.0011,0.0606,0.0131,0.0045,0.0746,0.1124,0.1148,0.0127,0.0242,0.0151,0.0034
1,SUNDAY,4,0.0716,0.0012,0.0614,0.0188,0.0057,0.0753,0.1001,0.1175,0.0135,0.0262,0.0160,0.0041
1,SUNDAY,5,0.0598,0.0012,0.0611,0.0228,0.0079,0.0784,0.1001,0.1451,0.0166,0.0337,0.0197,0.0067
1,SUNDAY,6,0.0576,0.0013,0.0665,0.0249,0.0135,0.0799,0.0967,0.2036,0.0225,0.0476,0.0263,0.0112
1,SUNDAY,7,0.0567,0.0015,0.1075,0.0261,0.0167,0.0807,0.0125,0.2914,0.0296,0.0640,0.0330,0.0164
1,SUNDAY,8,0.0545,0.0022,0.1494,0.0268,0.0188,0.0807,0.0000,0.3833,0.0374,0.0769,0.0394,0.0222
1,SUNDAY,9,0.0410,0.0034,0.1523,0.0276,0.0193,0.0821,0.0000,0.4708,0.0437,0.0853,0.0443,0.0260
1,SUNDAY,10,0.0118,0.0043,0.1575,0.0283,0.0207,0.0826,0.0000,0.5402,0.0478,0.0900,0.0461,0.0275
1,SUNDAY,11,0.0230,0.0075,0.1565,0.0284,0.0210,0.0834,0.0000,0.5403,0.0500,0.0922,0.0464,0.0278
1,SUNDAY,12,0.0000,0.0092,0.1555,0.0283,0.0211,0.0849,0.0000,0.5403,0.0504,0.0925,0.0464,0.0278
1,SUNDAY,13,0.0008,0.0137,0.1554,0.0277,0.0207,0.0853,0.0000,0.5393,0.0503,0.0923,0.0459,0.0267
1,SUNDAY,14,0.0000,0.0155,0.1510,0.0276,0.0202,0.0867,0.0000,0.5299,0.0497,0.0912,0.0426,0.0208
1,SUNDAY,15,0.0000,0.0185,0.1514,0.0280,0.0198,0.0868,0.0000,0.5044,0.0481,0.0896,0.0399,0.0166
1,SUNDAY,16,0.0000,0.0141,0.1550,0.0283,0.0192,0.0853,0.0000,0.4801,0.0440,0.0856,0.0365,0.0131
1,SUNDAY,17,0.0000,0.0120,0.1541,0.0284,0.0188,0.0848,0.2014,0.4495,0.0394,0.0798,0.0339,0.0107
1,SUNDAY,18,0.0002,0.0084,0.1305,0.0282,0.0183,0.0831,0.2475,0.3595,0.0355,0.0744,0.0318,0.0098
1,SUNDAY,19,0.0105,0.0066,0.1258,0.0276,0.0175,0.0823,0.2885,0.3209,0.0314,0.0682,0.0290,0.0090
1,SUNDAY,20,0.0120,0.0046,0.1040,0.0266,0.0164,0.0817,0.2647,0.2694,0.0266,0.0601,0.0244,0.0078
1,SUNDAY,21,0.0353,0.0028,0.0916,0.0251,0.0148,0.0798,0.2647,0.2331,0.0222,0.0494,0.0194,0.0063
1,SUNDAY,22,0.0451,0.0025,0.0798,0.0235,0.0126,0.0789,0.1706,0.1827,0.0193,0.0382,0.0167,0.0051
1,SUNDAY,23,0.0530,0.0019,0.0813,0.0213,0.0062,0.0765,0.1202,0.1478,0.0169,0.0320,0.0159,0.0042
1,HOLIDAY,0,0.0482,0.0031,0.0759,0.0180,0.0053,0.0756,0.1127,0.1387,0.0151,0.0290,0.0156,0.0038
1,HOLIDAY,1,0.0417,0.0030,0.0595,0.0130,0.0045,0.0747,0.1124,0.1249,0.0131,0.0247,0.0152,0.0034
1,HOLIDAY,2,0.0433,0.0027,0.0594,0.0121,0.0044,0.0745,0.1124,0.1223,0.0127,0.0240,0.0151,0.0034
1,HOLIDAY,3,0.0432,0.0024,0.0601,0.0131,0.0045,0.0746,0.1124,0.1223,0.0127,0.0242,0.0151,0.0034
1,HOLIDAY,4,0.0420,0.0026,0.0602,0.0188,0.0057,0.0753,0.1001,0.1259,0.0134,0.0262,0.0156,0.0038
1,HOLIDAY,5,0.0000,0.0026,0.0605,0.0228,0.0080,0.0783,0.1001,0.1521,0.0158,0.0331,0.0163,0.0045
1,HOLIDAY,6,0.0000,0.0026,0.0783,0.0249,0.0137,0.0796,0.0967,0.2012,0.0196,0.0441,0.0175,0.0058
1,HOLIDAY,7,0.0000,0.0027,0.1074,0.0261,0.0158,0.0799,0.0125,0.2407,0.0232,0.0534,0.0185,0.0069
1,HOLIDAY,8,0.0000,0.0039,0.1214,0.0268,0.0169,0.0796,0.0000,0.2850,0.0271,0.0612,0.0195,0.0076
1,HOLIDAY,9,0.0446,0.0067,0.1191,0.0276,0.0169,0.0807,0.0000,0.3505,0.0301,0.0659,0.0202,0.0079
1,HOLIDAY,10,0.0020,0.0097,0.1253,0.0283,0.0181,0.0811,0.0000,0.4042,0.0321,0.0683,0.0204,0.0080
1,HOLIDAY,11,0.0000,0.0208,0.1202,0.0284,0.0183,0.0819,0.0000,0.4042,0.0331,0.0694,0.0205,0.0080
1,HOLIDAY,12,0.0000,0.0196,0.1034,0.0283,0.0183,0.0835,0.0000,0.4042,0.0333,0.0696,0.0205,0.0080
1,HOLIDAY,13,0.0000,0.0337,0.1025,0.0277,0.0181,0.0839,0.0000,0.4042,0.0333,0.0696,0.0205,0.0080
