Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.1037,0.0665,0.3745,0.0150,0.0811,2.1543,0.1870,0.7934,0.0217,0.0542,0.0370,0.0316,0.0122
1,WEEKDAY,1,0.1321,0.0613,0.3711,0.0129,0.0593,2.1491,0.1722,0.6818,0.0187,0.0485,0.0157,0.0246,0.0052
1,WEEKDAY,2,0.1577,0.0569,0.3684,0.0122,0.0653,2.1388,0.1722,0.6406,0.0178,0.0461,0.0134,0.0221,0.0044
1,WEEKDAY,3,0.1998,0.0548,0.3676,0.0125,0.0874,2.1325,0.1722,0.6468,0.0186,0.0527,0.0140,0.0224,0.0046
1,WEEKDAY,4,0.2255,0.0600,0.3717,0.0146,0.1509,2.1354,0.1666,0.7192,0.0216,0.0724,0.0202,0.0260,0.0067
1,WEEKDAY,5,0.2436,0.0649,0.3864,0.0198,0.2457,2.2509,0.1623,0.9023,0.0272,0.0923,0.0463,0.0341,0.0153
1,WEEKDAY,6,0.2635,0.0983,0.4347,0.0306,0.2934,2.2310,0.0948,1.0382,0.0361,0.1079,0.0975,0.0436,0.0322
1,WEEKDAY,7,0.2480,0.1218,0.4588,0.0410,0.3244,2.1744,0.0350,1.1638,0.0499,0.1202,0.1472,0.0519,0.0486
1,WEEKDAY,8,0.1880,0.1545,0.4740,0.0525,0.3376,2.1677,0.0350,1.3135,0.0647,0.1290,0.1747,0.0577,0.0577
1,WEEKDAY,9,0.0989,0.2599,0.5237,0.0592,0.3404,2.3199,0.0350,1.3916,0.0738,0.1338,0.1818,0.0616,0.0601
1,WEEKDAY,10,0.1857,0.3489,0.5458,0.0593,0.3466,2.3936,0.0350,1.4088,0.0764,0.1346,0.1825,0.0634,0.0603
1,WEEKDAY,11,0.0224,0.4553,0.5472,0.0582,0.3459,2.4666,0.0350,1.4102,0.0767,0.1346,0.1825,0.0637,0.0603
1,WEEKDAY,12,0.0442,0.5422,0.5481,0.0578,0.3203,2.6118,0.0350,1.4102,0.0767,0.1346,0.1825,0.0637,0.0603
1,WEEKDAY,13,0.0096,0.5826,0.5481,0.0573,0.2962,2.6236,0.0350,1.4098,0.0767,0.1346,0.1825,0.0637,0.0603
1,WEEKDAY,14,0.0073,0.5909,0.5477,0.0580,0.2634,2.7346,0.0350,1.4076,0.0767,0.1346,0.1825,0.0637,0.0603
1,WEEKDAY,15,0.0041,0.5534,0.5459,0.0589,0.2410,2.7284,0.0350,1.4012,0.0766,0.1345,0.1825,0.0636,0.0603
1,WEEKDAY,16,0.0166,0.4604,0.5409,0.0595,0.2301,2.5962,0.0436,1.3813,0.0746,0.1333,0.1825,0.0633,0.0603
1,WEEKDAY,17,0.0298,0.3675,0.5384,0.0574,0.2229,2.5619,0.1246,1.3580,0.0675,0.1296,0.1825,0.0628,0.0603
1,WEEKDAY,18,0.0734,0.3007,0.5249,0.0526,0.2158,2.4341,0.1950,1.3467,0.0580,0.1238,0.1816,0.0617,0.0600
1,WEEKDAY,19,0.0905,0.2681,0.5211,0.0481,0.2027,2.4178,0.2028,1.3410,0.0529,0.1160,0.1755,0.0597,0.0580
1,WEEKDAY,20,0.1395,0.2436,0.5195,0.0414,0.1840,2.4109,0.2028,1.3214,0.0470,0.1032,0.1654,0.0563,0.0546
1,WEEKDAY,21,0.0361,0.2025,0.4858,0.0329,0.1717,2.2894,0.2028,1.2245,0.0403,0.0890,0.1499,0.0515,0.0495
1,WEEKDAY,22,0.0503,0.1505,0.4755,0.0240,0.1463,2.3034,0.2190,1.0661,0.0329,0.0748,0.1273,0.0447,0.0420
1,WEEKDAY,23,0.0729,0.1254,0.4701,0.0184,0.1029,2.1727,0.2092,0.9543,0.0265,0.0621,0.0925,0.0386,0.0306
1,SATURDAY,0,0.0449,0.0758,0.3737,0.0150,0.0812,2.1546,0.1870,0.7950,0.0217,0.0542,0.0370,0.0316,0.0122
1,SATURDAY,1,0.0683,0.0652,0.3708,0.0129,0.0595,2.1492,0.1722,0.6816,0.0187,0.0485,0.0157,0.0246,0.0052
1,SATURDAY,2,0.1056,0.0596,0.3707,0.0122,0.0653,2.1388,0.1722,0.6404,0.0178,0.0461,0.0134,0.0221,0.0044
1,SATURDAY,3,0.1460,0.0572,0.3680,0.0124,0.0863,2.1325,0.1722,0.6465,0.0185,0.0524,0.0140,0.0224,0.0046
1,SATURDAY,4,0.1912,0.0582,0.3687,0.0145,0.1479,2.1355,0.1666,0.7167,0.0212,0.0718,0.0202,0.0260,0.0067
1,SATURDAY,5,0.2054,0.0650,0.3828,0.0193,0.2447,2.2509,0.1623,0.8971,0.0262,0.0914,0.0463,0.0341,0.0153
1,SATURDAY,6,0.2080,0.0999,0.4148,0.0297,0.2940,2.2310,0.0948,1.0282,0.0340,0.1071,0.0975,0.0436,0.0322
1,SATURDAY,7,0.1980,0.1229,0.4580,0.0381,0.3274,2.1746,0.0350,1.1514,0.0438,0.1192,0.1472,0.0521,0.0486
1,SATURDAY,8,0.1503,0.1625,0.4648,0.0514,0.3386,2.1680,0.0350,1.3115,0.0597,0.1291,0.1747,0.0580,0.0577
1,SATURDAY,9,0.0646,0.2733,0.5215,0.0583,0.3403,2.3201,0.0350,1.3886,0.0717,0.1337,0.1818,0.0621,0.0601
1,SATURDAY,10,0.1619,0.3806,0.5430,0.0583,0.3462,2.3936,0.0350,1.4044,0.0756,0.1344,0.1825,0.0635,0.0603
1,SATURDAY,11,0.0081,0.5113,0.5451,0.0572,0.3454,2.4666,0.0350,1.4051,0.0760,0.1344,0.1825,0.0637,0.0603
1,SATURDAY,12,0.0036,0.6221,0.5471,0.0569,0.3197,2.6118,0.0350,1.4052,0.0760,0.1343,0.1825,0.0637,0.0603
1,SATURDAY,13,0.0024,0.6915,0.5485,0.0563,0.2956,2.6235,0.0350,1.4022,0.0754,0.1339,0.1825,0.0637,0.0603
1,SATURDAY,14,0.0019,0.6802,0.5445,0.0560,0.2628,2.7343,0.0350,1.3945,0.0718,0.1324,0.1825,0.0636,0.0603
1,SATURDAY,15,0.0026,0.6112,0.5415,0.0532,0.2403,2.7279,0.0350,1.3739,0.0597,0.1286,0.1825,0.0634,0.0603
1,SATURDAY,16,0.0042,0.5009,0.5284,0.0526,0.2291,2.5955,0.0436,1.3469,0.0562,0.1265,0.1825,0.0629,0.0603
1,SATURDAY,17,0.0075,0.4023,0.5234,0.0513,0.2211,2.5608,0.1246,1.3213,0.0547,0.1242,0.1825,0.0624,0.0603
1,SATURDAY,18,0.0733,0.3351,0.5220,0.0498,0.2143,2.4329,0.1950,1.3166,0.0531,0.1204,0.1816,0.0614,0.0600
1,SATURDAY,19,0.0841,0.2922,0.5202,0.0459,0.2016,2.4166,0.2028,1.3023,0.0506,0.1134,0.1755,0.0595,0.0580
1,SATURDAY,20,0.1193,0.2482,0.5162,0.0401,0.1836,2.4101,0.2028,1.2763,0.0461,0.1018,0.1654,0.0563,0.0546
1,SATURDAY,21,0.0184,0.1992,0.4830,0.0324,0.1715,2.2891,0.2028,1.2093,0.0400,0.0881,0.1499,0.0514,0.0495
1,SATURDAY,22,0.0245,0.1682,0.4750,0.0238,0.1462,2.3037,0.2190,1.0892,0.0329,0.0744,0.1273,0.0447,0.0420
1,SATURDAY,23,0.0489,0.1319,0.4695,0.0184,0.1030,2.1732,0.2092,0.9645,0.0266,0.0620,0.0925,0.0386,0.0306
1,SUNDAY,0,0.0749,0.0700,0.3764,0.0145,0.0673,2.1531,0.1870,0.7699,0.0213,0.0515,0.0336,0.0311,0.0111
1,SUNDAY,1,0.1180,0.0622,0.3709,0.0127,0.0524,2.1481,0.1722,0.6692,0.0183,0.0465,0.0151,0.0240,0.0050
1,SUNDAY,2,0.1360,0.0581,0.3710,0.0122,0.0689,2.1388,0.1722,0.6359,0.0176,0.0488,0.0134,0.0219,0.0044
