Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.1234,0.0246,0.1098,0.0026,0.0009,0.9639,0.0810,0.1333,0.0089,0.0321,0.0807,0.1337,0.0154
1,WEEKDAY,1,0.1158,0.0238,0.1135,0.0024,0.0009,0.9661,0.0810,0.1239,0.0089,0.0304,0.0792,0.1320,0.0151
1,WEEKDAY,2,0.1800,0.0232,0.1153,0.0024,0.0009,0.9678,0.0810,0.1249,0.0093,0.0300,0.0792,0.1333,0.0153
1,WEEKDAY,3,0.1968,0.0228,0.1177,0.0030,0.0013,0.9702,0.0810,0.1551,0.0114,0.0327,0.0852,0.1457,0.0179
1,WEEKDAY,4,0.1708,0.0235,0.1243,0.0049,0.0029,0.9725,0.0810,0.2799,0.0158,0.0466,0.1194,0.1857,0.0257
1,WEEKDAY,5,0.1654,0.0283,0.2708,0.0064,0.0043,1.0362,0.0783,0.3696,0.0204,0.0585,0.1462,0.2231,0.0344
1,WEEKDAY,6,0.2882,0.0286,0.2928,0.0073,0.0051,1.0218,0.0768,0.4121,0.0241,0.0649,0.1553,0.2428,0.0402
1,WEEKDAY,7,0.2820,0.0286,0.3342,0.0079,0.0056,0.9870,0.0077,0.4378,0.0305,0.0732,0.1580,0.2527,0.0432
1,WEEKDAY,8,0.3229,0.0392,0.3507,0.0082,0.0069,0.9507,0.0000,0.4542,0.0348,0.0770,0.1584,0.2568,0.0447
1,WEEKDAY,9,0.2901,0.0473,0.3633,0.0084,0.0088,1.0057,0.0000,0.4555,0.0354,0.0782,0.1584,0.2585,0.0454
1,WEEKDAY,10,0.2554,0.0745,0.3614,0.0085,0.0106,1.0171,0.0000,0.4556,0.0354,0.0792,0.1584,0.2589,0.0456
1,WEEKDAY,11,0.2393,0.0916,0.3580,0.0086,0.0112,1.0422,0.0000,0.4555,0.0354,0.0792,0.1584,0.2589,0.0456
1,WEEKDAY,12,0.2206,0.1062,0.3559,0.0086,0.0112,1.1224,0.0000,0.4553,0.0353,0.0793,0.1584,0.2588,0.0456
1,WEEKDAY,13,0.2095,0.1232,0.3561,0.0084,0.0100,1.1431,0.0000,0.4550,0.0352,0.0793,0.1584,0.2587,0.0456
