Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous
1,WEEKDAY,0,0.0000,0.0000,0.1629,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,WEEKDAY,1,0.0000,0.0000,0.1629,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,WEEKDAY,2,0.0000,0.0000,0.1707,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,WEEKDAY,3,0.0000,0.0000,0.1756,0.0202,0.0046,0.0341,0.1065,0.1590,0.0031,0.0189
1,WEEKDAY,4,0.0000,0.0000,0.1771,0.0203,0.0046,0.0341,0.1065,0.1636,0.0031,0.0190
1,WEEKDAY,5,0.0000,0.0000,0.1788,0.0228,0.0047,0.0342,0.1065,0.1874,0.0036,0.0199
1,WEEKDAY,6,0.0000,0.0000,0.1738,0.0385,0.0364,0.0349,0.1065,0.3165,0.0065,0.0486
1,WEEKDAY,7,0.4455,0.0000,0.2893,0.0674,0.1101,0.0367,0.0000,0.5156,0.0161,0.1121
1,WEEKDAY,8,0.3724,0.0000,0.3725,0.1112,0.1584,0.0389,0.0000,0.7347,0.0370,0.1974
1,WEEKDAY,9,0.2647,0.0011,0.3446,0.1594,0.1693,0.0409,0.0000,0.8508,0.0677,0.2767
1,WEEKDAY,10,0.1853,0.0045,0.3441,0.1547,0.1692,0.0413,0.0000,0.8804,0.0756,0.3239
1,WEEKDAY,11,0.1265,0.0066,0.3394,0.1646,0.1691,0.0413,0.0000,0.8805,0.0747,0.3294
1,WEEKDAY,12,0.0859,0.0120,0.3356,0.1597,0.1657,0.0410,0.0000,0.8708,0.0729,0.3197
1,WEEKDAY,13,0.0758,0.0152,0.3354,0.1357,0.1608,0.0402,0.0000,0.8243,0.0603,0.2833
1,WEEKDAY,14,0.0707,0.0088,0.3387,0.0957,0.1483,0.0392,0.0000,0.7279,0.0400,0.2187
1,WEEKDAY,15,0.0898,0.0023,0.2569,0.0513,0.1232,0.0373,0.0000,0.5914,0.0245,0.1590
1,WEEKDAY,16,0.1620,0.0000,0.1799,0.0340,0.0814,0.0358,0.0000,0.4541,0.0123,0.1041
1,WEEKDAY,17,0.1934,0.0000,0.1377,0.0256,0.0275,0.0348,0.1065,0.3569,0.0057,0.0510
1,WEEKDAY,18,0.0000,0.0000,0.0298,0.0209,0.0047,0.0342,0.1065,0.2628,0.0036,0.0248
1,WEEKDAY,19,0.0000,0.0000,0.0580,0.0202,0.0046,0.0341,0.1065,0.2067,0.0031,0.0197
1,WEEKDAY,20,0.0000,0.0000,0.1190,0.0202,0.0046,0.0341,0.1065,0.1693,0.0031,0.0189
1,WEEKDAY,21,0.0000,0.0000,0.1391,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,WEEKDAY,22,0.0000,0.0000,0.1419,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,WEEKDAY,23,0.0000,0.0000,0.1460,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,0,0.0000,0.0000,0.1405,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,1,0.0000,0.0000,0.1405,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,2,0.0000,0.0000,0.1573,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,3,0.0000,0.0000,0.1740,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,4,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,5,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,6,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,7,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,8,0.0000,0.0000,0.1548,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,9,0.0000,0.0000,0.1381,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,10,0.0000,0.0000,0.1093,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,11,0.0000,0.0000,0.0768,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,12,0.0000,0.0000,0.0981,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,13,0.0000,0.0000,0.0718,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,14,0.0000,0.0000,0.1030,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,15,0.0000,0.0000,0.1030,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,16,0.0000,0.0000,0.1030,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SATURDAY,17,0.0000,0.0000,0.1080,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,18,0.0000,0.0000,0.1716,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,19,0.0000,0.0000,0.1883,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,20,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,21,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,22,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SATURDAY,23,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,0,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,1,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,2,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,3,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,4,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,5,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,6,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,7,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,8,0.0000,0.0000,0.1620,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,9,0.0000,0.0000,0.1381,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,10,0.0000,0.0000,0.0680,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,11,0.0000,0.0000,0.0116,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,12,0.0000,0.0000,0.0000,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,13,0.0000,0.0000,0.0000,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,14,0.0000,0.0000,0.0000,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,15,0.0000,0.0000,0.0000,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,16,0.0000,0.0000,0.0000,0.0202,0.0046,0.0341,0.0000,0.1587,0.0031,0.0189
1,SUNDAY,17,0.0000,0.0000,0.0981,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,18,0.0000,0.0000,0.1357,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,19,0.0000,0.0000,0.1381,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,20,0.0000,0.0000,0.1740,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,21,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,22,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,SUNDAY,23,0.0000,0.0000,0.1908,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,HOLIDAY,0,0.0000,0.0000,0.1740,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,HOLIDAY,1,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,HOLIDAY,2,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,HOLIDAY,3,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
1,HOLIDAY,4,0.0000,0.0000,0.2075,0.0202,0.0046,0.0341,0.1065,0.1587,0.0031,0.0189
