SegID,Mth,Dy,Hr,Heating,Cooling,Vent,WaterHeat,Cooking,Refrig,ExtLight,IntLight,OfficeEquip,Misc,Process,Motors,AirComp,GasHeating,GasCooling,GasHotWater,GasCooking,GasMisc,GasProcess
FCZ01_LOFF,1,10,1,0,0,0,6.229318619,1.216028094,13.33716106,93.35877228,94.14331818,19.22115898,5.530763626,0,0,0,0,0,98.49716949,0,0,0
FCZ01_LOFF,1,10,2,0,0,0,6.229318619,1.216028094,13.33716106,93.35877228,94.14331818,19.22115898,5.530763626,0,0,0,0,0,98.49716949,0,0,0
FCZ01_LOFF,1,10,3,0,0,0,6.229318619,1.216028094,13.33716106,93.35877228,98.19150543,19.22115898,5.530763626,0,0,0,0,0,98.49716949,0,0,0
FCZ01_LOFF,1,10,4,0,0,0,6.426987171,1.330333829,13.35912991,93.35877228,151.1001129,21.79680634,6.128087997,0,2.870675087,0.535137236,0,0,101.6292419,0,0,0
FCZ01_LOFF,1,10,5,0,0,0,7.733000278,2.286132813,13.5960598,93.35877228,340.7046204,42.59410095,10.57482529,0,33.3716011,6.220970631,0,0,122.2723083,0,0,0
FCZ01_LOFF,1,10,6,0,0,0,9.739315033,4.52362299,14.30841351,93.35877228,498.5830994,87.07180786,19.15856743,0,122.003685,22.74334526,0,0,153.9996948,0,0,0
FCZ01_LOFF,1,10,7,0,0,176.6903687,11.25428772,5.822342396,14.86387253,93.35877228,582.5588989,111.7518387,24.91056061,0,163.090271,30.40248871,21306.79883,0,177.9578247,0,0,0
FCZ01_LOFF,1,10,8,0,0,176.6903687,11.83599472,6.44251442,15.22946072,93.35877228,621.8166504,126.3598709,28.39495277,0,180.8525238,33.71364212,20198.18555,0,187.15065,0,0,0
FCZ01_LOFF,1,10,9,0,0,176.6903687,11.72586155,6.661398411,15.4271574,0,644.5995483,135.3554535,30.16479301,0,188.9263306,35.21873474,17272.46289,0,185.4016266,0,0,0
FCZ01_LOFF,1,10,10,0,0,176.6903687,11.46889877,6.688154697,15.45541286,0,644.881897,139.2380371,30.41919518,0,192.6940765,35.92108536,13944.67871,0,181.3544312,0,0,0
FCZ01_LOFF,1,10,11,0,0,176.6903687,11.58043289,6.683289051,15.45384598,0,638.1975098,140.1991425,30.41919518,0,193.5912476,36.08832169,11933.4248,0,183.1034546,0,0,0
FCZ01_LOFF,1,10,12,0,0,176.6903687,11.66232395,6.651672363,15.44599533,0,633.0195923,140.3144379,30.41919518,0,193.7705231,36.12176895,9796.027344,0,184.4050446,0,0,0
FCZ01_LOFF,1,10,13,0,0,176.6903687,11.50701809,6.578710556,15.42403316,0,633.3964233,139.7763062,30.41919518,0,193.7705231,36.12176895,8254.894531,0,181.9442749,0,0,0
FCZ01_LOFF,1,10,14,0,0,176.6903687,11.36865139,6.454675674,15.37225056,0,635.8439941,136.4318085,30.27539253,0,193.2323608,36.02142715,7349.638672,0,179.7476196,0,0,0
FCZ01_LOFF,1,10,15,0,0,176.6903687,11.17380905,6.184715748,15.26241207,0,636.2207642,131.7417755,29.20243454,0,187.8498077,35.01806259,6740.674805,0,176.6765289,0,0,0
FCZ01_LOFF,1,10,16,0,0,176.6903687,10.85048008,5.68614769,15.0929575,0,617.9569702,121.7084045,26.80208778,0,171.3433228,31.94101715,6911.064453,0,171.5717621,0,0,0
FCZ01_LOFF,1,10,17,0,0,176.6903687,10.29419041,4.895728588,14.83249187,0,575.968811,103.9095764,22.96373749,0,139.0483551,25.92071533,8364.128906,0,162.7653961,0,0,0
FCZ01_LOFF,1,10,18,0,0,176.6903687,9.27197361,3.689427853,14.38687229,93.35877228,520.236084,76.80774689,17.39978218,0,88.99095917,16.58926201,10143.83984,0,146.5966644,0,0,0
FCZ01_LOFF,1,10,19,0,0,0,7.538156509,1.97483027,13.72158527,93.35877228,452.8294067,38.25011826,9.645654678,0,28.70676422,5.351372242,0,0,119.1809311,0,0,0
FCZ01_LOFF,1,10,20,0,0,0,6.400161266,1.293853879,13.38266087,93.35877228,349.7425537,21.29705048,5.9953475,0,3.050093651,0.568583429,0,0,101.2021408,0,0,0
FCZ01_LOFF,1,10,21,0,0,0,6.229318619,1.216028094,13.33716106,93.35877228,240.5361786,19.22115898,5.530763626,0,0,0,0,0,98.49716949,0,0,0
FCZ01_LOFF,1,10,22,0,0,0,6.229318619,1.216028094,13.33716106,93.35877228,157.5959625,19.22115898,5.530763626,0,0,0,0,0,98.49716949,0,0,0
FCZ01_LOFF,1,10,23,0,0,0,6.229318619,1.216028094,13.33716106,93.35877228,114.5724869,19.22115898,5.530763626,0,0,0,0,0,98.49716949,0,0,0
FCZ01_LOFF,1,10,24,0,0,0,6.229318619,1.216028094,13.33716106,93.35877228,96.59106445,19.22115898,5.530763626,0,0,0,0,0,98.49716949,0,0,0
FCZ01_LOFF,1,11,1,0,0,0,6.229319096,1.216027975,13.33716393,93.35877991,94.14334106,19.22115898,5.530764103,0,0,0,0,0,98.49716187,0,0,0
FCZ01_LOFF,1,11,2,0,0,0,6.229319096,1.216027975,13.33716393,93.35877991,94.14334106,19.22115898,5.530764103,0,0,0,0,0,98.49716187,0,0,0
FCZ01_LOFF,1,11,3,0,0,0,6.229319096,1.216027975,13.33716393,93.35877991,94.14334106,19.22115898,5.530764103,0,0,0,0,0,98.49716187,0,0,0
FCZ01_LOFF,1,11,4,0,0,0,6.229319096,1.216027975,13.34499741,93.35877991,94.14334106,19.22115898,5.530764103,0,1.973588943,0.367906958,0,0,98.49716187,0,0,0
FCZ01_LOFF,1,11,5,0,0,0,6.367686749,1.347359061,13.39678288,93.35877991,110.8067017,22.21966171,5.995348454,0,15.42987633,2.876362801,0,0,100.6936569,0,0,0
FCZ01_LOFF,1,11,6,0,0,0,7.169648647,2.376117945,13.51916504,93.35877991,220.3894958,43.74735641,9.258499146,0,46.28963852,8.629090309,0,0,113.3642731,0,0,0
FCZ01_LOFF,1,11,7,0,0,0,7.946196079,4.567399979,13.76080894,93.35877991,394.5547485,82.92007446,15.7073698,0,108.0091629,20.13453674,0,0,125.6485291,0,0,0
FCZ01_LOFF,1,11,8,0,0,176.6903381,8.460128784,5.985289097,13.98989296,93.35877991,566.1780396,109.9065781,23.30664253,0,164.8843536,30.73695374,19982.67969,0,133.7632904,0,0,0
FCZ01_LOFF,1,11,9,0,0,176.6903381,8.573081017,6.542230129,14.13267994,0,632.0782471,127.0518341,28.28432846,0,188.0292664,35.05149841,18034.29297,0,135.5531006,0,0,0
FCZ01_LOFF,1,11,10,0,0,176.6903381,8.509545326,6.688153744,14.18132401,0,644.881897,136.4317932,30.18691444,0,193.2323151,36.02142715,14921.97754,0,134.5565338,0,0,0
FCZ01_LOFF,1,11,11,0,0,176.6903381,8.482720375,6.683289528,14.18446636,0,644.6935425,139.891571,30.4192009,0,193.7705688,36.12176895,13012.73828,0,134.1294098,0,0,0
FCZ01_LOFF,1,11,12,0,0,176.6903381,8.523665428,6.493587971,14.16720486,0,642.9990234,140.3144073,30.4192009,0,193.4116974,36.05487061,11658.20801,0,134.7802277,0,0,0
