Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.6081,0.1549,0.4549,0.0146,0.0626,1.8699,0.1913,0.8173,0.0114,0.0583,0.0255
1,WEEKDAY,1,0.6307,0.1498,0.4601,0.0123,0.0416,1.8653,0.1730,0.8032,0.0106,0.0535,0.0217
1,WEEKDAY,2,0.6414,0.1427,0.4498,0.0118,0.0381,1.8596,0.1625,0.8097,0.0102,0.0503,0.0206
1,WEEKDAY,3,0.6308,0.1301,0.4478,0.0130,0.0518,1.8599,0.1625,0.7855,0.0106,0.0518,0.0202
1,WEEKDAY,4,0.6393,0.1276,0.4538,0.0186,0.0912,1.8629,0.1625,0.8112,0.0131,0.0721,0.0234
1,WEEKDAY,5,0.8260,0.1365,0.4894,0.0311,0.1450,1.9721,0.1625,0.9817,0.0180,0.0901,0.0322
1,WEEKDAY,6,0.7110,0.1400,0.5145,0.0447,0.1711,1.9588,0.1188,1.0799,0.0297,0.1033,0.0426
1,WEEKDAY,7,0.8358,0.1422,0.6091,0.0545,0.1830,1.9078,0.0000,1.1873,0.0373,0.1118,0.0512
1,WEEKDAY,8,0.6221,0.1780,0.6194,0.0570,0.1860,1.9119,0.0000,1.2651,0.0452,0.1186,0.0556
1,WEEKDAY,9,0.4968,0.2135,0.6199,0.0564,0.1864,2.0753,0.0000,1.2879,0.0498,0.1202,0.0568
1,WEEKDAY,10,0.3305,0.2806,0.6201,0.0553,0.1864,2.1507,0.0000,1.2902,0.0510,0.1203,0.0569
1,WEEKDAY,11,0.1782,0.3578,0.6204,0.0546,0.1859,2.2228,0.0000,1.2902,0.0511,0.1203,0.0569
1,WEEKDAY,12,0.1191,0.4499,0.6207,0.0544,0.1819,2.3658,0.0000,1.2902,0.0511,0.1203,0.0569
1,WEEKDAY,13,0.0969,0.5126,0.6211,0.0539,0.1688,2.3991,0.0000,1.2892,0.0511,0.1203,0.0569
1,WEEKDAY,14,0.1164,0.5483,0.6211,0.0544,0.1521,2.5224,0.0000,1.2837,0.0511,0.1203,0.0569
1,WEEKDAY,15,0.1232,0.5237,0.6211,0.0553,0.1405,2.5235,0.0000,1.2793,0.0510,0.1200,0.0569
1,WEEKDAY,16,0.1805,0.4643,0.6208,0.0563,0.1340,2.3989,0.0000,1.2728,0.0501,0.1168,0.0568
1,WEEKDAY,17,0.2630,0.3657,0.6203,0.0569,0.1295,2.3436,0.1579,1.2522,0.0469,0.1076,0.0566
1,WEEKDAY,18,0.3581,0.3002,0.6198,0.0561,0.1249,2.1945,0.2016,1.1936,0.0421,0.0965,0.0560
1,WEEKDAY,19,0.4407,0.2643,0.6198,0.0522,0.1207,2.1554,0.2199,1.1461,0.0376,0.0882,0.0542
1,WEEKDAY,20,0.5145,0.2374,0.6104,0.0440,0.1153,2.1245,0.2199,1.1127,0.0316,0.0807,0.0514
1,WEEKDAY,21,0.5381,0.2080,0.5286,0.0339,0.1082,1.9974,0.1913,1.0277,0.0202,0.0750,0.0474
1,WEEKDAY,22,0.5804,0.1809,0.4847,0.0254,0.0970,2.0040,0.1913,0.9494,0.0155,0.0698,0.0425
1,WEEKDAY,23,0.6066,0.1624,0.4573,0.0193,0.0831,1.8800,0.1913,0.8560,0.0129,0.0639,0.0355
1,SATURDAY,0,0.5747,0.1645,0.4457,0.0147,0.0627,1.8709,0.1913,0.8178,0.0116,0.0583,0.0255
