Month,Weekend,Hour,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0000,0.0040,0.0006,1.8808,0.0947,0.0908,0.0091,0.0304,0.1846,0.0837
1,WEEKDAY,1,0.0000,0.0045,0.0003,1.8816,0.0947,0.0650,0.0089,0.0273,0.1560,0.0788
1,WEEKDAY,2,0.0000,0.0061,0.0002,1.8801,0.0947,0.0574,0.0089,0.0275,0.1488,0.0789
1,WEEKDAY,3,0.0000,0.0058,0.0002,1.8922,0.0947,0.0730,0.0094,0.0342,0.1576,0.0856
1,WEEKDAY,4,0.0000,0.0042,0.0006,1.8754,0.0947,0.1671,0.0134,0.0704,0.2071,0.1179
1,WEEKDAY,5,0.0000,0.0004,0.0020,1.9749,0.0947,0.2877,0.0250,0.1057,0.2686,0.1463
1,WEEKDAY,6,0.0029,0.0125,0.0033,1.9467,0.0947,0.3424,0.0407,0.1271,0.2991,0.1573
1,WEEKDAY,7,0.0450,0.5975,0.0040,1.7588,0.0000,0.3616,0.0502,0.1388,0.3123,0.1612
1,WEEKDAY,8,0.1410,0.6190,0.0044,1.7121,0.0000,0.3681,0.0550,0.1438,0.3158,0.1619
1,WEEKDAY,9,0.2173,0.6364,0.0045,1.7674,0.0000,0.3697,0.0572,0.1453,0.3162,0.1620
1,WEEKDAY,10,0.2608,0.6467,0.0045,1.7886,0.0000,0.3693,0.0579,0.1455,0.3162,0.1620
1,WEEKDAY,11,0.2937,0.6559,0.0045,1.8393,0.0000,0.3686,0.0580,0.1455,0.3162,0.1620
1,WEEKDAY,12,0.3164,0.6607,0.0045,1.9974,0.0000,0.3686,0.0578,0.1454,0.3162,0.1620
1,WEEKDAY,13,0.3357,0.6646,0.0045,2.0608,0.0000,0.3688,0.0566,0.1452,0.3162,0.1620
1,WEEKDAY,14,0.3449,0.6657,0.0043,2.2288,0.0000,0.3683,0.0545,0.1430,0.3162,0.1620
1,WEEKDAY,15,0.3007,0.6565,0.0038,2.2703,0.0000,0.3625,0.0486,0.1380,0.3160,0.1619
1,WEEKDAY,16,0.2076,0.6354,0.0032,2.1607,0.0000,0.3470,0.0379,0.1297,0.3153,0.1613
1,WEEKDAY,17,0.1070,0.6111,0.0022,2.1372,0.0947,0.3192,0.0244,0.1162,0.3125,0.1594
1,WEEKDAY,18,0.0000,0.5820,0.0015,1.9937,0.0947,0.2924,0.0163,0.1067,0.3133,0.1600
1,WEEKDAY,19,0.0000,0.5820,0.0012,1.9400,0.0947,0.2536,0.0132,0.0960,0.2988,0.1497
1,WEEKDAY,20,0.0000,0.5820,0.0010,1.9186,0.0947,0.1622,0.0104,0.0539,0.2328,0.1035
1,WEEKDAY,21,0.0000,0.5824,0.0009,1.8106,0.0947,0.1368,0.0097,0.0433,0.2193,0.0953
1,WEEKDAY,22,0.0000,0.5833,0.0009,1.9887,0.0947,0.1628,0.0105,0.0690,0.2519,0.1205
1,WEEKDAY,23,0.0000,0.5837,0.0007,1.8768,0.0947,0.1232,0.0096,0.0479,0.2138,0.0976
1,SATURDAY,0,0.0000,0.0000,0.0003,1.8804,0.0947,0.0583,0.0089,0.0269,0.1506,0.0778
1,SATURDAY,1,0.0000,0.0013,0.0002,1.8815,0.0947,0.0622,0.0090,0.0321,0.1535,0.0827
1,SATURDAY,2,0.0000,0.0000,0.0002,1.8801,0.0947,0.1110,0.0103,0.0635,0.1996,0.1153
1,SATURDAY,3,0.0000,0.0030,0.0002,1.8922,0.0947,0.1554,0.0116,0.0911,0.2406,0.1443
1,SATURDAY,4,0.0000,0.0015,0.0003,1.8752,0.0947,0.1754,0.0121,0.0958,0.2581,0.1520
1,SATURDAY,5,0.0000,0.0047,0.0009,1.9741,0.0947,0.2199,0.0126,0.0971,0.3022,0.1598
1,SATURDAY,6,0.0000,0.0049,0.0010,1.9448,0.0947,0.2339,0.0128,0.0973,0.3125,0.1615
1,SATURDAY,7,0.0000,0.5870,0.0011,1.7562,0.0000,0.2404,0.0128,0.0973,0.3143,0.1617
1,SATURDAY,8,0.0000,0.5820,0.0011,1.7090,0.0000,0.2461,0.0128,0.0973,0.3159,0.1619
1,SATURDAY,9,0.0000,0.5820,0.0011,1.7640,0.0000,0.2485,0.0128,0.0973,0.3162,0.1620
1,SATURDAY,10,0.0000,0.5820,0.0011,1.7851,0.0000,0.2502,0.0128,0.0973,0.3162,0.1620
1,SATURDAY,11,0.0000,0.5820,0.0011,1.8359,0.0000,0.2516,0.0128,0.0972,0.3162,0.1620
1,SATURDAY,12,0.0000,0.5820,0.0011,1.9940,0.0000,0.2518,0.0128,0.0965,0.3162,0.1620
1,SATURDAY,13,0.0000,0.5820,0.0011,2.0575,0.0000,0.2518,0.0128,0.0958,0.3162,0.1620
1,SATURDAY,14,0.0000,0.5820,0.0011,2.2256,0.0000,0.2513,0.0128,0.0946,0.3157,0.1616
1,SATURDAY,15,0.0000,0.5820,0.0011,2.2674,0.0000,0.2486,0.0128,0.0912,0.3126,0.1594
1,SATURDAY,16,0.0000,0.5820,0.0011,2.1584,0.0000,0.2283,0.0122,0.0795,0.2952,0.1471
1,SATURDAY,17,0.0000,0.5820,0.0011,2.1358,0.0947,0.1479,0.0102,0.0427,0.2313,0.1021
1,SATURDAY,18,0.0000,0.5834,0.0011,1.9929,0.0947,0.1626,0.0111,0.0578,0.2493,0.1159
1,SATURDAY,19,0.0000,0.5833,0.0010,1.9393,0.0947,0.1272,0.0098,0.0341,0.2130,0.0914
1,SATURDAY,20,0.0000,0.5835,0.0010,1.9180,0.0947,0.1158,0.0094,0.0281,0.2016,0.0850
1,SATURDAY,21,0.0000,0.5836,0.0009,1.8100,0.0947,0.1064,0.0094,0.0280,0.1951,0.0841
1,SATURDAY,22,0.0000,0.5851,0.0008,1.9881,0.0947,0.0956,0.0093,0.0279,0.1879,0.0830
1,SATURDAY,23,0.0000,0.5883,0.0006,1.8763,0.0947,0.0820,0.0092,0.0276,0.1767,0.0815
1,SUNDAY,0,0.0000,0.0067,0.0003,1.8804,0.0947,0.0583,0.0089,0.0269,0.1489,0.0790
1,SUNDAY,1,0.0000,0.0074,0.0002,1.8815,0.0947,0.0622,0.0090,0.0321,0.1725,0.0961
1,SUNDAY,2,0.0000,0.0077,0.0002,1.8801,0.0947,0.1110,0.0103,0.0635,0.2326,0.1386
1,SUNDAY,3,0.0000,0.0082,0.0002,1.8922,0.0947,0.1554,0.0116,0.0911,0.2472,0.1487
1,SUNDAY,4,0.0000,0.0084,0.0003,1.8752,0.0947,0.1754,0.0121,0.0958,0.2605,0.1524
1,SUNDAY,5,0.0000,0.0087,0.0009,1.9741,0.0947,0.2199,0.0126,0.0971,0.3026,0.1598
1,SUNDAY,6,0.0000,0.0091,0.0010,1.9448,0.0947,0.2339,0.0128,0.0973,0.3122,0.1614
1,SUNDAY,7,0.0000,0.5911,0.0011,1.7562,0.0000,0.2404,0.0128,0.0973,0.3139,0.1617
1,SUNDAY,8,0.0000,0.5899,0.0011,1.7090,0.0000,0.2461,0.0128,0.0973,0.3154,0.1619
1,SUNDAY,9,0.0000,0.5859,0.0011,1.7640,0.0000,0.2485,0.0128,0.0973,0.3161,0.1620
1,SUNDAY,10,0.0000,0.5835,0.0011,1.7851,0.0000,0.2502,0.0128,0.0973,0.3162,0.1620
1,SUNDAY,11,0.0000,0.5837,0.0011,1.8359,0.0000,0.2516,0.0128,0.0972,0.3162,0.1620
1,SUNDAY,12,0.0000,0.5833,0.0011,1.9940,0.0000,0.2518,0.0128,0.0965,0.3162,0.1620
1,SUNDAY,13,0.0000,0.5835,0.0011,2.0575,0.0000,0.2518,0.0128,0.0958,0.3162,0.1620
1,SUNDAY,14,0.0000,0.5820,0.0011,2.2256,0.0000,0.2513,0.0128,0.0946,0.3157,0.1616
1,SUNDAY,15,0.0000,0.5833,0.0011,2.2674,0.0000,0.2486,0.0128,0.0912,0.3126,0.1594
1,SUNDAY,16,0.0000,0.5851,0.0011,2.1584,0.0000,0.2283,0.0122,0.0795,0.3090,0.1569
1,SUNDAY,17,0.0000,0.5855,0.0011,2.1358,0.0947,0.1479,0.0102,0.0427,0.2959,0.1476
1,SUNDAY,18,0.0000,0.5859,0.0011,1.9929,0.0947,0.1626,0.0111,0.0578,0.2414,0.1091
1,SUNDAY,19,0.0000,0.5874,0.0010,1.9394,0.0947,0.1272,0.0098,0.0341,0.2116,0.0885
1,SUNDAY,20,0.0000,0.5893,0.0010,1.9181,0.0947,0.1158,0.0094,0.0281,0.2061,0.0856
1,SUNDAY,21,0.0000,0.5901,0.0009,1.8100,0.0947,0.1064,0.0094,0.0280,0.2042,0.0853
1,SUNDAY,22,0.0000,0.5905,0.0008,1.9881,0.0947,0.0956,0.0093,0.0279,0.1953,0.0841
1,SUNDAY,23,0.0000,0.5914,0.0006,1.8762,0.0947,0.0820,0.0092,0.0276,0.1573,0.0788
1,HOLIDAY,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,HOLIDAY,23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,WEEKDAY,0,0.0000,0.0014,0.0006,1.8067,0.0947,0.0909,0.0091,0.0305,0.1847,0.0837
2,WEEKDAY,1,0.0000,0.0021,0.0003,1.8002,0.0947,0.0646,0.0089,0.0272,0.1556,0.0785
2,WEEKDAY,2,0.0000,0.0022,0.0002,1.8005,0.0947,0.0549,0.0088,0.0268,0.1464,0.0772
2,WEEKDAY,3,0.0000,0.0030,0.0002,1.8056,0.0947,0.0692,0.0093,0.0332,0.1538,0.0829
2,WEEKDAY,4,0.0000,0.0018,0.0006,1.7879,0.0947,0.1667,0.0135,0.0710,0.2049,0.1163
