Month,Weekend,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0255,0.0007,0.1373,0.0028,0.0467,0.1960,0.3761,0.0558,0.0660,0.0086,0.0016
1,WEEKDAY,1,0.0292,0.0034,0.1393,0.0026,0.0461,0.1960,0.3700,0.0544,0.0705,0.0078,0.0016
1,WEEKDAY,2,0.0290,0.0014,0.1534,0.0026,0.0458,0.1960,0.3711,0.0548,0.0708,0.0079,0.0016
1,WEEKDAY,3,0.0334,0.0051,0.1599,0.0028,0.0458,0.1960,0.3810,0.0580,0.0742,0.0092,0.0016
1,WEEKDAY,4,0.0342,0.0057,0.1700,0.0039,0.0463,0.1960,0.4111,0.0642,0.0813,0.0125,0.0017
1,WEEKDAY,5,0.0334,0.0044,0.1683,0.0061,0.0480,0.1960,0.5550,0.0714,0.0906,0.0167,0.0017
1,WEEKDAY,6,0.0417,0.0111,0.2258,0.0465,0.0503,0.1960,0.7328,0.0793,0.0985,0.0341,0.0185
1,WEEKDAY,7,0.0768,0.0559,0.2708,0.0567,0.0524,0.0441,1.0724,0.1145,0.1121,0.0405,0.0186
1,WEEKDAY,8,0.0896,0.0601,0.2587,0.0505,0.0541,0.0000,1.1611,0.1303,0.1573,0.0488,0.0188
1,WEEKDAY,9,0.0922,0.0610,0.2215,0.0314,0.0554,0.0000,1.2453,0.1464,0.1736,0.0520,0.0189
1,WEEKDAY,10,0.0916,0.0686,0.2114,0.0362,0.0560,0.0000,1.2594,0.1426,0.1864,0.0523,0.0189
1,WEEKDAY,11,0.0836,0.0859,0.1914,0.0642,0.0562,0.0000,1.2592,0.1363,0.1624,0.0500,0.0159
1,WEEKDAY,12,0.0795,0.1011,0.1921,0.0640,0.0564,0.0000,1.2591,0.1298,0.1504,0.0500,0.0159
1,WEEKDAY,13,0.0736,0.1187,0.1901,0.0565,0.0564,0.0000,1.2591,0.1428,0.1624,0.0523,0.0189
1,WEEKDAY,14,0.0718,0.1311,0.1914,0.0436,0.0566,0.0000,1.2589,0.1484,0.1737,0.0523,0.0189
1,WEEKDAY,15,0.0725,0.1353,0.1910,0.0496,0.0566,0.0000,1.2526,0.1444,0.1722,0.0523,0.0189
1,WEEKDAY,16,0.0783,0.0894,0.1898,0.0631,0.0562,0.0000,1.1632,0.1284,0.1578,0.0522,0.0189
1,WEEKDAY,17,0.0727,0.0614,0.1906,0.0634,0.0558,0.1960,1.1368,0.1008,0.1124,0.0470,0.0128
1,WEEKDAY,18,0.0682,0.0467,0.1760,0.0444,0.0552,0.1960,1.0844,0.0952,0.1094,0.0435,0.0098
1,WEEKDAY,19,0.0635,0.0351,0.1755,0.0307,0.0545,0.1960,1.0199,0.0872,0.1069,0.0361,0.0021
1,WEEKDAY,20,0.0633,0.0311,0.1763,0.0116,0.0534,0.1960,0.9518,0.0802,0.1036,0.0338,0.0021
1,WEEKDAY,21,0.0642,0.0282,0.1779,0.0087,0.0517,0.1960,0.8099,0.0752,0.0984,0.0292,0.0020
1,WEEKDAY,22,0.0303,0.0084,0.1842,0.0051,0.0499,0.1960,0.6183,0.0705,0.0905,0.0228,0.0019
1,WEEKDAY,23,0.0357,0.0141,0.2006,0.0035,0.0481,0.1960,0.5618,0.0635,0.0799,0.0140,0.0017
1,SATURDAY,0,0.0217,0.0000,0.1191,0.0031,0.0458,0.1960,0.4007,0.0544,0.0708,0.0079,0.0017
1,SATURDAY,1,0.0229,0.0000,0.1191,0.0027,0.0457,0.1960,0.4000,0.0545,0.0705,0.0079,0.0017
1,SATURDAY,2,0.0233,0.0000,0.1191,0.0026,0.0458,0.1960,0.3998,0.0555,0.0710,0.0080,0.0017
1,SATURDAY,3,0.0232,0.0000,0.1191,0.0026,0.0462,0.1960,0.4027,0.0594,0.0763,0.0095,0.0017
1,SATURDAY,4,0.0229,0.0000,0.1223,0.0027,0.0469,0.1960,0.4210,0.0634,0.0861,0.0124,0.0017
