Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0139,0.1065,0.0396,0.0027,0.0654,0.1589,0.2143,0.1471,0.0170,0.0096,0.0020
1,WEEKDAY,1,0.0139,0.1077,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
1,WEEKDAY,2,0.0140,0.1089,0.0396,0.0029,0.0655,0.1589,0.2159,0.1476,0.0186,0.0248,0.0030
1,WEEKDAY,3,0.0143,0.1096,0.0407,0.0036,0.0658,0.1589,0.2405,0.1541,0.0280,0.1035,0.0079
1,WEEKDAY,4,0.0145,0.1082,0.0470,0.0050,0.0663,0.1589,0.3336,0.1890,0.0384,0.1343,0.0107
1,WEEKDAY,5,0.0147,0.1051,0.0571,0.0094,0.0681,0.1589,0.4385,0.2669,0.0555,0.1496,0.0193
1,WEEKDAY,6,0.0148,0.1019,0.0675,0.0158,0.0714,0.1464,0.5491,0.3205,0.0707,0.1560,0.0395
1,WEEKDAY,7,0.0149,0.0988,0.0735,0.0222,0.0741,0.0000,0.6587,0.3637,0.0830,0.1599,0.0497
1,WEEKDAY,8,0.0161,0.1100,0.0761,0.0285,0.0759,0.0000,0.7644,0.4047,0.0918,0.1623,0.0536
1,WEEKDAY,9,0.0227,0.1285,0.0762,0.0327,0.0767,0.0000,0.8373,0.4292,0.0966,0.1636,0.0553
1,WEEKDAY,10,0.0444,0.1154,0.0764,0.0337,0.0768,0.0000,0.8464,0.4385,0.0978,0.1638,0.0559
1,WEEKDAY,11,0.0773,0.1164,0.0765,0.0337,0.0768,0.0000,0.8350,0.4404,0.0978,0.1638,0.0560
1,WEEKDAY,12,0.1072,0.1178,0.0761,0.0332,0.0767,0.0000,0.8329,0.4396,0.0978,0.1638,0.0560
1,WEEKDAY,13,0.1351,0.1200,0.0751,0.0323,0.0763,0.0000,0.8386,0.4340,0.0976,0.1638,0.0558
1,WEEKDAY,14,0.1550,0.1229,0.0738,0.0302,0.0756,0.0000,0.8379,0.4236,0.0952,0.1635,0.0535
1,WEEKDAY,15,0.1425,0.1200,0.0717,0.0258,0.0743,0.0000,0.7970,0.4004,0.0880,0.1617,0.0458
1,WEEKDAY,16,0.0842,0.1116,0.0679,0.0187,0.0720,0.0000,0.6899,0.3546,0.0748,0.1577,0.0323
1,WEEKDAY,17,0.0380,0.0934,0.0605,0.0102,0.0690,0.1489,0.5818,0.2713,0.0566,0.1471,0.0181
1,WEEKDAY,18,0.0210,0.0833,0.0490,0.0052,0.0667,0.1772,0.4861,0.1921,0.0401,0.1321,0.0107
1,WEEKDAY,19,0.0151,0.0856,0.0411,0.0037,0.0660,0.1772,0.3927,0.1575,0.0311,0.1087,0.0083
1,WEEKDAY,20,0.0147,0.0930,0.0399,0.0033,0.0658,0.1772,0.3141,0.1508,0.0258,0.0760,0.0061
1,WEEKDAY,21,0.0142,0.0982,0.0397,0.0028,0.0655,0.1772,0.2586,0.1477,0.0184,0.0201,0.0027
1,WEEKDAY,22,0.0140,0.1017,0.0396,0.0027,0.0654,0.1589,0.2301,0.1471,0.0170,0.0096,0.0020
