Month,Weekend,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.1213,0.1675,0.3762,0.0315,0.1132,0.2486,0.5809,0.0089,0.3955,0.0498,0.0026
1,WEEKDAY,1,0.1365,0.1574,0.3779,0.0312,0.1088,0.2486,0.5532,0.0087,0.3878,0.0394,0.0026
1,WEEKDAY,2,0.1476,0.1520,0.3799,0.0307,0.1067,0.2486,0.5452,0.0085,0.3818,0.0354,0.0026
1,WEEKDAY,3,0.1577,0.1474,0.3814,0.0301,0.1066,0.2486,0.5465,0.0085,0.3820,0.0372,0.0031
1,WEEKDAY,4,0.1730,0.1476,0.3830,0.0372,0.1124,0.2486,0.5747,0.0089,0.3871,0.0517,0.0052
1,WEEKDAY,5,0.1770,0.1492,0.3954,0.0700,0.1200,0.2486,0.6460,0.0101,0.4050,0.0925,0.0085
1,WEEKDAY,6,0.1731,0.1529,0.3952,0.0899,0.1246,0.1737,0.7027,0.0113,0.4186,0.1190,0.0105
1,WEEKDAY,7,0.1598,0.1610,0.3941,0.1051,0.1279,0.0000,0.7282,0.0142,0.4348,0.1289,0.0115
1,WEEKDAY,8,0.1067,0.1857,0.3875,0.0979,0.1310,0.0000,0.7269,0.0146,0.4390,0.1308,0.0120
1,WEEKDAY,9,0.0799,0.2352,0.3814,0.0967,0.1341,0.0000,0.7259,0.0146,0.4401,0.1274,0.0122
1,WEEKDAY,10,0.0718,0.2749,0.3802,0.1009,0.1352,0.0000,0.7072,0.0143,0.4430,0.1239,0.0122
1,WEEKDAY,11,0.0626,0.3076,0.3789,0.1096,0.1353,0.0000,0.6854,0.0142,0.4448,0.1225,0.0122
1,WEEKDAY,12,0.0562,0.3403,0.3777,0.1161,0.1357,0.0000,0.6783,0.0137,0.4448,0.1225,0.0122
1,WEEKDAY,13,0.0525,0.3759,0.3781,0.1079,0.1358,0.0000,0.6775,0.0138,0.4457,0.1224,0.0122
1,WEEKDAY,14,0.0513,0.4076,0.3793,0.1026,0.1361,0.0000,0.6790,0.0142,0.4466,0.1238,0.0122
1,WEEKDAY,15,0.0520,0.4002,0.3795,0.1005,0.1362,0.0000,0.6852,0.0143,0.4520,0.1256,0.0122
1,WEEKDAY,16,0.0543,0.3527,0.3815,0.1064,0.1358,0.0000,0.6979,0.0142,0.4573,0.1229,0.0121
1,WEEKDAY,17,0.0572,0.3001,0.3841,0.1177,0.1349,0.1737,0.7159,0.0140,0.4531,0.1189,0.0118
1,WEEKDAY,18,0.0618,0.2659,0.3846,0.1164,0.1332,0.2486,0.7450,0.0137,0.4559,0.1454,0.0115
1,WEEKDAY,19,0.0696,0.2456,0.3853,0.1136,0.1322,0.2486,0.7652,0.0124,0.4571,0.1496,0.0107
1,WEEKDAY,20,0.0775,0.2269,0.3855,0.1001,0.1299,0.2486,0.7721,0.0119,0.4439,0.1480,0.0091
1,WEEKDAY,21,0.0869,0.2109,0.3871,0.0879,0.1256,0.2486,0.7513,0.0115,0.4266,0.1307,0.0066
1,WEEKDAY,22,0.1050,0.1904,0.3884,0.0724,0.1208,0.2486,0.6487,0.0104,0.4119,0.0823,0.0036
1,WEEKDAY,23,0.1141,0.1749,0.3762,0.0321,0.1172,0.2486,0.6005,0.0094,0.4050,0.0570,0.0027
1,SATURDAY,0,0.1147,0.1796,0.3747,0.0320,0.1129,0.2486,0.5809,0.0089,0.3962,0.0501,0.0026
1,SATURDAY,1,0.1238,0.1662,0.3754,0.0318,0.1085,0.2486,0.5536,0.0087,0.3890,0.0400,0.0026
1,SATURDAY,2,0.1338,0.1559,0.3761,0.0315,0.1065,0.2486,0.5461,0.0085,0.3837,0.0365,0.0026
1,SATURDAY,3,0.1447,0.1526,0.3767,0.0309,0.1066,0.2486,0.5476,0.0085,0.3848,0.0388,0.0031
1,SATURDAY,4,0.1546,0.1481,0.3780,0.0380,0.1125,0.2486,0.5683,0.0089,0.3906,0.0538,0.0051
1,SATURDAY,5,0.1687,0.1466,0.3911,0.0706,0.1201,0.2486,0.5905,0.0101,0.4086,0.0947,0.0085
1,SATURDAY,6,0.1679,0.1480,0.3940,0.0901,0.1247,0.1737,0.6715,0.0113,0.4215,0.1206,0.0103
1,SATURDAY,7,0.1517,0.1588,0.3906,0.1051,0.1279,0.0000,0.7132,0.0142,0.4354,0.1291,0.0112
1,SATURDAY,8,0.0971,0.1884,0.3836,0.0979,0.1310,0.0000,0.7250,0.0146,0.4387,0.1306,0.0118
1,SATURDAY,9,0.0766,0.2502,0.3814,0.0967,0.1341,0.0000,0.7248,0.0146,0.4399,0.1272,0.0120
1,SATURDAY,10,0.0693,0.3003,0.3800,0.1009,0.1352,0.0000,0.7066,0.0143,0.4429,0.1238,0.0121
1,SATURDAY,11,0.0639,0.3413,0.3777,0.1096,0.1353,0.0000,0.6851,0.0142,0.4448,0.1225,0.0121
1,SATURDAY,12,0.0552,0.3732,0.3776,0.1161,0.1357,0.0000,0.6783,0.0137,0.4448,0.1225,0.0122
1,SATURDAY,13,0.0524,0.4167,0.3780,0.1079,0.1358,0.0000,0.6776,0.0138,0.4457,0.1224,0.0122
1,SATURDAY,14,0.0506,0.4360,0.3787,0.1026,0.1361,0.0000,0.6791,0.0142,0.4466,0.1238,0.0122
1,SATURDAY,15,0.0519,0.4130,0.3790,0.1010,0.1362,0.0000,0.6863,0.0143,0.4524,0.1261,0.0121
1,SATURDAY,16,0.0515,0.3763,0.3810,0.1083,0.1359,0.0000,0.7019,0.0142,0.4591,0.1244,0.0119
1,SATURDAY,17,0.0564,0.3227,0.3838,0.1198,0.1350,0.1737,0.7204,0.0140,0.4552,0.1206,0.0117
1,SATURDAY,18,0.0637,0.2755,0.3852,0.1175,0.1331,0.2486,0.7466,0.0137,0.4569,0.1462,0.0114
1,SATURDAY,19,0.0667,0.2583,0.3851,0.1137,0.1318,0.2486,0.7652,0.0123,0.4570,0.1498,0.0108
1,SATURDAY,20,0.0696,0.2308,0.3850,0.1001,0.1295,0.2486,0.7721,0.0119,0.4437,0.1485,0.0096
1,SATURDAY,21,0.0830,0.2137,0.3854,0.0879,0.1253,0.2486,0.7517,0.0115,0.4265,0.1315,0.0075
