Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Air_Compressors
1,WEEKDAY,0,0.0000,0.4141,0.4681,1.1615,0.8679,0.3530,0.7431,0.1829,0.2995,0.0795
1,WEEKDAY,1,0.0000,0.4141,0.2142,0.8698,0.8593,0.3530,0.6837,0.1764,0.2603,0.0538
1,WEEKDAY,2,0.0000,0.3501,0.1215,0.6277,0.8433,0.3530,0.5949,0.1546,0.2119,0.0423
1,WEEKDAY,3,0.0000,0.1660,0.1114,0.3900,0.8255,0.3530,0.3421,0.0782,0.1132,0.0409
1,WEEKDAY,4,0.0000,0.1660,0.1114,0.2816,0.8177,0.3530,0.1428,0.0129,0.0536,0.0409
1,WEEKDAY,5,0.0000,0.1660,0.1114,0.3069,0.8278,0.3530,0.1412,0.0040,0.0639,0.0415
1,WEEKDAY,6,0.0000,0.1660,0.1215,0.4067,0.8405,0.3530,0.1854,0.0060,0.0958,0.0482
1,WEEKDAY,7,0.0000,0.1660,0.2142,0.6833,0.8518,0.0000,0.2581,0.0096,0.1498,0.0728
1,WEEKDAY,8,0.0000,0.2242,0.4789,0.9764,0.8679,0.0000,0.3533,0.0169,0.1998,0.0996
1,WEEKDAY,9,0.0004,0.2300,0.7622,1.1171,0.8821,0.0000,0.4048,0.0221,0.2265,0.1082
1,WEEKDAY,10,0.0028,0.3193,0.9317,1.2475,0.8912,0.0000,0.4290,0.0258,0.2398,0.1091
1,WEEKDAY,11,0.0252,0.4141,0.9930,1.3979,0.9044,0.0000,0.4950,0.0383,0.2649,0.1091
1,WEEKDAY,12,0.0621,0.4141,0.9953,1.5459,0.9245,0.0000,0.6013,0.0646,0.3079,0.1091
1,WEEKDAY,13,0.0888,0.4141,0.9658,1.6277,0.9374,0.0000,0.7085,0.1091,0.3550,0.1091
1,WEEKDAY,14,0.1158,0.4141,0.9419,1.4897,0.9333,0.0000,0.7595,0.1479,0.3541,0.1091
1,WEEKDAY,15,0.1488,0.4141,0.9284,1.3959,0.9308,0.0000,0.8026,0.1761,0.3555,0.1091
1,WEEKDAY,16,0.1443,0.4141,0.9264,1.3604,0.9234,0.0000,0.7980,0.1871,0.3589,0.1091
1,WEEKDAY,17,0.0906,0.4141,0.9494,1.3841,0.9180,0.3530,0.7900,0.1895,0.3573,0.1091
1,WEEKDAY,18,0.0388,0.4141,0.9689,1.4139,0.9070,0.3530,0.7938,0.1897,0.3569,0.1091
1,WEEKDAY,19,0.0103,0.4141,0.9760,1.4214,0.8994,0.3530,0.7948,0.1897,0.3569,0.1091
1,WEEKDAY,20,0.0000,0.4141,0.9688,1.4003,0.8947,0.3530,0.7948,0.1897,0.3560,0.1091
1,WEEKDAY,21,0.0000,0.4141,0.9422,1.3822,0.8860,0.3530,0.7948,0.1893,0.3503,0.1085
1,WEEKDAY,22,0.0000,0.4141,0.8540,1.3569,0.8826,0.3530,0.7931,0.1883,0.3409,0.1048
1,WEEKDAY,23,0.0000,0.4141,0.6959,1.2943,0.8730,0.3530,0.7796,0.1863,0.3254,0.0960
1,SATURDAY,0,0.0000,0.4141,0.4681,1.1615,0.8679,0.3530,0.7431,0.1829,0.2995,0.0795
1,SATURDAY,1,0.0000,0.4141,0.2142,0.8698,0.8593,0.3530,0.6837,0.1764,0.2603,0.0538
1,SATURDAY,2,0.0000,0.3501,0.1215,0.6277,0.8433,0.3530,0.5949,0.1546,0.2119,0.0423
1,SATURDAY,3,0.0000,0.1660,0.1114,0.3900,0.8255,0.3530,0.3421,0.0782,0.1132,0.0409
1,SATURDAY,4,0.0000,0.1660,0.1114,0.2816,0.8177,0.3530,0.1428,0.0129,0.0536,0.0409
1,SATURDAY,5,0.0000,0.1660,0.1114,0.3069,0.8278,0.3530,0.1412,0.0040,0.0639,0.0415
1,SATURDAY,6,0.0000,0.1660,0.1215,0.4067,0.8405,0.3530,0.1854,0.0060,0.0958,0.0482
1,SATURDAY,7,0.0000,0.1660,0.2142,0.6833,0.8518,0.0000,0.2581,0.0096,0.1498,0.0728
1,SATURDAY,8,0.0000,0.2300,0.4789,0.9764,0.8679,0.0000,0.3533,0.0169,0.1998,0.0996
