Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.0000,0.0356,0.3255,0.0203,0.0322,2.6463,0.2640,0.6365,0.0213,0.0764,0.0012
1,WEEKDAY,1,0.0000,0.0434,0.3699,0.0202,0.0360,2.6348,0.2640,0.5804,0.0220,0.0763,0.0012
1,WEEKDAY,2,0.0000,0.0476,0.3699,0.0205,0.0349,2.6258,0.2640,0.5700,0.0205,0.0757,0.0012
1,WEEKDAY,3,0.0000,0.0412,0.3698,0.0217,0.0458,2.6202,0.2640,0.5943,0.0209,0.0772,0.0012
1,WEEKDAY,4,0.0000,0.0444,0.3698,0.0273,0.1248,2.6256,0.2640,0.6682,0.0266,0.0889,0.0013
1,WEEKDAY,5,0.0000,0.0440,0.4775,0.0411,0.1952,2.7700,0.2640,0.7570,0.0384,0.1063,0.0018
1,WEEKDAY,6,0.6745,0.0488,0.5036,0.0712,0.2362,2.7577,0.1812,0.9323,0.0533,0.1178,0.0027
1,WEEKDAY,7,0.6491,0.0511,0.5746,0.0942,0.2733,2.7056,0.0000,1.0688,0.0675,0.1207,0.0037
1,WEEKDAY,8,0.3484,0.0769,0.5748,0.0995,0.2742,2.6916,0.0000,1.1013,0.0761,0.1210,0.0042
1,WEEKDAY,9,0.1122,0.1127,0.5750,0.0988,0.2742,2.8875,0.0000,1.1038,0.0787,0.1210,0.0042
1,WEEKDAY,10,0.0244,0.1669,0.5752,0.0965,0.2841,2.9636,0.0000,1.1038,0.0790,0.1210,0.0042
1,WEEKDAY,11,0.0154,0.2203,0.5753,0.0953,0.2839,3.0401,0.0000,1.1038,0.0791,0.1210,0.0042
1,WEEKDAY,12,0.0000,0.2699,0.5754,0.0950,0.2839,3.2030,0.0000,1.1038,0.0791,0.1210,0.0042
1,WEEKDAY,13,0.0000,0.2907,0.5756,0.0939,0.2703,3.2133,0.0000,1.1038,0.0791,0.1210,0.0042
1,WEEKDAY,14,0.0000,0.2980,0.5760,0.0952,0.2451,3.3436,0.0000,1.1033,0.0791,0.1210,0.0042
1,WEEKDAY,15,0.0000,0.2903,0.5762,0.0965,0.2352,3.3388,0.0000,1.0976,0.0791,0.1210,0.0042
1,WEEKDAY,16,0.0000,0.2508,0.5754,0.0988,0.2299,3.1866,0.0000,1.0780,0.0791,0.1210,0.0042
1,WEEKDAY,17,0.0182,0.2093,0.5751,0.0995,0.2003,3.1610,0.1894,1.0658,0.0789,0.1206,0.0042
1,WEEKDAY,18,0.0357,0.1817,0.5750,0.0984,0.1833,3.0163,0.2685,1.0825,0.0778,0.1185,0.0041
1,WEEKDAY,19,0.0598,0.1600,0.5749,0.0900,0.1624,2.9992,0.2685,1.0811,0.0734,0.1137,0.0038
1,WEEKDAY,20,0.0844,0.1319,0.5748,0.0741,0.1066,2.9897,0.2685,1.0528,0.0636,0.1039,0.0034
1,WEEKDAY,21,0.1997,0.1001,0.5031,0.0525,0.0918,2.8320,0.2685,0.9356,0.0515,0.0942,0.0027
1,WEEKDAY,22,0.0000,0.0667,0.3755,0.0308,0.0676,2.8354,0.2685,0.7396,0.0387,0.0856,0.0016
1,WEEKDAY,23,0.0000,0.0530,0.3701,0.0216,0.0373,2.6630,0.2685,0.6837,0.0239,0.0774,0.0012
1,SATURDAY,0,0.0000,0.0382,0.3256,0.0206,0.0327,2.6483,0.2640,0.6370,0.0214,0.0765,0.0012
