Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0971,0.0006,0.1902,0.0099,0.0082,0.0164,0.0990,0.1839,0.0722,0.2047,0.0338,0.0174
1,WEEKDAY,1,0.1019,0.0009,0.1993,0.0099,0.0082,0.0164,0.0990,0.1836,0.0722,0.2047,0.0338,0.0174
1,WEEKDAY,2,0.1052,0.0008,0.2072,0.0099,0.0082,0.0165,0.0990,0.1836,0.0722,0.2047,0.0347,0.0174
1,WEEKDAY,3,0.1085,0.0008,0.2165,0.0101,0.0083,0.0165,0.0990,0.1879,0.0723,0.2047,0.0391,0.0174
1,WEEKDAY,4,0.1111,0.0008,0.2235,0.0104,0.0154,0.0166,0.0990,0.2337,0.0789,0.2057,0.0416,0.0181
1,WEEKDAY,5,0.1152,0.0083,0.3283,0.0120,0.0289,0.0168,0.0990,0.3897,0.1264,0.2105,0.0497,0.0245
1,WEEKDAY,6,0.1164,0.0027,0.3281,0.0149,0.0572,0.0173,0.0990,0.5971,0.2153,0.2178,0.0740,0.0417
1,WEEKDAY,7,0.1280,0.0315,0.3042,0.0175,0.0737,0.0181,0.0000,0.7063,0.3577,0.2241,0.1029,0.0521
1,WEEKDAY,8,0.0953,0.0173,0.3156,0.0189,0.0789,0.0187,0.0000,0.7496,0.3915,0.2269,0.1158,0.0564
1,WEEKDAY,9,0.0854,0.0516,0.3127,0.0186,0.0802,0.0191,0.0000,0.7675,0.4088,0.2279,0.1199,0.0581
1,WEEKDAY,10,0.0508,0.1035,0.3069,0.0183,0.0802,0.0191,0.0000,0.7642,0.4151,0.2281,0.1215,0.0587
1,WEEKDAY,11,0.0452,0.1280,0.3043,0.0187,0.0801,0.0191,0.0000,0.7562,0.4159,0.2281,0.1217,0.0588
1,WEEKDAY,12,0.0383,0.1692,0.3082,0.0183,0.0794,0.0191,0.0000,0.7564,0.4144,0.2281,0.1217,0.0588
1,WEEKDAY,13,0.0359,0.1849,0.3101,0.0181,0.0782,0.0191,0.0000,0.7589,0.4055,0.2279,0.1214,0.0586
1,WEEKDAY,14,0.0387,0.2148,0.3164,0.0176,0.0752,0.0190,0.0000,0.7582,0.3907,0.2264,0.1181,0.0566
1,WEEKDAY,15,0.0440,0.2195,0.3161,0.0168,0.0691,0.0187,0.0000,0.7269,0.3508,0.2229,0.1062,0.0499
1,WEEKDAY,16,0.0527,0.1770,0.3023,0.0150,0.0591,0.0182,0.0000,0.6447,0.2852,0.2177,0.0844,0.0381
1,WEEKDAY,17,0.0441,0.0813,0.2266,0.0125,0.0469,0.0175,0.0990,0.5755,0.1228,0.2115,0.0602,0.0257
1,WEEKDAY,18,0.0547,0.0297,0.1973,0.0103,0.0363,0.0169,0.0990,0.4672,0.0802,0.2076,0.0448,0.0189
1,WEEKDAY,19,0.0475,0.0301,0.2140,0.0101,0.0252,0.0167,0.0990,0.3703,0.0727,0.2064,0.0398,0.0175
1,WEEKDAY,20,0.0597,0.0349,0.2294,0.0100,0.0146,0.0166,0.0990,0.2871,0.0723,0.2051,0.0376,0.0174
1,WEEKDAY,21,0.0738,0.0000,0.1367,0.0099,0.0111,0.0165,0.0990,0.2362,0.0722,0.2047,0.0344,0.0174
1,WEEKDAY,22,0.0854,0.0005,0.1589,0.0099,0.0082,0.0165,0.0990,0.2077,0.0722,0.2047,0.0338,0.0174
1,WEEKDAY,23,0.0915,0.0006,0.1703,0.0099,0.0082,0.0164,0.0990,0.1799,0.0722,0.2047,0.0338,0.0174
1,SATURDAY,0,0.1067,0.0003,0.1940,0.0099,0.0075,0.0164,0.0990,0.1836,0.0658,0.2046,0.0338,0.0174
1,SATURDAY,1,0.1122,0.0002,0.1984,0.0099,0.0075,0.0164,0.0990,0.1836,0.0658,0.2046,0.0339,0.0174
1,SATURDAY,2,0.1153,0.0002,0.2210,0.0099,0.0075,0.0165,0.0990,0.1836,0.0658,0.2046,0.0350,0.0174
1,SATURDAY,3,0.1202,0.0002,0.2300,0.0100,0.0075,0.0165,0.0990,0.1836,0.0659,0.2046,0.0384,0.0174
1,SATURDAY,4,0.1246,0.0002,0.2452,0.0100,0.0076,0.0165,0.0990,0.1849,0.0666,0.2046,0.0406,0.0177
1,SATURDAY,5,0.1253,0.0003,0.3522,0.0101,0.0083,0.0166,0.0990,0.1958,0.0714,0.2049,0.0438,0.0186
1,SATURDAY,6,0.1296,0.0000,0.3656,0.0102,0.0097,0.0166,0.0990,0.2540,0.0827,0.2055,0.0490,0.0207
1,SATURDAY,7,0.1553,0.0329,0.3722,0.0103,0.0107,0.0167,0.0000,0.2967,0.0937,0.2063,0.0570,0.0234
1,SATURDAY,8,0.1225,0.0091,0.3656,0.0103,0.0111,0.0168,0.0000,0.3321,0.1011,0.2068,0.0642,0.0254
1,SATURDAY,9,0.1211,0.0198,0.3417,0.0103,0.0111,0.0169,0.0000,0.3404,0.1054,0.2069,0.0661,0.0259
1,SATURDAY,10,0.0935,0.0092,0.3279,0.0103,0.0111,0.0169,0.0000,0.3409,0.1070,0.2069,0.0663,0.0260
1,SATURDAY,11,0.0663,0.0110,0.2805,0.0103,0.0110,0.0169,0.0000,0.3403,0.1072,0.2069,0.0662,0.0260
