Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.1139,0.1270,0.0399,0.0026,0.0003,2.2853,0.0696,0.1898,0.0025,0.0531,0.0436,0.0020
1,WEEKDAY,1,0.4734,0.1118,0.0403,0.0028,0.0003,2.2810,0.0696,0.1702,0.0022,0.0445,0.0438,0.0020
1,WEEKDAY,2,0.5135,0.0992,0.0379,0.0029,0.0003,2.2730,0.0696,0.1779,0.0026,0.0489,0.0835,0.0032
1,WEEKDAY,3,0.4521,0.0955,0.0376,0.0030,0.0006,2.2743,0.0696,0.2659,0.0052,0.0914,0.4086,0.0130
1,WEEKDAY,4,0.4930,0.1246,0.0498,0.0034,0.0013,2.2699,0.0696,0.4792,0.0107,0.1751,1.1662,0.0364
1,WEEKDAY,5,0.3941,0.4076,0.1476,0.0039,0.0018,2.4104,0.0696,0.5754,0.0156,0.2291,1.7280,0.0537
1,WEEKDAY,6,0.3622,0.5025,0.1715,0.0045,0.0021,2.3785,0.0696,0.6172,0.0197,0.2581,2.0654,0.0640
1,WEEKDAY,7,0.4053,0.5283,0.1725,0.0051,0.0024,2.2761,0.0000,0.6458,0.0225,0.2716,2.2235,0.0688
1,WEEKDAY,8,0.4781,0.5973,0.1838,0.0055,0.0025,2.2730,0.0000,0.6568,0.0237,0.2750,2.2459,0.0695
1,WEEKDAY,9,0.7538,0.6973,0.1935,0.0056,0.0026,2.4779,0.0000,0.6591,0.0239,0.2758,2.2461,0.0695
1,WEEKDAY,10,0.6415,0.7983,0.1999,0.0056,0.0026,2.5735,0.0000,0.6593,0.0239,0.2758,2.2461,0.0695
1,WEEKDAY,11,0.5781,0.8968,0.2050,0.0057,0.0026,2.6685,0.0000,0.6593,0.0239,0.2758,2.2461,0.0695
1,WEEKDAY,12,0.5216,0.9933,0.2110,0.0057,0.0026,2.8642,0.0000,0.6593,0.0239,0.2758,2.2461,0.0695
1,WEEKDAY,13,0.4661,1.1018,0.2218,0.0055,0.0026,2.9085,0.0000,0.6593,0.0238,0.2758,2.2461,0.0695
1,WEEKDAY,14,0.3936,1.1755,0.2299,0.0055,0.0026,3.0818,0.0000,0.6583,0.0235,0.2758,2.2461,0.0695
1,WEEKDAY,15,0.3749,1.1879,0.2298,0.0056,0.0024,3.0840,0.0000,0.6510,0.0228,0.2758,2.2438,0.0694
1,WEEKDAY,16,0.4014,1.1096,0.2153,0.0054,0.0020,2.9110,0.0000,0.6232,0.0207,0.2753,2.2033,0.0682
1,WEEKDAY,17,0.0690,1.0162,0.2024,0.0043,0.0016,2.8387,0.0696,0.5538,0.0164,0.2657,1.9762,0.0614
1,WEEKDAY,18,0.0878,0.9250,0.1925,0.0029,0.0010,2.6395,0.0696,0.4475,0.0111,0.2195,1.4378,0.0453
1,WEEKDAY,19,0.0908,0.4849,0.1093,0.0023,0.0005,2.5914,0.0696,0.3417,0.0063,0.1526,0.7194,0.0236
1,WEEKDAY,20,0.0529,0.3732,0.0868,0.0016,0.0002,2.5623,0.0696,0.2298,0.0035,0.0964,0.2815,0.0095
1,WEEKDAY,21,0.0541,0.2744,0.0666,0.0015,0.0001,2.4009,0.0696,0.1877,0.0024,0.0638,0.0927,0.0037
1,WEEKDAY,22,0.0395,0.2138,0.0551,0.0019,0.0001,2.4510,0.0696,0.2044,0.0021,0.0563,0.0490,0.0029
1,WEEKDAY,23,0.0583,0.1783,0.0493,0.0024,0.0002,2.2925,0.0696,0.2048,0.0024,0.0561,0.0441,0.0023
1,SATURDAY,0,0.0897,0.2221,0.0576,0.0014,0.0000,2.2852,0.0696,0.1179,0.0012,0.0354,0.0422,0.0020
1,SATURDAY,1,0.0451,0.1950,0.0531,0.0014,0.0000,2.2809,0.0696,0.1238,0.0012,0.0359,0.0425,0.0021
1,SATURDAY,2,0.0479,0.1550,0.0462,0.0015,0.0000,2.2729,0.0696,0.1584,0.0012,0.0389,0.0448,0.0028
1,SATURDAY,3,0.0498,0.1392,0.0434,0.0016,0.0000,2.2735,0.0696,0.1899,0.0012,0.0415,0.0468,0.0035
1,SATURDAY,4,0.0000,0.1235,0.0403,0.0016,0.0000,2.2679,0.0696,0.1987,0.0012,0.0419,0.0472,0.0036
1,SATURDAY,5,0.0000,0.1095,0.0374,0.0017,0.0000,2.4077,0.0696,0.2028,0.0012,0.0419,0.0474,0.0037
1,SATURDAY,6,0.0874,0.0977,0.0358,0.0017,0.0000,2.3752,0.0696,0.2053,0.0012,0.0419,0.0474,0.0037
1,SATURDAY,7,0.0894,0.0885,0.0336,0.0016,0.0000,2.2724,0.0000,0.2076,0.0012,0.0419,0.0474,0.0037
1,SATURDAY,8,0.0000,0.0892,0.0317,0.0016,0.0000,2.2689,0.0000,0.2095,0.0012,0.0419,0.0474,0.0037
1,SATURDAY,9,0.0000,0.0971,0.0318,0.0016,0.0000,2.4736,0.0000,0.2098,0.0012,0.0419,0.0474,0.0037
1,SATURDAY,10,0.0000,0.1076,0.0320,0.0016,0.0000,2.5692,0.0000,0.2098,0.0012,0.0419,0.0474,0.0037
1,SATURDAY,11,0.0000,0.1421,0.0369,0.0017,0.0000,2.6643,0.0000,0.2098,0.0012,0.0419,0.0474,0.0037
1,SATURDAY,12,0.0000,0.1690,0.0394,0.0017,0.0000,2.8599,0.0000,0.2098,0.0012,0.0418,0.0474,0.0037
1,SATURDAY,13,0.0000,0.2217,0.0475,0.0017,0.0000,2.9042,0.0000,0.2098,0.0012,0.0417,0.0474,0.0037
1,SATURDAY,14,0.0479,0.2646,0.0527,0.0017,0.0000,3.0775,0.0000,0.2095,0.0012,0.0416,0.0474,0.0037
1,SATURDAY,15,0.0448,0.2547,0.0501,0.0017,0.0000,3.0798,0.0000,0.2076,0.0012,0.0413,0.0472,0.0036
1,SATURDAY,16,0.0413,0.1962,0.0422,0.0016,0.0000,2.9067,0.0000,0.1932,0.0012,0.0402,0.0464,0.0033
