Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous
1,WEEKDAY,0,0.0000,0.0000,0.0000,0.0091,0.2632,1.9300,0.0839,0.4759,0.0213,0.0192
1,WEEKDAY,1,0.0000,0.0000,0.0030,0.0091,0.0352,1.9292,0.0839,0.4759,0.0156,0.0092
1,WEEKDAY,2,0.0000,0.0000,0.0148,0.0094,0.0196,1.9323,0.0839,0.4760,0.0151,0.0080
1,WEEKDAY,3,0.0034,0.0000,0.0429,0.0115,0.2115,1.9388,0.0839,0.4772,0.0182,0.0179
1,WEEKDAY,4,0.0047,0.0329,0.0488,0.0182,0.6201,1.9570,0.0839,0.4846,0.0299,0.0603
1,WEEKDAY,5,0.0000,0.0000,0.0015,0.0330,0.8450,2.0646,0.0839,0.6430,0.0486,0.0986
1,WEEKDAY,6,0.0341,0.2757,0.3667,0.0426,0.9256,2.0626,0.0839,0.8299,0.0689,0.1319
1,WEEKDAY,7,0.0344,0.3691,0.3883,0.0453,0.9462,2.0449,0.0839,1.2583,0.0906,0.1573
1,WEEKDAY,8,0.0344,0.3226,0.4666,0.0451,0.9484,2.0127,0.0000,1.3563,0.1054,0.1636
1,WEEKDAY,9,0.0343,0.3790,0.4768,0.0444,0.9484,2.1000,0.0000,1.3591,0.1115,0.1641
1,WEEKDAY,10,0.0342,0.3904,0.4790,0.0436,0.9481,2.1218,0.0000,1.3591,0.1126,0.1641
1,WEEKDAY,11,0.0337,0.4541,0.4833,0.0432,0.9443,2.1557,0.0000,1.3591,0.1127,0.1641
1,WEEKDAY,12,0.0330,0.5043,0.4832,0.0431,0.9212,2.2795,0.0000,1.3591,0.1127,0.1641
1,WEEKDAY,13,0.0321,0.5573,0.4820,0.0426,0.8461,2.3150,0.0000,1.4928,0.1127,0.1641
1,WEEKDAY,14,0.0314,0.5890,0.4816,0.0431,0.7432,2.4313,0.0000,1.4909,0.1127,0.1641
1,WEEKDAY,15,0.0306,0.5795,0.4783,0.0437,0.6675,2.4600,0.0000,1.4816,0.1127,0.1641
1,WEEKDAY,16,0.0308,0.5143,0.4696,0.0447,0.6255,2.3907,0.0000,1.5472,0.1125,0.1633
1,WEEKDAY,17,0.0315,0.4529,0.4671,0.0452,0.6006,2.3758,0.0839,1.5563,0.1111,0.1567
1,WEEKDAY,18,0.0322,0.3948,0.4656,0.0456,0.5826,2.2586,0.1284,1.6235,0.1054,0.1390
1,WEEKDAY,19,0.0329,0.3593,0.4457,0.0436,0.5698,2.2160,0.1284,1.5933,0.0933,0.1104
