Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,1.0422,0.0113,0.2149,0.0912,0.0560,2.3823,0.1846,0.6131,0.0187,0.0355,0.0044
1,WEEKDAY,1,1.3110,0.0103,0.2145,0.0746,0.0629,2.3824,0.1846,0.5241,0.0163,0.0404,0.0043
1,WEEKDAY,2,1.6144,0.0097,0.2046,0.0600,0.0554,2.3849,0.1846,0.4875,0.0153,0.0500,0.0039
1,WEEKDAY,3,1.9012,0.0094,0.2042,0.0666,0.1252,2.3923,0.1846,0.5414,0.0154,0.0682,0.0039
1,WEEKDAY,4,1.9576,0.0093,0.2325,0.1042,0.2245,2.4013,0.1846,0.6330,0.0169,0.0913,0.0048
1,WEEKDAY,5,1.7007,0.0112,0.2367,0.1511,0.3758,2.5408,0.1721,0.7083,0.0207,0.1121,0.0064
1,WEEKDAY,6,1.4412,0.0848,0.3000,0.2439,0.4362,2.5359,0.1771,0.7802,0.0259,0.1279,0.0090
1,WEEKDAY,7,1.2184,0.0816,0.3430,0.2887,0.4531,2.4857,0.0384,0.9727,0.0346,0.1371,0.0120
1,WEEKDAY,8,1.0046,0.0643,0.4618,0.2896,0.4544,2.4311,0.0294,1.1622,0.0463,0.1400,0.0145
1,WEEKDAY,9,0.7213,0.0706,0.4632,0.2857,0.4943,2.5356,0.0294,1.2031,0.0537,0.1404,0.0154
1,WEEKDAY,10,0.5322,0.0857,0.4631,0.2793,0.4826,2.5462,0.0294,1.2101,0.0558,0.1404,0.0156
1,WEEKDAY,11,0.3125,0.0996,0.4628,0.2762,0.4817,2.5744,0.0294,1.2102,0.0560,0.1404,0.0156
1,WEEKDAY,12,0.1694,0.1167,0.4627,0.2750,0.4741,2.7095,0.0294,1.2100,0.0564,0.1404,0.0156
1,WEEKDAY,13,0.0706,0.1300,0.4632,0.2697,0.4458,2.7378,0.0294,1.2094,0.0564,0.1404,0.0156
1,WEEKDAY,14,0.0485,0.1372,0.4634,0.2726,0.4097,2.8878,0.0294,1.2085,0.0564,0.1388,0.0156
1,WEEKDAY,15,0.0384,0.1389,0.4633,0.2749,0.3871,2.9201,0.0294,1.1999,0.0563,0.1452,0.0156
1,WEEKDAY,16,0.0380,0.1293,0.4625,0.2772,0.3730,2.8121,0.0294,1.1796,0.0562,0.1350,0.0155
1,WEEKDAY,17,0.0485,0.1138,0.4620,0.2733,0.3187,2.7993,0.1563,1.1701,0.0557,0.1147,0.0151
1,WEEKDAY,18,0.0846,0.1005,0.4617,0.2750,0.3039,2.6739,0.1882,1.1762,0.0551,0.0907,0.0140
