Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.0016,0.0006,0.0328,0.0071,0.0021,0.0396,0.1636,0.1823,0.0295,0.0161,0.0243
1,WEEKDAY,1,0.0016,0.0021,0.0392,0.0071,0.0022,0.0396,0.1438,0.1823,0.0295,0.0162,0.0244
1,WEEKDAY,2,0.0016,0.0005,0.0368,0.0071,0.0025,0.0395,0.1438,0.1826,0.0295,0.0162,0.0252
1,WEEKDAY,3,0.0016,0.0031,0.0416,0.0073,0.0033,0.0395,0.1438,0.1855,0.0298,0.0165,0.0269
1,WEEKDAY,4,0.0016,0.0009,0.0427,0.0086,0.0057,0.0397,0.1438,0.2068,0.0316,0.0177,0.0290
1,WEEKDAY,5,0.0016,0.0054,0.0388,0.0151,0.0134,0.0412,0.1288,0.3538,0.0385,0.0211,0.0365
1,WEEKDAY,6,0.2233,0.0044,0.1300,0.0267,0.0253,0.0422,0.1175,0.5751,0.0626,0.0292,0.0480
1,WEEKDAY,7,0.2794,0.0229,0.2767,0.0425,0.0383,0.0436,0.0000,0.8356,0.1037,0.0448,0.0595
1,WEEKDAY,8,0.1829,0.0497,0.3173,0.0566,0.0486,0.0451,0.0000,0.9657,0.1558,0.0622,0.0654
1,WEEKDAY,9,0.1443,0.1667,0.3247,0.0581,0.0497,0.0471,0.0000,1.0239,0.2017,0.0754,0.0675
1,WEEKDAY,10,0.0336,0.2500,0.3492,0.0572,0.0476,0.0479,0.0000,1.0396,0.2128,0.0808,0.0677
1,WEEKDAY,11,0.0412,0.3496,0.3517,0.0615,0.0465,0.0485,0.0000,1.0413,0.2101,0.0806,0.0677
1,WEEKDAY,12,0.0178,0.3966,0.3538,0.0591,0.0449,0.0494,0.0000,1.0334,0.2080,0.0769,0.0674
1,WEEKDAY,13,0.0278,0.4431,0.3540,0.0514,0.0396,0.0493,0.0000,0.9970,0.1983,0.0653,0.0638
1,WEEKDAY,14,0.0257,0.3716,0.3268,0.0400,0.0309,0.0494,0.0000,0.8810,0.1584,0.0479,0.0555
1,WEEKDAY,15,0.0443,0.2517,0.3169,0.0267,0.0209,0.0486,0.0000,0.7454,0.1066,0.0340,0.0505
1,WEEKDAY,16,0.0042,0.1305,0.2340,0.0183,0.0145,0.0468,0.0000,0.6345,0.0651,0.0249,0.0422
1,WEEKDAY,17,0.0033,0.0504,0.1412,0.0124,0.0099,0.0455,0.1980,0.4827,0.0401,0.0199,0.0365
1,WEEKDAY,18,0.0015,0.0173,0.1104,0.0089,0.0061,0.0431,0.2243,0.3696,0.0309,0.0173,0.0280
1,WEEKDAY,19,0.0015,0.0082,0.0587,0.0076,0.0034,0.0422,0.2615,0.2835,0.0294,0.0163,0.0249
1,WEEKDAY,20,0.0016,0.0038,0.0172,0.0071,0.0024,0.0418,0.2615,0.2432,0.0293,0.0161,0.0243
1,WEEKDAY,21,0.0016,0.0027,0.0209,0.0071,0.0021,0.0408,0.2615,0.2230,0.0293,0.0161,0.0243
1,WEEKDAY,22,0.0016,0.0032,0.0238,0.0071,0.0021,0.0406,0.2615,0.2058,0.0293,0.0161,0.0243
1,WEEKDAY,23,0.0016,0.0005,0.0271,0.0071,0.0021,0.0397,0.2615,0.1887,0.0293,0.0161,0.0243
1,SATURDAY,0,0.0017,0.0030,0.0221,0.0071,0.0021,0.0396,0.1636,0.1837,0.0295,0.0162,0.0243
1,SATURDAY,1,0.0017,0.0000,0.0285,0.0071,0.0021,0.0396,0.1438,0.1837,0.0295,0.0162,0.0243
1,SATURDAY,2,0.0017,0.0000,0.0282,0.0071,0.0021,0.0395,0.1438,0.1837,0.0295,0.0162,0.0243
1,SATURDAY,3,0.0017,0.0000,0.0335,0.0071,0.0021,0.0395,0.1438,0.1837,0.0295,0.0162,0.0243
1,SATURDAY,4,0.0017,0.0000,0.0359,0.0072,0.0021,0.0395,0.1438,0.1847,0.0296,0.0163,0.0248
1,SATURDAY,5,0.0017,0.0000,0.0385,0.0077,0.0023,0.0403,0.1288,0.1930,0.0301,0.0164,0.0295
1,SATURDAY,6,0.0478,0.0001,0.0609,0.0093,0.0026,0.0401,0.1175,0.2134,0.0322,0.0166,0.0403
1,SATURDAY,7,0.0216,0.0094,0.0543,0.0102,0.0027,0.0399,0.0000,0.2259,0.0334,0.0168,0.0465
