Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0010,0.0092,0.0017,0.0010,0.0590,0.3380,0.3281,0.0031,0.2007,0.0047,0.0655,0.0033
1,WEEKDAY,1,0.0010,0.0077,0.0017,0.0010,0.0590,0.3380,0.3281,0.0029,0.2007,0.0047,0.0655,0.0028
1,WEEKDAY,2,0.0009,0.0069,0.0017,0.0010,0.0591,0.3380,0.3297,0.0030,0.2017,0.0053,0.0734,0.0030
1,WEEKDAY,3,0.0000,0.0055,0.0021,0.0013,0.0597,0.3380,0.3456,0.0053,0.2100,0.0103,0.1428,0.0070
1,WEEKDAY,4,0.0000,0.0065,0.0046,0.0026,0.0619,0.3380,0.4144,0.0169,0.2354,0.0256,0.3556,0.0247
1,WEEKDAY,5,0.0000,0.0077,0.0063,0.0055,0.0659,0.3380,0.5618,0.0290,0.2774,0.0518,0.7211,0.0442
1,WEEKDAY,6,0.0002,0.0137,0.0066,0.0077,0.0673,0.3380,0.7217,0.0357,0.3103,0.0757,1.0538,0.0565
1,WEEKDAY,7,0.0004,0.0227,0.0066,0.0089,0.0679,0.0000,0.7464,0.0389,0.3264,0.0892,1.2412,0.0626
1,WEEKDAY,8,0.0045,0.0233,0.0064,0.0095,0.0678,0.0000,0.7528,0.0397,0.3312,0.0936,1.3027,0.0644
1,WEEKDAY,9,0.0151,0.0285,0.0065,0.0098,0.0695,0.0000,0.7535,0.0398,0.3317,0.0941,1.3099,0.0646
1,WEEKDAY,10,0.0384,0.0376,0.0065,0.0099,0.0701,0.0000,0.7535,0.0398,0.3317,0.0941,1.3099,0.0646
1,WEEKDAY,11,0.0652,0.0476,0.0066,0.0099,0.0711,0.0000,0.7535,0.0398,0.3317,0.0941,1.3099,0.0646
1,WEEKDAY,12,0.0936,0.0567,0.0067,0.0099,0.0730,0.0000,0.7535,0.0398,0.3317,0.0941,1.3099,0.0646
1,WEEKDAY,13,0.1239,0.0650,0.0067,0.0095,0.0735,0.0000,0.7512,0.0395,0.3317,0.0940,1.3086,0.0646
1,WEEKDAY,14,0.1462,0.0705,0.0065,0.0074,0.0752,0.0000,0.7201,0.0380,0.3278,0.0892,1.2412,0.0627
1,WEEKDAY,15,0.0815,0.0555,0.0064,0.0048,0.0730,0.0000,0.6100,0.0332,0.3035,0.0636,0.8849,0.0529
1,WEEKDAY,16,0.0699,0.0502,0.0063,0.0030,0.0698,0.0000,0.5331,0.0299,0.2723,0.0387,0.5384,0.0433
1,WEEKDAY,17,0.0531,0.0443,0.0063,0.0021,0.0683,0.3380,0.4827,0.0277,0.2447,0.0222,0.3085,0.0370
1,WEEKDAY,18,0.0373,0.0385,0.0064,0.0015,0.0658,0.3380,0.4505,0.0263,0.2237,0.0121,0.1690,0.0331
1,WEEKDAY,19,0.0249,0.0318,0.0059,0.0012,0.0647,0.3380,0.4294,0.0225,0.2092,0.0069,0.0956,0.0277
1,WEEKDAY,20,0.0141,0.0253,0.0025,0.0010,0.0630,0.3380,0.4176,0.0074,0.2018,0.0049,0.0688,0.0095
1,WEEKDAY,21,0.0105,0.0224,0.0022,0.0010,0.0611,0.3380,0.4159,0.0052,0.2007,0.0047,0.0655,0.0065
1,WEEKDAY,22,0.0077,0.0219,0.0039,0.0010,0.0617,0.3380,0.4159,0.0113,0.2007,0.0047,0.0655,0.0162
1,WEEKDAY,23,0.0022,0.0189,0.0023,0.0010,0.0593,0.3380,0.4159,0.0057,0.2007,0.0047,0.0655,0.0079
1,SATURDAY,0,0.0000,0.0000,0.0017,0.0010,0.0589,0.3380,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,1,0.0000,0.0000,0.0017,0.0010,0.0590,0.3380,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,2,0.0000,0.0000,0.0017,0.0010,0.0590,0.3380,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,3,0.0000,0.0000,0.0017,0.0010,0.0590,0.3380,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,4,0.0000,0.0000,0.0017,0.0010,0.0591,0.3380,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,5,0.0000,0.0000,0.0017,0.0010,0.0607,0.3380,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,6,0.0000,0.0000,0.0017,0.0010,0.0604,0.3380,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,7,0.0000,0.0000,0.0017,0.0010,0.0598,0.0000,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,8,0.0000,0.0000,0.0017,0.0010,0.0588,0.0000,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
1,SATURDAY,9,0.0000,0.0000,0.0017,0.0010,0.0598,0.0000,0.0650,0.0029,0.0319,0.0047,0.0655,0.0028
