Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0713,0.0147,0.2008,0.0457,0.0832,2.1903,0.1883,0.4986,0.0142,0.0448,0.0307,0.0166
1,WEEKDAY,1,0.0742,0.0137,0.2079,0.0386,0.0583,2.1902,0.1883,0.4300,0.0120,0.0406,0.0151,0.0098
1,WEEKDAY,2,0.0869,0.0132,0.2145,0.0331,0.0510,2.1915,0.1883,0.4036,0.0112,0.0406,0.0113,0.0082
1,WEEKDAY,3,0.0937,0.0128,0.2162,0.0367,0.0994,2.1979,0.1883,0.4268,0.0118,0.0538,0.0117,0.0085
1,WEEKDAY,4,0.0932,0.0149,0.2266,0.0552,0.1926,2.2083,0.1883,0.4923,0.0149,0.0912,0.0181,0.0135
1,WEEKDAY,5,0.0981,0.0146,0.2636,0.0827,0.3081,2.3378,0.1834,0.6420,0.0217,0.1281,0.0358,0.0258
1,WEEKDAY,6,0.1028,0.0575,0.3291,0.1314,0.3863,2.3316,0.1672,0.8001,0.0299,0.1593,0.0527,0.0412
1,WEEKDAY,7,0.0951,0.0647,0.3588,0.1575,0.4403,2.2808,0.0371,1.0108,0.0437,0.1789,0.0670,0.0567
1,WEEKDAY,8,0.0780,0.0596,0.4191,0.1598,0.4612,2.2275,0.0123,1.1528,0.0554,0.1879,0.0785,0.0707
1,WEEKDAY,9,0.0563,0.0744,0.4206,0.1578,0.4800,2.3356,0.0123,1.1848,0.0615,0.1908,0.0835,0.0772
1,WEEKDAY,10,0.0408,0.0900,0.4213,0.1544,0.4753,2.3571,0.0115,1.1883,0.0631,0.1922,0.0844,0.0784
1,WEEKDAY,11,0.0317,0.1127,0.4221,0.1526,0.4744,2.3948,0.0115,1.1883,0.0633,0.1933,0.0845,0.0785
1,WEEKDAY,12,0.0266,0.1399,0.4224,0.1520,0.4666,2.5370,0.0115,1.1882,0.0635,0.1933,0.0845,0.0785
1,WEEKDAY,13,0.0210,0.1649,0.4229,0.1495,0.4395,2.5724,0.0115,1.1956,0.0635,0.1933,0.0845,0.0785
1,WEEKDAY,14,0.0194,0.1832,0.4234,0.1512,0.4049,2.7173,0.0115,1.1944,0.0635,0.1927,0.0845,0.0785
1,WEEKDAY,15,0.0178,0.1841,0.4231,0.1528,0.3827,2.7481,0.0115,1.1855,0.0634,0.1950,0.0845,0.0785
1,WEEKDAY,16,0.0234,0.1581,0.4214,0.1547,0.3732,2.6488,0.0129,1.1751,0.0633,0.1908,0.0843,0.0784
1,WEEKDAY,17,0.0298,0.1329,0.4205,0.1534,0.3510,2.6333,0.1504,1.1681,0.0620,0.1800,0.0833,0.0773
1,WEEKDAY,18,0.0382,0.1091,0.4200,0.1526,0.3422,2.5018,0.1793,1.1745,0.0592,0.1641,0.0806,0.0741
1,WEEKDAY,19,0.0483,0.0918,0.4171,0.1440,0.3215,2.4713,0.1899,1.1585,0.0524,0.1470,0.0754,0.0668
1,WEEKDAY,20,0.0533,0.0782,0.4003,0.1269,0.2825,2.4569,0.1929,1.1093,0.0444,0.1261,0.0669,0.0552
1,WEEKDAY,21,0.0597,0.0625,0.3845,0.0988,0.2138,2.3313,0.1942,0.9946,0.0332,0.1034,0.0564,0.0409
1,WEEKDAY,22,0.0669,0.0357,0.3088,0.0676,0.1645,2.3344,0.1942,0.7843,0.0246,0.0722,0.0470,0.0269
1,WEEKDAY,23,0.0660,0.0166,0.2618,0.0525,0.1139,2.1982,0.1942,0.6183,0.0184,0.0536,0.0397,0.0205
1,SATURDAY,0,0.0655,0.0162,0.2003,0.0459,0.0806,2.1914,0.1883,0.5012,0.0152,0.0417,0.0307,0.0166
