Month,Weekend,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.1108,0.1069,0.1954,0.0145,0.1001,0.1637,0.3037,0.0166,0.1214,0.0332,0.0017
1,WEEKDAY,1,0.1229,0.0952,0.1956,0.0121,0.0964,0.1637,0.2739,0.0152,0.1136,0.0255,0.0014
1,WEEKDAY,2,0.1339,0.0884,0.1959,0.0114,0.0948,0.1637,0.2651,0.0142,0.1078,0.0227,0.0013
1,WEEKDAY,3,0.1449,0.0813,0.1958,0.0117,0.0948,0.1637,0.2671,0.0145,0.1084,0.0231,0.0014
1,WEEKDAY,4,0.1574,0.0782,0.1964,0.0204,0.0996,0.1629,0.2851,0.0162,0.1114,0.0300,0.0022
1,WEEKDAY,5,0.1588,0.0823,0.2000,0.0614,0.1062,0.1629,0.3725,0.0228,0.1324,0.0566,0.0038
1,WEEKDAY,6,0.1588,0.0851,0.2051,0.1038,0.1101,0.1091,0.4295,0.0292,0.1493,0.0742,0.0049
1,WEEKDAY,7,0.1484,0.0931,0.2041,0.1207,0.1127,0.0010,0.4642,0.0339,0.1584,0.0812,0.0054
1,WEEKDAY,8,0.1053,0.1237,0.2041,0.1147,0.1151,0.0010,0.4888,0.0365,0.1628,0.0828,0.0055
1,WEEKDAY,9,0.0773,0.1588,0.2082,0.1041,0.1179,0.0010,0.4698,0.0365,0.1675,0.0815,0.0055
1,WEEKDAY,10,0.0640,0.1974,0.2126,0.0993,0.1188,0.0010,0.4446,0.0348,0.1705,0.0794,0.0055
1,WEEKDAY,11,0.0546,0.2291,0.2150,0.1099,0.1191,0.0010,0.4211,0.0342,0.1758,0.0784,0.0054
1,WEEKDAY,12,0.0484,0.2637,0.2185,0.1168,0.1197,0.0010,0.4165,0.0334,0.1758,0.0784,0.0054
1,WEEKDAY,13,0.0437,0.2959,0.2206,0.1110,0.1197,0.0010,0.4162,0.0340,0.1768,0.0783,0.0054
1,WEEKDAY,14,0.0425,0.3164,0.2212,0.0986,0.1202,0.0010,0.4171,0.0363,0.1777,0.0793,0.0055
1,WEEKDAY,15,0.0435,0.3091,0.2198,0.0974,0.1202,0.0010,0.4225,0.0368,0.1834,0.0807,0.0055
1,WEEKDAY,16,0.0458,0.2568,0.2143,0.1138,0.1196,0.0059,0.4466,0.0362,0.1892,0.0787,0.0054
1,WEEKDAY,17,0.0528,0.2168,0.2120,0.1427,0.1188,0.1074,0.4715,0.0346,0.1922,0.0757,0.0053
1,WEEKDAY,18,0.0597,0.1929,0.2105,0.1431,0.1170,0.1620,0.5176,0.0327,0.1938,0.0945,0.0058
1,WEEKDAY,19,0.0631,0.1810,0.2092,0.1200,0.1160,0.1686,0.5472,0.0310,0.1937,0.0976,0.0057
1,WEEKDAY,20,0.0672,0.1703,0.2086,0.1026,0.1141,0.1686,0.5583,0.0284,0.1809,0.0972,0.0053
1,WEEKDAY,21,0.0733,0.1560,0.2080,0.0890,0.1104,0.1686,0.5343,0.0266,0.1617,0.0871,0.0044
1,WEEKDAY,22,0.0860,0.1348,0.2044,0.0682,0.1065,0.1637,0.4090,0.0240,0.1435,0.0559,0.0027
1,WEEKDAY,23,0.0985,0.1190,0.1989,0.0201,0.1033,0.1637,0.3424,0.0190,0.1363,0.0383,0.0019
1,SATURDAY,0,0.0887,0.1195,0.1948,0.0146,0.1000,0.1637,0.3043,0.0156,0.1215,0.0332,0.0017
1,SATURDAY,1,0.0990,0.1102,0.1947,0.0123,0.0964,0.1637,0.2739,0.0142,0.1139,0.0256,0.0014
1,SATURDAY,2,0.1098,0.1005,0.1940,0.0116,0.0948,0.1637,0.2652,0.0131,0.1082,0.0230,0.0013
1,SATURDAY,3,0.1223,0.0924,0.1942,0.0119,0.0948,0.1637,0.2673,0.0132,0.1088,0.0235,0.0014
1,SATURDAY,4,0.1333,0.0867,0.1950,0.0205,0.0996,0.1629,0.2783,0.0148,0.1120,0.0305,0.0021
1,SATURDAY,5,0.1418,0.0862,0.1990,0.0615,0.1062,0.1629,0.3203,0.0214,0.1330,0.0572,0.0038
1,SATURDAY,6,0.1441,0.0893,0.2048,0.1038,0.1099,0.1091,0.4000,0.0277,0.1498,0.0745,0.0048
1,SATURDAY,7,0.1387,0.0932,0.2028,0.1207,0.1126,0.0010,0.4512,0.0324,0.1585,0.0812,0.0053
1,SATURDAY,8,0.0968,0.1248,0.2023,0.1147,0.1150,0.0010,0.4880,0.0350,0.1628,0.0828,0.0055
1,SATURDAY,9,0.0681,0.1664,0.2044,0.1041,0.1177,0.0010,0.4694,0.0350,0.1674,0.0814,0.0055
1,SATURDAY,10,0.0555,0.2040,0.2057,0.0993,0.1187,0.0010,0.4445,0.0334,0.1705,0.0793,0.0054
1,SATURDAY,11,0.0460,0.2478,0.2107,0.1099,0.1189,0.0010,0.4211,0.0328,0.1758,0.0784,0.0054
1,SATURDAY,12,0.0410,0.2883,0.2143,0.1167,0.1195,0.0010,0.4165,0.0320,0.1758,0.0784,0.0054
1,SATURDAY,13,0.0399,0.3289,0.2190,0.1108,0.1196,0.0010,0.4160,0.0325,0.1768,0.0783,0.0054
1,SATURDAY,14,0.0397,0.3446,0.2204,0.0983,0.1200,0.0010,0.4168,0.0348,0.1777,0.0793,0.0055
1,SATURDAY,15,0.0369,0.3214,0.2161,0.0971,0.1200,0.0010,0.4224,0.0353,0.1836,0.0808,0.0055
1,SATURDAY,16,0.0393,0.2739,0.2117,0.1137,0.1195,0.0059,0.4470,0.0346,0.1896,0.0791,0.0054
1,SATURDAY,17,0.0455,0.2346,0.2102,0.1426,0.1187,0.1074,0.4719,0.0330,0.1927,0.0761,0.0052
1,SATURDAY,18,0.0493,0.2082,0.2097,0.1427,0.1168,0.1620,0.5173,0.0311,0.1941,0.0947,0.0058
1,SATURDAY,19,0.0522,0.1965,0.2088,0.1193,0.1158,0.1686,0.5465,0.0294,0.1937,0.0977,0.0057
1,SATURDAY,20,0.0539,0.1844,0.2083,0.1019,0.1139,0.1686,0.5577,0.0269,0.1805,0.0973,0.0054
1,SATURDAY,21,0.0637,0.1672,0.2079,0.0887,0.1102,0.1686,0.5342,0.0254,0.1616,0.0873,0.0046
1,SATURDAY,22,0.0768,0.1457,0.2052,0.0680,0.1063,0.1637,0.4102,0.0229,0.1436,0.0560,0.0027
