Month,Daytype,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0457,0.0000,0.1101,0.0008,0.1693,0.4201,0.3529,0.0440,0.0807,0.0975,0.0240,0.0184
1,WEEKDAY,1,0.0460,0.0000,0.1012,0.0001,0.1693,0.4201,0.3545,0.0448,0.0802,0.1012,0.0241,0.0190
1,WEEKDAY,2,0.0790,0.0171,0.1277,0.0012,0.1707,0.4201,0.3652,0.0653,0.0842,0.1236,0.0287,0.0231
1,WEEKDAY,3,0.0561,0.0033,0.1636,0.0052,0.1728,0.4201,0.3840,0.0930,0.0907,0.1519,0.0348,0.0283
1,WEEKDAY,4,0.0575,0.0027,0.1901,0.0202,0.1764,0.3223,0.4081,0.1296,0.1024,0.1864,0.0441,0.0349
1,WEEKDAY,5,0.0580,0.0026,0.2061,0.0497,0.1818,0.3223,0.4502,0.1749,0.1203,0.2326,0.0574,0.0438
1,WEEKDAY,6,0.0622,0.0060,0.2385,0.0621,0.1892,0.3223,0.8557,0.2292,0.1471,0.3022,0.0770,0.0572
1,WEEKDAY,7,0.0609,0.0054,0.2385,0.0617,0.1975,0.0000,1.0148,0.2982,0.1936,0.4120,0.1084,0.0784
1,WEEKDAY,8,0.0558,0.0054,0.2385,0.0585,0.2044,0.0000,1.1143,0.3772,0.2428,0.4693,0.1332,0.0904
1,WEEKDAY,9,0.0372,0.0004,0.2376,0.0606,0.2089,0.0000,1.1487,0.4353,0.2643,0.4857,0.1415,0.0940
1,WEEKDAY,10,0.0286,0.0427,0.2378,0.0647,0.2108,0.0000,1.1533,0.4518,0.2671,0.4874,0.1424,0.0944
1,WEEKDAY,11,0.0170,0.1072,0.2383,0.0662,0.2111,0.0000,1.1533,0.4533,0.2671,0.4874,0.1424,0.0944
1,WEEKDAY,12,0.0116,0.1413,0.2385,0.0648,0.2112,0.0000,1.1533,0.4512,0.2668,0.4874,0.1424,0.0944
1,WEEKDAY,13,0.0089,0.1824,0.2389,0.0612,0.2108,0.0000,1.1532,0.4355,0.2632,0.4863,0.1422,0.0942
1,WEEKDAY,14,0.0077,0.1961,0.2390,0.0613,0.2083,0.0000,1.1377,0.3892,0.2486,0.4720,0.1393,0.0916
1,WEEKDAY,15,0.0095,0.1610,0.2389,0.0599,0.2026,0.0000,1.0539,0.2889,0.2363,0.4233,0.1293,0.0826
1,WEEKDAY,16,0.0134,0.1472,0.2385,0.0656,0.1979,0.0000,0.9848,0.2562,0.2204,0.3720,0.1188,0.0732
1,WEEKDAY,17,0.0191,0.0954,0.2085,0.0707,0.1924,0.3223,0.7857,0.2373,0.1983,0.3153,0.1066,0.0627
1,WEEKDAY,18,0.0216,0.0012,0.1899,0.0646,0.1868,0.3223,0.7430,0.2022,0.1772,0.2361,0.0890,0.0480
1,WEEKDAY,19,0.0268,0.0005,0.1765,0.0526,0.1813,0.4201,0.6987,0.1518,0.1607,0.1509,0.0693,0.0321
1,WEEKDAY,20,0.0305,0.0001,0.1455,0.0462,0.1754,0.4201,0.6604,0.0995,0.1477,0.1041,0.0568,0.0232
1,WEEKDAY,21,0.0359,0.0000,0.1233,0.0395,0.1726,0.4201,0.5336,0.0839,0.1334,0.0975,0.0489,0.0212
1,WEEKDAY,22,0.0386,0.0000,0.1056,0.0252,0.1711,0.4201,0.4131,0.0742,0.1100,0.0975,0.0399,0.0202
1,WEEKDAY,23,0.0416,0.0000,0.1145,0.0076,0.1701,0.4201,0.3529,0.0588,0.0895,0.0975,0.0289,0.0189
1,SATURDAY,0,0.0394,0.0000,0.1200,0.0000,0.1691,0.4201,0.3529,0.0415,0.0796,0.0975,0.0234,0.0183
1,SATURDAY,1,0.0407,0.0000,0.0968,0.0000,0.1691,0.4201,0.3529,0.0415,0.0796,0.0975,0.0234,0.0183
1,SATURDAY,2,0.0413,0.0000,0.0968,0.0000,0.1691,0.4201,0.3529,0.0416,0.0796,0.0975,0.0234,0.0183
1,SATURDAY,3,0.0417,0.0000,0.0968,0.0002,0.1691,0.4201,0.3529,0.0431,0.0798,0.0975,0.0234,0.0183
1,SATURDAY,4,0.0426,0.0000,0.0968,0.0024,0.1692,0.3223,0.3529,0.0478,0.0817,0.0975,0.0240,0.0184
1,SATURDAY,5,0.0430,0.0000,0.0968,0.0092,0.1694,0.3223,0.3529,0.0530,0.0855,0.0975,0.0255,0.0185
1,SATURDAY,6,0.0419,0.0000,0.0968,0.0122,0.1695,0.3223,0.6842,0.0589,0.0916,0.0975,0.0282,0.0188
1,SATURDAY,7,0.0419,0.0000,0.0968,0.0125,0.1697,0.0000,0.7745,0.0638,0.0991,0.0975,0.0312,0.0192
1,SATURDAY,8,0.0405,0.0000,0.1200,0.0120,0.1697,0.0000,0.8046,0.0675,0.1028,0.0975,0.0327,0.0194
1,SATURDAY,9,0.0374,0.0000,0.1896,0.0118,0.1698,0.0000,0.8046,0.0701,0.1038,0.0975,0.0331,0.0194
1,SATURDAY,10,0.0337,0.0000,0.1664,0.0123,0.1699,0.0000,0.8046,0.0713,0.1039,0.0975,0.0332,0.0194
