Month,Weekend,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0708,0.0031,0.1566,0.0011,0.0508,0.1633,0.1666,0.1468,0.0604,0.0262,0.0092
1,WEEKDAY,1,0.0737,0.0012,0.1533,0.0011,0.0508,0.1633,0.1638,0.1524,0.0604,0.0262,0.0092
1,WEEKDAY,2,0.0781,0.0040,0.1571,0.0011,0.0508,0.1633,0.1515,0.1468,0.0604,0.0262,0.0092
1,WEEKDAY,3,0.0812,0.0055,0.1598,0.0011,0.0508,0.1633,0.1543,0.1468,0.0607,0.0263,0.0092
1,WEEKDAY,4,0.0824,0.0084,0.1624,0.0015,0.0509,0.1633,0.1780,0.1526,0.0655,0.0280,0.0101
1,WEEKDAY,5,0.0779,0.0064,0.1685,0.0039,0.0515,0.1633,0.2989,0.1906,0.0860,0.0386,0.0142
1,WEEKDAY,6,0.0714,0.0047,0.1622,0.0157,0.0526,0.1442,0.5530,0.2796,0.1221,0.0690,0.0213
1,WEEKDAY,7,0.0615,0.0052,0.1710,0.0401,0.0554,0.0042,0.7893,0.3833,0.1564,0.1314,0.0319
1,WEEKDAY,8,0.0464,0.0118,0.1673,0.0565,0.0580,0.0000,0.8450,0.4388,0.1789,0.1641,0.0374
1,WEEKDAY,9,0.0338,0.0209,0.1636,0.0608,0.0593,0.0000,0.8797,0.4666,0.1872,0.1741,0.0388
1,WEEKDAY,10,0.0328,0.0543,0.1602,0.0611,0.0594,0.0000,0.8765,0.4763,0.1879,0.1777,0.0393
1,WEEKDAY,11,0.0255,0.0984,0.1609,0.0610,0.0595,0.0000,0.8673,0.4770,0.1879,0.1781,0.0393
1,WEEKDAY,12,0.0271,0.1417,0.1643,0.0600,0.0596,0.0000,0.8680,0.4761,0.1879,0.1781,0.0393
1,WEEKDAY,13,0.0242,0.1710,0.1686,0.0587,0.0594,0.0000,0.8702,0.4672,0.1873,0.1779,0.0393
1,WEEKDAY,14,0.0234,0.2067,0.1758,0.0561,0.0591,0.0000,0.8727,0.4561,0.1814,0.1755,0.0391
1,WEEKDAY,15,0.0313,0.2079,0.1789,0.0509,0.0585,0.0000,0.8526,0.4259,0.1674,0.1678,0.0383
1,WEEKDAY,16,0.0372,0.1576,0.1678,0.0419,0.0570,0.0000,0.8068,0.3736,0.1450,0.1484,0.0354
1,WEEKDAY,17,0.0452,0.1059,0.1577,0.0297,0.0552,0.1311,0.6943,0.2998,0.1146,0.1209,0.0299
1,WEEKDAY,18,0.0468,0.0550,0.1455,0.0195,0.0536,0.1311,0.5542,0.2314,0.0872,0.0880,0.0229
1,WEEKDAY,19,0.0512,0.0288,0.1430,0.0082,0.0524,0.1633,0.4395,0.1975,0.0727,0.0515,0.0162
1,WEEKDAY,20,0.0488,0.0163,0.1471,0.0031,0.0518,0.1633,0.3521,0.1813,0.0671,0.0343,0.0125
1,WEEKDAY,21,0.0523,0.0086,0.1484,0.0023,0.0515,0.1633,0.2980,0.1758,0.0650,0.0310,0.0113
1,WEEKDAY,22,0.0559,0.0036,0.1502,0.0020,0.0513,0.1633,0.2412,0.1696,0.0635,0.0296,0.0105
