Month,Weekend,Hour,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous
1,WEEKDAY,0,0.0171,0.2774,0.2233,0.7811,0.6441,0.5275,0.0849,0.1069
1,WEEKDAY,1,0.0108,0.2915,0.2208,0.7693,0.6441,0.4559,0.0662,0.1048
1,WEEKDAY,2,0.0077,0.1496,0.2886,0.7560,0.6441,0.3627,0.0322,0.1048
1,WEEKDAY,3,0.0048,0.1684,0.5286,0.7554,0.6441,0.3713,0.0279,0.1048
1,WEEKDAY,4,0.0025,0.1615,0.7523,0.7712,0.6441,0.4765,0.0403,0.1361
1,WEEKDAY,5,0.0018,0.1662,0.8946,0.8114,0.6441,0.5544,0.0571,0.1982
1,WEEKDAY,6,0.0039,0.3854,1.1936,0.8267,0.6096,0.6562,0.0737,0.2521
1,WEEKDAY,7,0.0123,0.3880,1.3300,0.8323,0.0000,0.6984,0.0873,0.2901
1,WEEKDAY,8,0.0242,0.3854,1.4209,0.8289,0.0000,0.7479,0.0991,0.3006
1,WEEKDAY,9,0.0363,0.5128,1.6098,0.8500,0.0000,0.8427,0.1055,0.3021
1,WEEKDAY,10,0.0508,0.5819,1.8379,0.8703,0.0000,0.9770,0.1119,0.3021
1,WEEKDAY,11,0.0564,0.6915,1.9434,0.8876,0.0000,1.0777,0.1150,0.3021
1,WEEKDAY,12,0.0831,0.6915,1.9387,0.9091,0.0000,1.1214,0.1155,0.3021
1,WEEKDAY,13,0.1089,0.6915,1.8315,0.9136,0.0000,1.1238,0.1155,0.3021
1,WEEKDAY,14,0.1459,0.6978,1.8012,0.9321,0.0000,1.1244,0.1155,0.3021
1,WEEKDAY,15,0.1452,0.6915,1.8143,0.9354,0.0000,1.1247,0.1155,0.3021
1,WEEKDAY,16,0.1252,0.6915,1.8474,0.9197,0.0000,1.1201,0.1153,0.3021
1,WEEKDAY,17,0.0941,0.6978,1.7504,0.9122,0.6096,1.0906,0.1147,0.3021
1,WEEKDAY,18,0.0726,0.6915,1.5184,0.8888,0.6096,1.0538,0.1141,0.3018
1,WEEKDAY,19,0.0645,0.6915,1.2916,0.8742,0.6441,1.0121,0.1134,0.2911
1,WEEKDAY,20,0.0628,0.6915,1.0567,0.8641,0.6441,0.9682,0.1125,0.2704
1,WEEKDAY,21,0.0617,0.6915,0.8203,0.8361,0.6441,0.8716,0.1101,0.2245
1,WEEKDAY,22,0.0547,0.5819,0.5328,0.8219,0.6441,0.7566,0.1039,0.1660
1,WEEKDAY,23,0.0420,0.3311,0.2919,0.7925,0.6441,0.6659,0.0958,0.1213
1,SATURDAY,0,0.0140,0.2774,0.2233,0.7813,0.6441,0.5180,0.0849,0.1069
1,SATURDAY,1,0.0068,0.2908,0.2158,0.7694,0.6441,0.4509,0.0662,0.1048
1,SATURDAY,2,0.0027,0.2023,0.2443,0.7558,0.6441,0.3567,0.0321,0.1048
1,SATURDAY,3,0.0010,0.2025,0.4254,0.7539,0.6441,0.3635,0.0278,0.1048
1,SATURDAY,4,0.0000,0.1756,0.7329,0.7687,0.6441,0.4600,0.0400,0.1361
1,SATURDAY,5,0.0001,0.1756,0.9807,0.8120,0.6441,0.5573,0.0571,0.1982
1,SATURDAY,6,0.0027,0.3854,1.3124,0.8283,0.6096,0.6695,0.0738,0.2521
1,SATURDAY,7,0.0088,0.3854,1.4696,0.8345,0.0000,0.7224,0.0876,0.2901
