Month,Weekend,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.0037,0.1333,0.0671,0.1221,0.8955,0.4979,0.2076,0.0105,0.0675,0.0345
1,WEEKDAY,1,0.0024,0.1285,0.0675,0.1188,0.8837,0.4979,0.1785,0.0099,0.0661,0.0345
1,WEEKDAY,2,0.0017,0.1281,0.0602,0.1354,0.8761,0.3682,0.1609,0.0094,0.0579,0.0345
1,WEEKDAY,3,0.0014,0.1268,0.0370,0.1713,0.8725,0.3682,0.1299,0.0085,0.0337,0.0345
1,WEEKDAY,4,0.0011,0.1290,0.0301,0.2261,0.8729,0.3682,0.1202,0.0086,0.0171,0.0345
1,WEEKDAY,5,0.0013,0.1380,0.0467,0.3378,0.8889,0.3682,0.1500,0.0115,0.0206,0.0345
1,WEEKDAY,6,0.0439,0.1554,0.0766,0.5521,0.8969,0.2991,0.2225,0.0186,0.0336,0.0416
1,WEEKDAY,7,0.1041,0.1750,0.0998,0.8250,0.9079,0.0560,0.3149,0.0306,0.0515,0.0870
1,WEEKDAY,8,0.1599,0.1855,0.1049,1.2222,0.9224,0.0000,0.4176,0.0457,0.0723,0.1560
1,WEEKDAY,9,0.2193,0.2668,0.1084,1.6532,0.9592,0.0000,0.5881,0.0629,0.1017,0.2446
1,WEEKDAY,10,0.3344,0.2896,0.1175,2.3100,0.9950,0.0000,0.7396,0.0765,0.1423,0.3447
1,WEEKDAY,11,0.4569,0.3360,0.1281,2.7851,1.0220,0.0000,0.9368,0.0903,0.1729,0.4006
1,WEEKDAY,12,0.5528,0.3501,0.1363,2.6573,1.0448,0.0000,0.9773,0.0916,0.1899,0.4119
1,WEEKDAY,13,0.5844,0.3544,0.1392,2.4074,1.0521,0.0000,0.9883,0.0925,0.2035,0.4126
1,WEEKDAY,14,0.5287,0.3496,0.1435,2.2424,1.0668,0.0000,1.0001,0.0923,0.2140,0.4126
1,WEEKDAY,15,0.5308,0.3492,0.1505,2.1170,1.0694,0.0000,1.0143,0.0931,0.2219,0.4126
1,WEEKDAY,16,0.4445,0.3408,0.1544,2.2540,1.0569,0.0560,1.0364,0.0931,0.2267,0.4126
1,WEEKDAY,17,0.3873,0.3384,0.1526,2.6079,1.0477,0.3209,1.0219,0.0918,0.2241,0.4126
1,WEEKDAY,18,0.3656,0.3423,0.1380,2.6138,1.0252,0.4133,1.0020,0.0852,0.2116,0.4083
