Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0198,0.0002,0.0330,0.0399,0.0012,0.0702,0.2100,0.0872,0.0823,0.0100,0.0044,0.0000
1,WEEKDAY,1,0.0274,0.0002,0.0387,0.0399,0.0012,0.0702,0.2100,0.0860,0.0823,0.0100,0.0044,0.0000
1,WEEKDAY,2,0.0410,0.0001,0.0416,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,WEEKDAY,3,0.0494,0.0001,0.0450,0.0399,0.0012,0.0702,0.2100,0.0859,0.0823,0.0100,0.0044,0.0000
1,WEEKDAY,4,0.0564,0.0001,0.0506,0.0400,0.0013,0.0702,0.2100,0.0918,0.0835,0.0104,0.0044,0.0000
1,WEEKDAY,5,0.1576,0.0001,0.0982,0.0408,0.0015,0.0705,0.2100,0.1228,0.0940,0.0148,0.0046,0.0000
1,WEEKDAY,6,0.1433,0.0001,0.1212,0.0428,0.0076,0.0720,0.0769,0.3234,0.1606,0.0359,0.0118,0.0066
1,WEEKDAY,7,0.6060,0.0003,0.1829,0.0526,0.0231,0.0758,0.0149,0.6854,0.2820,0.0810,0.0438,0.0328
1,WEEKDAY,8,0.4469,0.0064,0.2103,0.0639,0.0376,0.0795,0.0000,1.0111,0.3647,0.1343,0.0821,0.0436
1,WEEKDAY,9,0.4236,0.0356,0.2611,0.0765,0.0444,0.0816,0.0000,1.1271,0.4103,0.1697,0.1022,0.0463
1,WEEKDAY,10,0.2513,0.0968,0.2609,0.0778,0.0459,0.0819,0.0000,1.1382,0.4256,0.1785,0.1085,0.0476
1,WEEKDAY,11,0.1648,0.1531,0.2616,0.0758,0.0459,0.0819,0.0000,1.1024,0.4274,0.1792,0.1098,0.0476
1,WEEKDAY,12,0.1335,0.2319,0.2643,0.0779,0.0451,0.0818,0.0000,1.1010,0.4271,0.1792,0.1099,0.0476
1,WEEKDAY,13,0.0957,0.2993,0.2692,0.0762,0.0440,0.0814,0.0000,1.1141,0.4234,0.1782,0.1095,0.0476
1,WEEKDAY,14,0.0748,0.3689,0.2725,0.0751,0.0410,0.0804,0.0000,1.1156,0.4105,0.1703,0.1048,0.0459
1,WEEKDAY,15,0.0695,0.3151,0.2703,0.0732,0.0349,0.0787,0.0000,1.0433,0.3774,0.1456,0.0868,0.0379
1,WEEKDAY,16,0.1097,0.1624,0.2566,0.0697,0.0252,0.0761,0.0055,0.8222,0.3232,0.1045,0.0548,0.0226
1,WEEKDAY,17,0.1378,0.0500,0.2169,0.0626,0.0124,0.0730,0.0599,0.6127,0.1883,0.0560,0.0236,0.0071
1,WEEKDAY,18,0.1222,0.0265,0.0958,0.0524,0.0046,0.0710,0.1909,0.4326,0.1182,0.0225,0.0073,0.0000
1,WEEKDAY,19,0.1320,0.0024,0.0608,0.0427,0.0019,0.0704,0.2100,0.2988,0.0908,0.0113,0.0046,0.0000
1,WEEKDAY,20,0.0227,0.0008,0.0527,0.0405,0.0013,0.0703,0.2100,0.2019,0.0836,0.0100,0.0044,0.0000
1,WEEKDAY,21,0.0250,0.0006,0.0268,0.0401,0.0013,0.0703,0.2100,0.1415,0.0830,0.0100,0.0044,0.0000
1,WEEKDAY,22,0.0300,0.0003,0.0267,0.0401,0.0013,0.0703,0.2100,0.1037,0.0829,0.0100,0.0044,0.0000
1,WEEKDAY,23,0.0344,0.0002,0.0277,0.0400,0.0012,0.0702,0.2100,0.0911,0.0824,0.0100,0.0044,0.0000
1,SATURDAY,0,0.0176,0.0002,0.0442,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SATURDAY,1,0.0087,0.0002,0.0334,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SATURDAY,2,0.0093,0.0002,0.0314,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SATURDAY,3,0.0137,0.0002,0.0370,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SATURDAY,4,0.0145,0.0001,0.0374,0.0399,0.0014,0.0702,0.2100,0.0879,0.0840,0.0102,0.0046,0.0000
1,SATURDAY,5,0.0998,0.0001,0.0933,0.0404,0.0025,0.0703,0.2100,0.1089,0.0974,0.0127,0.0058,0.0000
1,SATURDAY,6,0.1021,0.0001,0.0938,0.0414,0.0061,0.0705,0.0769,0.1689,0.1276,0.0212,0.0084,0.0000
1,SATURDAY,7,0.1385,0.0001,0.1300,0.0431,0.0116,0.0709,0.0149,0.2565,0.1582,0.0382,0.0138,0.0000
1,SATURDAY,8,0.2207,0.0020,0.1314,0.0443,0.0157,0.0712,0.0000,0.3375,0.1804,0.0536,0.0193,0.0000
1,SATURDAY,9,0.3216,0.0152,0.1859,0.0452,0.0169,0.0713,0.0000,0.3556,0.1932,0.0613,0.0208,0.0000
1,SATURDAY,10,0.1242,0.0436,0.1851,0.0451,0.0164,0.0713,0.0000,0.3376,0.1957,0.0611,0.0209,0.0000
1,SATURDAY,11,0.1023,0.0617,0.1861,0.0450,0.0120,0.0711,0.0000,0.2829,0.1807,0.0517,0.0209,0.0000
1,SATURDAY,12,0.1165,0.0726,0.1866,0.0440,0.0051,0.0708,0.0000,0.2219,0.1535,0.0370,0.0207,0.0000
1,SATURDAY,13,0.0829,0.0606,0.1248,0.0427,0.0020,0.0706,0.0000,0.1692,0.1271,0.0313,0.0199,0.0000
1,SATURDAY,14,0.0871,0.0610,0.1024,0.0411,0.0014,0.0704,0.0000,0.1330,0.1047,0.0257,0.0188,0.0000
1,SATURDAY,15,0.0544,0.0513,0.0969,0.0401,0.0013,0.0703,0.0000,0.1108,0.0902,0.0176,0.0169,0.0000
1,SATURDAY,16,0.0506,0.0270,0.0267,0.0400,0.0013,0.0702,0.0055,0.0998,0.0846,0.0117,0.0141,0.0000
1,SATURDAY,17,0.0543,0.0182,0.0186,0.0400,0.0013,0.0702,0.0599,0.0949,0.0830,0.0105,0.0079,0.0000
1,SATURDAY,18,0.0153,0.0230,0.0255,0.0400,0.0013,0.0702,0.1909,0.0927,0.0825,0.0101,0.0048,0.0000
1,SATURDAY,19,0.0206,0.0007,0.0125,0.0400,0.0013,0.0702,0.2100,0.0917,0.0825,0.0100,0.0044,0.0000
1,SATURDAY,20,0.0190,0.0005,0.0156,0.0400,0.0013,0.0702,0.2100,0.0906,0.0824,0.0100,0.0044,0.0000
1,SATURDAY,21,0.0216,0.0004,0.0228,0.0400,0.0013,0.0702,0.2100,0.0891,0.0824,0.0100,0.0044,0.0000
1,SATURDAY,22,0.0276,0.0002,0.0260,0.0399,0.0012,0.0702,0.2100,0.0860,0.0824,0.0100,0.0044,0.0000
1,SATURDAY,23,0.0313,0.0002,0.0341,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SUNDAY,0,0.0084,0.0002,0.0281,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SUNDAY,1,0.0129,0.0002,0.0327,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SUNDAY,2,0.0280,0.0001,0.0347,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SUNDAY,3,0.0425,0.0001,0.0451,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SUNDAY,4,0.0761,0.0001,0.0412,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,SUNDAY,5,0.0932,0.0001,0.0512,0.0399,0.0012,0.0702,0.2100,0.0861,0.0823,0.0100,0.0044,0.0000
1,SUNDAY,6,0.0725,0.0001,0.0463,0.0399,0.0013,0.0702,0.0769,0.0896,0.0825,0.0100,0.0044,0.0000
1,SUNDAY,7,0.1047,0.0001,0.0536,0.0400,0.0013,0.0702,0.0149,0.0912,0.0827,0.0100,0.0044,0.0000
1,SUNDAY,8,0.0345,0.0001,0.0166,0.0400,0.0013,0.0702,0.0000,0.0923,0.0828,0.0100,0.0044,0.0000
1,SUNDAY,9,0.0180,0.0009,0.0073,0.0400,0.0013,0.0703,0.0000,0.0930,0.0828,0.0100,0.0044,0.0000
1,SUNDAY,10,0.0082,0.0059,0.0158,0.0400,0.0013,0.0702,0.0000,0.0933,0.0829,0.0100,0.0044,0.0000
1,SUNDAY,11,0.0041,0.0154,0.0187,0.0400,0.0013,0.0702,0.0000,0.0935,0.0828,0.0100,0.0044,0.0000
1,SUNDAY,12,0.0023,0.0207,0.0197,0.0400,0.0013,0.0702,0.0000,0.0935,0.0828,0.0100,0.0044,0.0000
1,SUNDAY,13,0.0060,0.0423,0.0367,0.0400,0.0013,0.0702,0.0000,0.0935,0.0827,0.0100,0.0044,0.0000
1,SUNDAY,14,0.0022,0.0468,0.0326,0.0400,0.0013,0.0702,0.0000,0.0934,0.0827,0.0100,0.0044,0.0000
1,SUNDAY,15,0.0015,0.0368,0.0246,0.0400,0.0013,0.0702,0.0000,0.0932,0.0826,0.0100,0.0044,0.0000
1,SUNDAY,16,0.0080,0.0082,0.0133,0.0400,0.0013,0.0702,0.0055,0.0931,0.0826,0.0100,0.0044,0.0000
1,SUNDAY,17,0.0105,0.0077,0.0217,0.0400,0.0013,0.0702,0.0599,0.0928,0.0825,0.0100,0.0044,0.0000
1,SUNDAY,18,0.0112,0.0021,0.0038,0.0400,0.0013,0.0702,0.1909,0.0924,0.0825,0.0100,0.0044,0.0000
1,SUNDAY,19,0.0150,0.0013,0.0042,0.0400,0.0013,0.0702,0.2100,0.0917,0.0825,0.0100,0.0044,0.0000
1,SUNDAY,20,0.0179,0.0003,0.0046,0.0400,0.0013,0.0702,0.2100,0.0906,0.0824,0.0100,0.0044,0.0000
1,SUNDAY,21,0.0280,0.0002,0.0138,0.0400,0.0013,0.0702,0.2100,0.0891,0.0824,0.0100,0.0044,0.0000
1,SUNDAY,22,0.0285,0.0002,0.0115,0.0399,0.0012,0.0702,0.2100,0.0860,0.0824,0.0100,0.0044,0.0000
1,SUNDAY,23,0.0346,0.0002,0.0280,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,HOLIDAY,0,0.0790,0.0001,0.0688,0.0399,0.0012,0.0702,0.2100,0.0870,0.0823,0.0100,0.0044,0.0000
1,HOLIDAY,1,0.1107,0.0001,0.0742,0.0399,0.0012,0.0702,0.2100,0.0860,0.0823,0.0100,0.0044,0.0000
1,HOLIDAY,2,0.1315,0.0001,0.0769,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,HOLIDAY,3,0.1323,0.0001,0.0771,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,HOLIDAY,4,0.1592,0.0001,0.0800,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,HOLIDAY,5,0.1601,0.0001,0.0801,0.0399,0.0012,0.0702,0.2100,0.0855,0.0823,0.0100,0.0044,0.0000
1,HOLIDAY,6,0.1753,0.0001,0.0807,0.0399,0.0013,0.0702,0.0769,0.0865,0.0824,0.0100,0.0044,0.0000
1,HOLIDAY,7,0.2231,0.0001,0.0842,0.0400,0.0013,0.0703,0.0149,0.0901,0.0826,0.0100,0.0044,0.0000
1,HOLIDAY,8,0.1034,0.0001,0.0281,0.0401,0.0013,0.0703,0.0000,0.0928,0.0828,0.0100,0.0044,0.0000
