Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0590,0.0195,0.0779,0.0252,0.0042,0.0636,0.1418,0.0950,0.0198,0.0588,0.0062,0.2415,0.0150
1,WEEKDAY,1,0.0827,0.0153,0.0822,0.0232,0.0036,0.0632,0.1418,0.0851,0.0195,0.0476,0.0047,0.2226,0.0146
1,WEEKDAY,2,0.1127,0.0122,0.0816,0.0226,0.0036,0.0631,0.1382,0.0835,0.0195,0.0383,0.0043,0.2101,0.0152
1,WEEKDAY,3,0.0710,0.0111,0.0803,0.0235,0.0044,0.0632,0.1382,0.0910,0.0202,0.0369,0.0085,0.2034,0.0208
1,WEEKDAY,4,0.0754,0.0117,0.0848,0.0271,0.0063,0.0636,0.1346,0.1215,0.0227,0.0409,0.0360,0.2243,0.0432
1,WEEKDAY,5,0.0777,0.0111,0.0840,0.0403,0.0093,0.0651,0.1211,0.2139,0.0301,0.0640,0.0784,0.2913,0.0866
1,WEEKDAY,6,0.1493,0.0119,0.0853,0.0541,0.0132,0.0662,0.0977,0.3499,0.0438,0.0862,0.1154,0.4343,0.1381
1,WEEKDAY,7,0.2514,0.0205,0.1403,0.0633,0.0168,0.0676,0.0113,0.4477,0.0589,0.1483,0.1433,0.6336,0.1853
1,WEEKDAY,8,0.3151,0.0447,0.1908,0.0683,0.0208,0.0689,0.0113,0.5244,0.0720,0.1564,0.1576,0.7276,0.2127
1,WEEKDAY,9,0.2943,0.0849,0.2009,0.0712,0.0252,0.0707,0.0113,0.5638,0.0826,0.1694,0.1643,0.7864,0.2267
1,WEEKDAY,10,0.2057,0.1082,0.2064,0.0735,0.0290,0.0716,0.0113,0.5840,0.0864,0.1491,0.1661,0.8311,0.2305
1,WEEKDAY,11,0.1414,0.1653,0.2238,0.0770,0.0314,0.0723,0.0113,0.5911,0.0879,0.1627,0.1664,0.8596,0.2313
1,WEEKDAY,12,0.1037,0.2092,0.2366,0.0787,0.0316,0.0731,0.0113,0.5941,0.0879,0.1761,0.1664,0.8191,0.2312
1,WEEKDAY,13,0.0823,0.2423,0.2397,0.0779,0.0310,0.0732,0.0113,0.5992,0.0869,0.1823,0.1664,0.7831,0.2301
1,WEEKDAY,14,0.0708,0.2642,0.2430,0.0780,0.0297,0.0736,0.0113,0.5975,0.0849,0.1801,0.1658,0.7341,0.2249
1,WEEKDAY,15,0.0735,0.2549,0.2449,0.0769,0.0279,0.0731,0.1361,0.5889,0.0795,0.1675,0.1607,0.6502,0.2031
1,WEEKDAY,16,0.0756,0.1784,0.2299,0.0731,0.0252,0.0717,0.1372,0.5500,0.0669,0.1508,0.1407,0.5081,0.1608
1,WEEKDAY,17,0.0513,0.1157,0.1943,0.0667,0.0217,0.0704,0.3103,0.4568,0.0503,0.1289,0.0924,0.3955,0.1066
1,WEEKDAY,18,0.0307,0.0854,0.1345,0.0588,0.0185,0.0688,0.3362,0.3446,0.0368,0.0948,0.0474,0.3089,0.0607
1,WEEKDAY,19,0.0329,0.0631,0.1008,0.0517,0.0148,0.0680,0.3518,0.2708,0.0295,0.0856,0.0197,0.2820,0.0334
