Month,Weekend,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.2335,0.0872,0.3421,0.0015,0.1077,0.1182,0.3457,0.0447,0.1086,0.0217,0.0372
1,WEEKDAY,1,0.2316,0.0809,0.3415,0.0012,0.1055,0.1182,0.3372,0.0409,0.1009,0.0214,0.0371
1,WEEKDAY,2,0.2271,0.0762,0.3410,0.0012,0.1047,0.1182,0.3208,0.0400,0.0970,0.0219,0.0393
1,WEEKDAY,3,0.2196,0.0718,0.3408,0.0013,0.1049,0.1182,0.3140,0.0400,0.0983,0.0234,0.0432
1,WEEKDAY,4,0.2223,0.0760,0.3417,0.0060,0.1083,0.1182,0.3192,0.0414,0.1120,0.0295,0.0563
1,WEEKDAY,5,0.2061,0.0837,0.3449,0.0281,0.1140,0.1040,0.3642,0.0489,0.1588,0.0414,0.0846
1,WEEKDAY,6,0.2356,0.1113,0.3504,0.0432,0.1171,0.0503,0.4123,0.0601,0.2020,0.0517,0.1005
1,WEEKDAY,7,0.2411,0.1155,0.3524,0.0506,0.1200,0.0000,0.4941,0.0794,0.2411,0.0576,0.1055
1,WEEKDAY,8,0.2602,0.1999,0.3955,0.0464,0.1232,0.0000,0.5472,0.0917,0.2635,0.0608,0.1073
1,WEEKDAY,9,0.2440,0.3223,0.4030,0.0440,0.1278,0.0000,0.5459,0.0959,0.2704,0.0619,0.1073
1,WEEKDAY,10,0.2306,0.3944,0.4065,0.0452,0.1291,0.0000,0.5433,0.0975,0.2710,0.0624,0.1073
1,WEEKDAY,11,0.2209,0.4357,0.4079,0.0495,0.1297,0.0000,0.5268,0.0977,0.2802,0.0625,0.1073
1,WEEKDAY,12,0.2097,0.4817,0.4092,0.0587,0.1315,0.0000,0.5301,0.0976,0.2802,0.0625,0.1073
1,WEEKDAY,13,0.2061,0.5186,0.4131,0.0500,0.1316,0.0000,0.5273,0.0972,0.2775,0.0625,0.1073
1,WEEKDAY,14,0.2026,0.5166,0.4179,0.0457,0.1330,0.0000,0.5338,0.0966,0.2717,0.0623,0.1073
1,WEEKDAY,15,0.2100,0.4395,0.4287,0.0445,0.1325,0.0000,0.5426,0.0960,0.2697,0.0614,0.1064
1,WEEKDAY,16,0.2196,0.3444,0.4184,0.0497,0.1300,0.0000,0.5742,0.0947,0.2563,0.0558,0.0915
1,WEEKDAY,17,0.2333,0.2799,0.4126,0.0544,0.1279,0.0503,0.5936,0.0921,0.2424,0.0478,0.0735
1,WEEKDAY,18,0.2431,0.2345,0.4094,0.0433,0.1244,0.1040,0.5998,0.0885,0.2265,0.0372,0.0565
1,WEEKDAY,19,0.2430,0.1969,0.4045,0.0334,0.1225,0.1182,0.5926,0.0839,0.2080,0.0290,0.0459
1,WEEKDAY,20,0.2384,0.1650,0.4017,0.0306,0.1207,0.1182,0.5706,0.0795,0.1827,0.0251,0.0414
1,WEEKDAY,21,0.2292,0.1315,0.3973,0.0268,0.1167,0.1182,0.4963,0.0751,0.1620,0.0239,0.0391
1,WEEKDAY,22,0.2291,0.1112,0.3936,0.0186,0.1140,0.1182,0.4013,0.0690,0.1477,0.0230,0.0372
1,WEEKDAY,23,0.2294,0.0946,0.3909,0.0026,0.1105,0.1182,0.3527,0.0611,0.1210,0.0225,0.0372
1,SATURDAY,0,0.2383,0.0978,0.3424,0.0014,0.1075,0.1182,0.3160,0.0450,0.1130,0.0217,0.0372
