Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0747,0.0021,0.0479,0.0057,0.0005,0.0299,0.0512,0.0626,0.0046,0.0057,0.0186,0.0004,0.0012
1,WEEKDAY,1,0.0849,0.0013,0.0480,0.0057,0.0004,0.0297,0.0512,0.0569,0.0043,0.0043,0.0000,0.0000,0.0000
1,WEEKDAY,2,0.0939,0.0023,0.0474,0.0058,0.0002,0.0296,0.0512,0.0547,0.0042,0.0042,0.0119,0.0003,0.0008
1,WEEKDAY,3,0.0820,0.0038,0.0474,0.0062,0.0002,0.0297,0.0512,0.0605,0.0050,0.0062,0.0805,0.0029,0.0054
1,WEEKDAY,4,0.0756,0.0048,0.0474,0.0070,0.0019,0.0302,0.0512,0.0855,0.0103,0.0110,0.1228,0.0132,0.0105
1,WEEKDAY,5,0.0663,0.0036,0.0474,0.0090,0.0075,0.0319,0.0512,0.1219,0.0215,0.0167,0.1486,0.0325,0.0169
1,WEEKDAY,6,0.0650,0.0030,0.0488,0.0127,0.0185,0.0326,0.0330,0.3308,0.0347,0.0231,0.1635,0.0483,0.0218
1,WEEKDAY,7,0.0898,0.0260,0.5029,0.0159,0.0309,0.0332,0.0000,0.3585,0.0459,0.0279,0.1657,0.0569,0.0241
1,WEEKDAY,8,0.4527,0.0095,0.5846,0.0171,0.0381,0.0335,0.0000,0.3667,0.0512,0.0297,0.1657,0.0597,0.0249
1,WEEKDAY,9,0.3363,0.0221,0.5651,0.0169,0.0406,0.0348,0.0000,0.3686,0.0525,0.0299,0.1657,0.0600,0.0249
1,WEEKDAY,10,0.1535,0.0545,0.5237,0.0169,0.0411,0.0353,0.0000,0.3686,0.0528,0.0299,0.1657,0.0600,0.0249
1,WEEKDAY,11,0.0985,0.1294,0.5177,0.0173,0.0411,0.0357,0.0000,0.3681,0.0528,0.0299,0.1657,0.0600,0.0249
1,WEEKDAY,12,0.0709,0.2124,0.5151,0.0172,0.0408,0.0366,0.0000,0.3681,0.0528,0.0299,0.1657,0.0600,0.0249
1,WEEKDAY,13,0.0526,0.2993,0.5144,0.0167,0.0406,0.0367,0.0000,0.3682,0.0525,0.0299,0.1657,0.0600,0.0249
1,WEEKDAY,14,0.0536,0.3816,0.5149,0.0166,0.0396,0.0375,0.0000,0.3678,0.0516,0.0299,0.1657,0.0600,0.0249
1,WEEKDAY,15,0.0640,0.4014,0.5160,0.0168,0.0356,0.0376,0.0000,0.3650,0.0491,0.0299,0.1657,0.0592,0.0247
1,WEEKDAY,16,0.0864,0.3776,0.5184,0.0163,0.0308,0.0365,0.0000,0.3541,0.0421,0.0294,0.1657,0.0543,0.0234
1,WEEKDAY,17,0.0077,0.0667,0.0918,0.0136,0.0226,0.0353,0.0330,0.2737,0.0313,0.0264,0.1657,0.0410,0.0198
1,WEEKDAY,18,0.0110,0.0467,0.0822,0.0105,0.0154,0.0335,0.0512,0.2292,0.0212,0.0224,0.1653,0.0242,0.0154
1,WEEKDAY,19,0.0171,0.0390,0.0817,0.0086,0.0100,0.0328,0.0512,0.1884,0.0134,0.0185,0.1640,0.0126,0.0125
1,WEEKDAY,20,0.0281,0.0249,0.0683,0.0069,0.0040,0.0325,0.0512,0.1497,0.0086,0.0142,0.1585,0.0062,0.0107
1,WEEKDAY,21,0.0395,0.0097,0.0494,0.0060,0.0011,0.0314,0.0512,0.1153,0.0060,0.0118,0.1488,0.0036,0.0095
1,WEEKDAY,22,0.0417,0.0079,0.0489,0.0060,0.0006,0.0312,0.0512,0.0849,0.0054,0.0118,0.1297,0.0027,0.0082
1,WEEKDAY,23,0.0502,0.0039,0.0483,0.0058,0.0005,0.0300,0.0512,0.0744,0.0051,0.0097,0.0959,0.0020,0.0061
