Month,Daytype,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.1032,0.0106,0.3818,0.0110,0.0908,0.1556,0.2838,0.0304,0.0954,0.0199,0.0356
1,WEEKDAY,1,0.1073,0.0101,0.3819,0.0110,0.0885,0.1556,0.2758,0.0302,0.0929,0.0194,0.0356
1,WEEKDAY,2,0.1122,0.0097,0.3815,0.0112,0.0875,0.1556,0.2713,0.0301,0.0915,0.0203,0.0376
1,WEEKDAY,3,0.1161,0.0093,0.3826,0.0117,0.0877,0.1556,0.2755,0.0303,0.0934,0.0229,0.0437
1,WEEKDAY,4,0.1209,0.0089,0.3824,0.0288,0.0911,0.1556,0.3013,0.0329,0.1007,0.0298,0.0526
1,WEEKDAY,5,0.1239,0.0427,0.3958,0.0760,0.0963,0.1556,0.3704,0.0460,0.1272,0.0473,0.0738
1,WEEKDAY,6,0.1228,0.0259,0.3960,0.1042,0.1003,0.1556,0.4687,0.0597,0.1589,0.0623,0.1002
1,WEEKDAY,7,0.1122,0.0270,0.4003,0.1214,0.1032,0.0034,0.5123,0.0755,0.1838,0.0658,0.1063
1,WEEKDAY,8,0.0790,0.0324,0.3998,0.1179,0.1052,0.0000,0.5326,0.0790,0.1959,0.0675,0.1093
1,WEEKDAY,9,0.0579,0.0406,0.3991,0.1151,0.1072,0.0000,0.5414,0.0806,0.2023,0.0678,0.1102
1,WEEKDAY,10,0.0412,0.0516,0.3981,0.1195,0.1079,0.0000,0.5409,0.0811,0.2027,0.0680,0.1105
1,WEEKDAY,11,0.0291,0.0717,0.3967,0.1244,0.1082,0.0000,0.5390,0.0812,0.2027,0.0680,0.1105
1,WEEKDAY,12,0.0282,0.0861,0.3972,0.1299,0.1088,0.0000,0.5341,0.0811,0.2027,0.0680,0.1105
1,WEEKDAY,13,0.0273,0.1053,0.3971,0.1247,0.1089,0.0000,0.5344,0.0806,0.2023,0.0679,0.1104
1,WEEKDAY,14,0.0247,0.1225,0.3974,0.1179,0.1093,0.0000,0.5340,0.0799,0.2000,0.0677,0.1100
1,WEEKDAY,15,0.0255,0.1212,0.3966,0.1153,0.1091,0.0047,0.5311,0.0789,0.1910,0.0665,0.1079
1,WEEKDAY,16,0.0316,0.1002,0.3978,0.1159,0.1078,0.0047,0.5176,0.0768,0.1762,0.0588,0.0968
1,WEEKDAY,17,0.0365,0.0754,0.3936,0.1192,0.1058,0.1271,0.5008,0.0725,0.1613,0.0489,0.0819
1,WEEKDAY,18,0.0405,0.0564,0.3939,0.1121,0.1032,0.1271,0.4841,0.0638,0.1494,0.0387,0.0663
1,WEEKDAY,19,0.0514,0.0340,0.3831,0.1019,0.1015,0.1556,0.4623,0.0488,0.1413,0.0321,0.0559
1,WEEKDAY,20,0.0644,0.0203,0.3837,0.0853,0.1000,0.1556,0.4254,0.0372,0.1335,0.0253,0.0440
1,WEEKDAY,21,0.0752,0.0164,0.3835,0.0725,0.0974,0.1556,0.3779,0.0328,0.1243,0.0221,0.0372
1,WEEKDAY,22,0.0894,0.0137,0.3836,0.0509,0.0949,0.1556,0.3230,0.0318,0.1122,0.0207,0.0356
1,WEEKDAY,23,0.0993,0.0119,0.3838,0.0110,0.0927,0.1556,0.2961,0.0306,0.0988,0.0202,0.0356
1,SATURDAY,0,0.0916,0.0116,0.3586,0.0110,0.0908,0.1556,0.2842,0.0298,0.0947,0.0199,0.0353
1,SATURDAY,1,0.0991,0.0108,0.3587,0.0110,0.0885,0.1556,0.2764,0.0296,0.0913,0.0194,0.0354
1,SATURDAY,2,0.1008,0.0097,0.3587,0.0111,0.0875,0.1556,0.2718,0.0294,0.0893,0.0208,0.0382
1,SATURDAY,3,0.1040,0.0107,0.3587,0.0113,0.0876,0.1556,0.2735,0.0296,0.0922,0.0240,0.0446
1,SATURDAY,4,0.1089,0.0087,0.3589,0.0265,0.0909,0.1556,0.2980,0.0316,0.1034,0.0281,0.0506
1,SATURDAY,5,0.1104,0.0415,0.3703,0.0677,0.0954,0.1556,0.3545,0.0392,0.1267,0.0381,0.0633
1,SATURDAY,6,0.1102,0.0242,0.3705,0.0932,0.0979,0.1556,0.4249,0.0428,0.1532,0.0519,0.0835
1,SATURDAY,7,0.1004,0.0220,0.3748,0.1078,0.0997,0.0034,0.4631,0.0491,0.1781,0.0549,0.0864
1,SATURDAY,8,0.0781,0.0265,0.3745,0.1031,0.1009,0.0000,0.4777,0.0501,0.1861,0.0557,0.0875
1,SATURDAY,9,0.0602,0.0331,0.3747,0.1001,0.1027,0.0000,0.4871,0.0506,0.1892,0.0557,0.0875
1,SATURDAY,10,0.0348,0.0456,0.3717,0.1045,0.1033,0.0000,0.4891,0.0507,0.1866,0.0557,0.0875
1,SATURDAY,11,0.0273,0.0604,0.3705,0.1094,0.1037,0.0000,0.4889,0.0507,0.1866,0.0557,0.0875
1,SATURDAY,12,0.0207,0.0773,0.3712,0.1149,0.1043,0.0000,0.4839,0.0506,0.1866,0.0557,0.0875
1,SATURDAY,13,0.0193,0.0907,0.3716,0.1096,0.1045,0.0000,0.4828,0.0505,0.1858,0.0557,0.0875
1,SATURDAY,14,0.0190,0.1031,0.3717,0.1031,0.1052,0.0000,0.4820,0.0503,0.1836,0.0556,0.0874
1,SATURDAY,15,0.0244,0.0978,0.3713,0.1014,0.1052,0.0047,0.4789,0.0487,0.1740,0.0555,0.0873
1,SATURDAY,16,0.0265,0.0869,0.3703,0.1050,0.1044,0.0047,0.4695,0.0476,0.1621,0.0478,0.0772
1,SATURDAY,17,0.0286,0.0679,0.3689,0.1110,0.1034,0.1271,0.4566,0.0449,0.1487,0.0407,0.0676
