Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.0000,0.0234,0.3049,0.0200,0.0432,2.2162,0.2452,0.5917,0.0158,0.0566,0.0106
1,WEEKDAY,1,0.0000,0.0285,0.3340,0.0199,0.0301,2.2095,0.2452,0.5546,0.0159,0.0554,0.0022
1,WEEKDAY,2,0.0000,0.0312,0.3340,0.0202,0.0284,2.2054,0.2452,0.5488,0.0151,0.0552,0.0015
1,WEEKDAY,3,0.0000,0.0287,0.3356,0.0213,0.0474,2.2033,0.2452,0.5643,0.0156,0.0579,0.0030
1,WEEKDAY,4,0.0000,0.0308,0.3356,0.0266,0.1212,2.2105,0.2452,0.6145,0.0199,0.0709,0.0143
1,WEEKDAY,5,0.0000,0.0301,0.4061,0.0396,0.1998,2.3285,0.2452,0.7028,0.0284,0.0885,0.0390
1,WEEKDAY,6,0.0868,0.0332,0.4235,0.0680,0.2508,2.3202,0.1389,0.8570,0.0399,0.1038,0.0601
1,WEEKDAY,7,1.2429,0.0352,0.4804,0.0919,0.3046,2.2889,0.0000,1.0146,0.0539,0.1137,0.0732
1,WEEKDAY,8,0.3422,0.0608,0.4776,0.0982,0.3100,2.2948,0.0000,1.0943,0.0633,0.1189,0.0788
1,WEEKDAY,9,0.1456,0.1601,0.4906,0.0977,0.3113,2.4676,0.0000,1.1190,0.0670,0.1208,0.0801
1,WEEKDAY,10,0.0031,0.2991,0.5108,0.0955,0.3159,2.5298,0.0000,1.1243,0.0679,0.1211,0.0802
1,WEEKDAY,11,0.0303,0.4204,0.5191,0.0942,0.3147,2.5872,0.0000,1.1232,0.0680,0.1211,0.0802
1,WEEKDAY,12,0.0291,0.4973,0.5238,0.0939,0.2856,2.7175,0.0000,1.1243,0.0678,0.1207,0.0802
1,WEEKDAY,13,0.0668,0.5182,0.5258,0.0928,0.2587,2.7236,0.0000,1.1195,0.0663,0.1192,0.0802
1,WEEKDAY,14,0.0372,0.4925,0.5216,0.0941,0.2276,2.8276,0.0000,1.1033,0.0638,0.1171,0.0802
1,WEEKDAY,15,0.0000,0.4108,0.5122,0.0955,0.2125,2.8194,0.0000,1.0843,0.0630,0.1162,0.0802
1,WEEKDAY,16,0.0000,0.3485,0.5063,0.0977,0.2027,2.6909,0.0000,1.0682,0.0625,0.1142,0.0802
1,WEEKDAY,17,0.0023,0.2761,0.5002,0.0982,0.1797,2.6603,0.1665,1.0514,0.0614,0.1093,0.0802
1,WEEKDAY,18,0.0046,0.2229,0.4839,0.0965,0.1647,2.5318,0.2517,1.0373,0.0593,0.1021,0.0797
1,WEEKDAY,19,0.0077,0.1651,0.4758,0.0870,0.1498,2.5063,0.3030,1.0072,0.0554,0.0947,0.0767
1,WEEKDAY,20,0.0109,0.1298,0.4756,0.0702,0.1105,2.4936,0.2808,0.9611,0.0478,0.0846,0.0718
1,WEEKDAY,21,0.0257,0.0905,0.4270,0.0500,0.0985,2.3647,0.2544,0.8570,0.0384,0.0750,0.0642
1,WEEKDAY,22,0.0000,0.0472,0.3383,0.0301,0.0778,2.3618,0.2544,0.6975,0.0284,0.0666,0.0531
1,WEEKDAY,23,0.0000,0.0348,0.3341,0.0214,0.0556,2.2252,0.2529,0.6380,0.0181,0.0590,0.0368
1,SATURDAY,0,0.0000,0.0251,0.3049,0.0203,0.0435,2.2176,0.2452,0.5924,0.0159,0.0568,0.0106
1,SATURDAY,1,0.0000,0.0295,0.3340,0.0199,0.0300,2.2097,0.2452,0.5545,0.0159,0.0554,0.0022
1,SATURDAY,2,0.0000,0.0316,0.3340,0.0202,0.0279,2.2052,0.2452,0.5482,0.0150,0.0549,0.0015
1,SATURDAY,3,0.0000,0.0299,0.3359,0.0213,0.0451,2.2028,0.2452,0.5627,0.0153,0.0569,0.0030
1,SATURDAY,4,0.0000,0.0318,0.3358,0.0264,0.1155,2.2092,0.2452,0.6089,0.0192,0.0686,0.0143
1,SATURDAY,5,0.0128,0.0312,0.4058,0.0393,0.1801,2.3265,0.2452,0.6852,0.0272,0.0852,0.0390
1,SATURDAY,6,0.0602,0.0341,0.4231,0.0679,0.2228,2.3174,0.1389,0.7982,0.0374,0.0997,0.0601
1,SATURDAY,7,0.0568,0.0352,0.4716,0.0920,0.2746,2.2838,0.0000,0.9427,0.0482,0.1083,0.0732
1,SATURDAY,8,0.0391,0.0660,0.4756,0.0983,0.2799,2.2880,0.0000,1.0188,0.0560,0.1132,0.0788
1,SATURDAY,9,0.0000,0.1501,0.4861,0.0978,0.2815,2.4603,0.0000,1.0422,0.0596,0.1151,0.0801
1,SATURDAY,10,0.0000,0.2813,0.5036,0.0955,0.2876,2.5224,0.0000,1.0478,0.0605,0.1154,0.0802
1,SATURDAY,11,0.0000,0.4301,0.5113,0.0943,0.2807,2.5799,0.0000,1.0483,0.0606,0.1154,0.0802
1,SATURDAY,12,0.0000,0.5338,0.5155,0.0940,0.2455,2.7105,0.0000,1.0483,0.0606,0.1154,0.0802
1,SATURDAY,13,0.0000,0.5786,0.5172,0.0929,0.2251,2.7178,0.0000,1.0478,0.0606,0.1154,0.0802
1,SATURDAY,14,0.0000,0.5665,0.5168,0.0941,0.2029,2.8239,0.0000,1.0446,0.0606,0.1154,0.0802
1,SATURDAY,15,0.0000,0.5371,0.5158,0.0955,0.1903,2.8164,0.0000,1.0411,0.0606,0.1152,0.0802
1,SATURDAY,16,0.0000,0.4740,0.5104,0.0976,0.1819,2.6880,0.0000,1.0316,0.0602,0.1131,0.0802
1,SATURDAY,17,0.0000,0.3742,0.5027,0.0982,0.1624,2.6556,0.1665,1.0096,0.0590,0.1072,0.0802
1,SATURDAY,18,0.0000,0.2522,0.4765,0.0965,0.1469,2.5255,0.2517,0.9684,0.0568,0.0999,0.0797
1,SATURDAY,19,0.0000,0.2089,0.4749,0.0877,0.1327,2.5028,0.3030,0.9292,0.0536,0.0938,0.0767
1,SATURDAY,20,0.0000,0.1577,0.4747,0.0723,0.0972,2.4921,0.2808,0.9075,0.0472,0.0851,0.0718
1,SATURDAY,21,0.0000,0.1166,0.4743,0.0544,0.0873,2.3652,0.2544,0.8382,0.0388,0.0764,0.0642
1,SATURDAY,22,0.0000,0.0692,0.3614,0.0354,0.0713,2.3638,0.2544,0.7361,0.0296,0.0682,0.0531
