Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0553,0.0266,0.0666,0.0246,0.0082,0.0943,0.2733,0.0941,0.0134,0.0523,0.3234,0.0796,0.0282
1,WEEKDAY,1,0.0591,0.0238,0.0652,0.0235,0.0065,0.0939,0.2659,0.0860,0.0131,0.0493,0.3234,0.0803,0.0274
1,WEEKDAY,2,0.0672,0.0217,0.0577,0.0228,0.0064,0.0937,0.2649,0.0823,0.0131,0.0493,0.3249,0.0796,0.0283
1,WEEKDAY,3,0.0778,0.0203,0.0592,0.0240,0.0092,0.0939,0.2574,0.0920,0.0143,0.0544,0.3442,0.0917,0.0350
1,WEEKDAY,4,0.0849,0.0199,0.0605,0.0289,0.0134,0.0951,0.2564,0.1140,0.0170,0.0659,0.3731,0.1088,0.0464
1,WEEKDAY,5,0.0817,0.0228,0.0673,0.0346,0.0258,0.0986,0.2563,0.1791,0.0239,0.0849,0.3949,0.1389,0.0708
1,WEEKDAY,6,0.0840,0.0266,0.0772,0.0451,0.0358,0.1008,0.1799,0.2858,0.0338,0.1156,0.4399,0.1996,0.1048
1,WEEKDAY,7,0.1670,0.0345,0.1038,0.0528,0.0417,0.1025,0.0006,0.3820,0.0475,0.1658,0.5270,0.2489,0.1352
1,WEEKDAY,8,0.1777,0.0526,0.1522,0.0580,0.0450,0.1038,0.0006,0.4512,0.0575,0.1841,0.5644,0.2999,0.1589
1,WEEKDAY,9,0.1900,0.0852,0.1669,0.0611,0.0465,0.1071,0.0006,0.4901,0.0644,0.1909,0.5755,0.3201,0.1687
1,WEEKDAY,10,0.1273,0.1299,0.1774,0.0643,0.0484,0.1086,0.0006,0.5008,0.0676,0.1927,0.5800,0.3281,0.1723
1,WEEKDAY,11,0.0828,0.1730,0.1815,0.0668,0.0495,0.1098,0.0006,0.5019,0.0689,0.1990,0.5801,0.3306,0.1735
1,WEEKDAY,12,0.0660,0.2054,0.1831,0.0677,0.0490,0.1120,0.0006,0.5053,0.0694,0.1979,0.5801,0.3353,0.1747
1,WEEKDAY,13,0.0497,0.2367,0.1820,0.0672,0.0468,0.1124,0.0006,0.5057,0.0691,0.1962,0.5801,0.3287,0.1731
1,WEEKDAY,14,0.0472,0.2497,0.1792,0.0674,0.0436,0.1140,0.0006,0.4994,0.0676,0.1932,0.5642,0.3151,0.1654
1,WEEKDAY,15,0.0504,0.2404,0.1837,0.0663,0.0428,0.1138,0.0021,0.4919,0.0634,0.1888,0.5395,0.2942,0.1494
1,WEEKDAY,16,0.0656,0.1943,0.1695,0.0627,0.0404,0.1113,0.0142,0.4497,0.0555,0.1765,0.4485,0.2628,0.1200
1,WEEKDAY,17,0.0646,0.1516,0.1529,0.0569,0.0374,0.1098,0.2551,0.3825,0.0422,0.1570,0.4090,0.2347,0.0919
1,WEEKDAY,18,0.0612,0.1173,0.1458,0.0507,0.0346,0.1071,0.3556,0.3106,0.0304,0.1373,0.3869,0.2112,0.0706
1,WEEKDAY,19,0.0558,0.0871,0.1298,0.0462,0.0322,0.1055,0.3520,0.2599,0.0245,0.1173,0.3643,0.1818,0.0561
1,WEEKDAY,20,0.0580,0.0669,0.1195,0.0425,0.0287,0.1041,0.3544,0.2141,0.0208,0.1005,0.3567,0.1513,0.0468
1,WEEKDAY,21,0.0679,0.0536,0.1106,0.0378,0.0249,0.1008,0.3460,0.1756,0.0178,0.0796,0.3400,0.1264,0.0395
1,WEEKDAY,22,0.0512,0.0416,0.0853,0.0323,0.0189,0.0989,0.3141,0.1422,0.0158,0.0668,0.3369,0.1069,0.0338
1,WEEKDAY,23,0.0502,0.0321,0.0784,0.0265,0.0101,0.0954,0.2835,0.1112,0.0141,0.0572,0.3347,0.0852,0.0291
