Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.1677,0.0342,0.4404,0.0060,0.0009,0.0422,0.2873,0.3536,0.0107,0.0022,0.0038
1,WEEKDAY,1,0.1677,0.0319,0.4404,0.0033,0.0005,0.0407,0.2873,0.3293,0.0098,0.0021,0.0036
1,WEEKDAY,2,0.1677,0.0319,0.4404,0.0029,0.0005,0.0402,0.2873,0.3278,0.0098,0.0021,0.0036
1,WEEKDAY,3,0.1677,0.0318,0.4404,0.0029,0.0006,0.0401,0.2873,0.3276,0.0098,0.0021,0.0036
1,WEEKDAY,4,0.1678,0.0316,0.4404,0.0029,0.0013,0.0402,0.2843,0.3330,0.0105,0.0021,0.0037
1,WEEKDAY,5,0.1678,0.0315,0.4404,0.0030,0.0032,0.0403,0.2843,0.3716,0.0136,0.0026,0.0042
1,WEEKDAY,6,0.1678,0.0314,0.4404,0.0037,0.0067,0.0409,0.2843,0.4484,0.0179,0.0037,0.0049
1,WEEKDAY,7,0.1678,0.0315,0.4409,0.0052,0.0092,0.0418,0.0000,0.5588,0.0230,0.0059,0.0059
1,WEEKDAY,8,0.1680,0.0318,0.4472,0.0080,0.0095,0.0434,0.0000,0.8065,0.0293,0.0083,0.0076
1,WEEKDAY,9,0.1677,0.0337,0.4474,0.0128,0.0093,0.0458,0.0000,1.0693,0.0380,0.0127,0.0102
1,WEEKDAY,10,0.1673,0.0406,0.4482,0.0171,0.0098,0.0487,0.0000,1.2521,0.0540,0.0201,0.0110
1,WEEKDAY,11,0.1668,0.0456,0.4485,0.0171,0.0102,0.0500,0.0000,1.2792,0.0556,0.0202,0.0111
1,WEEKDAY,12,0.1663,0.0500,0.4490,0.0158,0.0101,0.0502,0.0000,1.2792,0.0557,0.0202,0.0111
1,WEEKDAY,13,0.1660,0.0525,0.4491,0.0153,0.0094,0.0502,0.0000,1.2792,0.0556,0.0202,0.0111
1,WEEKDAY,14,0.1657,0.0535,0.4491,0.0152,0.0094,0.0501,0.0000,1.2793,0.0549,0.0202,0.0111
1,WEEKDAY,15,0.1656,0.0526,0.4489,0.0150,0.0110,0.0501,0.0000,1.2794,0.0524,0.0199,0.0111
1,WEEKDAY,16,0.1658,0.0461,0.4481,0.0149,0.0111,0.0499,0.0000,1.2787,0.0508,0.0192,0.0111
1,WEEKDAY,17,0.1661,0.0427,0.4479,0.0147,0.0101,0.0496,0.2843,1.2750,0.0489,0.0185,0.0110
1,WEEKDAY,18,0.1666,0.0406,0.4479,0.0146,0.0090,0.0493,0.2873,1.2577,0.0444,0.0179,0.0107
1,WEEKDAY,19,0.1670,0.0390,0.4479,0.0145,0.0073,0.0489,0.2873,1.1859,0.0387,0.0175,0.0103
1,WEEKDAY,20,0.1673,0.0380,0.4477,0.0142,0.0053,0.0482,0.2873,0.9966,0.0344,0.0167,0.0097
1,WEEKDAY,21,0.1675,0.0371,0.4477,0.0135,0.0035,0.0471,0.2873,0.7901,0.0316,0.0154,0.0086
1,WEEKDAY,22,0.1674,0.0337,0.4405,0.0121,0.0024,0.0456,0.2873,0.6362,0.0225,0.0063,0.0072
1,WEEKDAY,23,0.1675,0.0325,0.4404,0.0099,0.0016,0.0438,0.2873,0.4842,0.0158,0.0030,0.0049
1,SATURDAY,0,0.1677,0.0315,0.4404,0.0029,0.0005,0.0401,0.2873,0.3263,0.0083,0.0021,0.0036
1,SATURDAY,1,0.1678,0.0312,0.4404,0.0029,0.0005,0.0401,0.2873,0.3263,0.0084,0.0021,0.0036
1,SATURDAY,2,0.1678,0.0309,0.4404,0.0029,0.0005,0.0401,0.2873,0.3263,0.0097,0.0021,0.0036
1,SATURDAY,3,0.1678,0.0310,0.4404,0.0029,0.0005,0.0401,0.2873,0.3263,0.0130,0.0024,0.0038
1,SATURDAY,4,0.1679,0.0308,0.4404,0.0029,0.0006,0.0401,0.2843,0.3266,0.0179,0.0030,0.0043
1,SATURDAY,5,0.1679,0.0308,0.4404,0.0029,0.0012,0.0402,0.2843,0.3491,0.0226,0.0040,0.0052
1,SATURDAY,6,0.1679,0.0308,0.4404,0.0029,0.0030,0.0402,0.2843,0.4879,0.0280,0.0057,0.0065
1,SATURDAY,7,0.1678,0.0309,0.4404,0.0029,0.0057,0.0403,0.0000,0.7107,0.0336,0.0082,0.0082
1,SATURDAY,8,0.1677,0.0312,0.4405,0.0029,0.0070,0.0404,0.0000,1.0027,0.0392,0.0114,0.0099
1,SATURDAY,9,0.1676,0.0320,0.4405,0.0029,0.0068,0.0405,0.0000,1.2613,0.0445,0.0126,0.0108
1,SATURDAY,10,0.1675,0.0324,0.4404,0.0029,0.0072,0.0406,0.0000,0.8795,0.0342,0.0106,0.0092
1,SATURDAY,11,0.1675,0.0330,0.4404,0.0029,0.0073,0.0406,0.0000,0.6272,0.0277,0.0087,0.0073
1,SATURDAY,12,0.1674,0.0334,0.4404,0.0029,0.0069,0.0404,0.0000,0.4559,0.0223,0.0065,0.0058
1,SATURDAY,13,0.1672,0.0342,0.4404,0.0029,0.0076,0.0404,0.0000,0.3453,0.0172,0.0039,0.0046
