Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0000,0.3158,0.0124,0.0043,0.0473,0.5815,0.3254,0.0066,0.0807,0.0055,0.0017
1,WEEKDAY,1,0.0000,0.3168,0.0124,0.0023,0.0470,0.5815,0.3059,0.0061,0.0785,0.0055,0.0013
1,WEEKDAY,2,0.0000,0.3197,0.0124,0.0023,0.0469,0.5514,0.3059,0.0061,0.0785,0.0055,0.0013
1,WEEKDAY,3,0.0000,0.3191,0.0125,0.0051,0.0474,0.5514,0.3261,0.0066,0.0809,0.0055,0.0017
1,WEEKDAY,4,0.0000,0.3216,0.0136,0.0197,0.0497,0.5514,0.4408,0.0091,0.0930,0.0066,0.0041
1,WEEKDAY,5,0.0001,0.3148,0.0174,0.0252,0.0513,0.5514,0.5367,0.0113,0.0985,0.0173,0.0069
1,WEEKDAY,6,0.0006,0.3203,0.0225,0.0510,0.0530,0.1199,0.6679,0.0137,0.1030,0.0512,0.0135
1,WEEKDAY,7,0.0008,0.3167,0.0348,0.0524,0.0540,0.0000,0.7538,0.0169,0.1271,0.0998,0.0220
1,WEEKDAY,8,0.0006,0.3535,0.0482,0.0597,0.0548,0.0000,0.8360,0.0210,0.1418,0.1508,0.0308
1,WEEKDAY,9,0.0003,0.3431,0.0528,0.0707,0.0551,0.0000,0.8674,0.0259,0.1508,0.1809,0.0359
1,WEEKDAY,10,0.0002,0.3792,0.0555,0.0758,0.0552,0.0000,0.8728,0.0291,0.1549,0.1930,0.0379
1,WEEKDAY,11,0.0028,0.3714,0.0581,0.0762,0.0552,0.0000,0.8731,0.0307,0.1567,0.1955,0.0383
1,WEEKDAY,12,0.0068,0.3727,0.0579,0.0763,0.0552,0.0000,0.8731,0.0309,0.1569,0.1956,0.0383
