Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.3061,0.0838,0.5248,0.0142,0.0157,0.0775,0.1430,0.3674,0.1174,0.1738,0.0536,0.0194
1,WEEKDAY,1,0.3272,0.0787,0.5261,0.0142,0.0157,0.0757,0.1430,0.3501,0.1170,0.1708,0.0524,0.0193
1,WEEKDAY,2,0.3498,0.0768,0.5272,0.0142,0.0163,0.0751,0.1430,0.3389,0.1183,0.1697,0.0541,0.0201
1,WEEKDAY,3,0.3645,0.0749,0.5282,0.0142,0.0178,0.0755,0.1430,0.3443,0.1268,0.1774,0.0576,0.0215
1,WEEKDAY,4,0.3831,0.0735,0.5292,0.0185,0.0304,0.0789,0.1430,0.3696,0.1331,0.1887,0.0705,0.0261
1,WEEKDAY,5,0.4142,0.0740,0.5290,0.0332,0.0637,0.0838,0.1430,0.4390,0.1434,0.2205,0.1004,0.0361
1,WEEKDAY,6,0.4140,0.0740,0.5281,0.0398,0.0816,0.0865,0.0962,0.5843,0.1552,0.2668,0.1189,0.0417
1,WEEKDAY,7,0.4110,0.0700,0.5270,0.0398,0.0912,0.0883,0.0288,0.6564,0.1656,0.2981,0.1261,0.0435
1,WEEKDAY,8,0.3127,0.0927,0.5360,0.0369,0.0845,0.0897,0.0288,0.6637,0.1714,0.3195,0.1287,0.0441
1,WEEKDAY,9,0.2496,0.1339,0.5376,0.0399,0.0856,0.0924,0.0288,0.6655,0.1732,0.3315,0.1289,0.0441
1,WEEKDAY,10,0.2202,0.2136,0.5401,0.0399,0.0922,0.0935,0.0288,0.6648,0.1738,0.3383,0.1290,0.0441
1,WEEKDAY,11,0.1994,0.3072,0.5436,0.0364,0.0961,0.0944,0.0288,0.6628,0.1738,0.3383,0.1291,0.0441
1,WEEKDAY,12,0.1911,0.3878,0.5477,0.0392,0.1018,0.0957,0.0288,0.6646,0.1737,0.3383,0.1291,0.0441
1,WEEKDAY,13,0.1818,0.4528,0.5520,0.0392,0.0989,0.0959,0.0288,0.6635,0.1729,0.3371,0.1290,0.0441
1,WEEKDAY,14,0.1756,0.4836,0.5543,0.0378,0.0922,0.0970,0.0288,0.6582,0.1715,0.3346,0.1288,0.0441
1,WEEKDAY,15,0.1789,0.4556,0.5521,0.0353,0.0893,0.0966,0.0288,0.6518,0.1686,0.3181,0.1269,0.0438
1,WEEKDAY,16,0.1921,0.3546,0.5433,0.0322,0.0909,0.0947,0.0288,0.6368,0.1633,0.2839,0.1109,0.0386
1,WEEKDAY,17,0.2071,0.2564,0.5389,0.0301,0.0947,0.0925,0.0910,0.6183,0.1504,0.2567,0.0925,0.0322
