Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.1856,0.1214,0.1604,0.0324,0.0001,0.0470,0.2847,0.1649,0.5058,0.0568,0.0084,0.0017,0.0036
1,WEEKDAY,1,0.2217,0.1195,0.1705,0.0324,0.0001,0.0470,0.2846,0.1631,0.5058,0.0568,0.0084,0.0017,0.0036
1,WEEKDAY,2,0.2834,0.1196,0.1818,0.0326,0.0002,0.0470,0.2846,0.1633,0.5075,0.0570,0.0084,0.0036,0.0044
1,WEEKDAY,3,0.2917,0.1217,0.1859,0.0333,0.0002,0.0472,0.2846,0.1684,0.5164,0.0580,0.0084,0.0137,0.0088
1,WEEKDAY,4,0.3138,0.1229,0.1890,0.0338,0.0003,0.0473,0.2846,0.1929,0.5205,0.0587,0.0109,0.0177,0.0106
1,WEEKDAY,5,0.3492,0.1233,0.1791,0.0351,0.0006,0.0475,0.2846,0.2384,0.5313,0.0633,0.0357,0.0203,0.0121
1,WEEKDAY,6,0.2892,0.1552,0.2144,0.0380,0.0032,0.0483,0.2846,0.4619,0.5890,0.0850,0.1049,0.0281,0.0158
1,WEEKDAY,7,0.9095,0.1629,0.2823,0.0454,0.0089,0.0506,0.1681,0.7543,0.7021,0.1271,0.1394,0.0500,0.0260
1,WEEKDAY,8,0.7134,0.1651,0.3816,0.0532,0.0142,0.0530,0.0000,0.9725,0.7914,0.1728,0.1524,0.0611,0.0534
1,WEEKDAY,9,0.6380,0.1934,0.3737,0.0606,0.0172,0.0545,0.0000,1.0565,0.8432,0.2036,0.1579,0.0660,0.0895
1,WEEKDAY,10,0.4696,0.2158,0.3754,0.0623,0.0183,0.0549,0.0000,1.0708,0.8634,0.2175,0.1600,0.0682,0.1084
1,WEEKDAY,11,0.3099,0.2473,0.3754,0.0618,0.0184,0.0549,0.0000,1.0583,0.8670,0.2199,0.1603,0.0685,0.1132
1,WEEKDAY,12,0.2174,0.2735,0.3768,0.0625,0.0181,0.0548,0.0000,1.0563,0.8669,0.2199,0.1603,0.0685,0.1136
1,WEEKDAY,13,0.1854,0.3180,0.3791,0.0617,0.0177,0.0546,0.0000,1.0611,0.8631,0.2193,0.1598,0.0685,0.1134
1,WEEKDAY,14,0.1547,0.3428,0.3811,0.0607,0.0168,0.0542,0.0000,1.0614,0.8527,0.2155,0.1561,0.0671,0.1121
1,WEEKDAY,15,0.1364,0.3388,0.3805,0.0594,0.0153,0.0535,0.0000,1.0349,0.8273,0.2048,0.1442,0.0606,0.1083
1,WEEKDAY,16,0.2551,0.2685,0.3758,0.0571,0.0127,0.0525,0.0000,0.9654,0.7830,0.1839,0.1207,0.0478,0.0971
1,WEEKDAY,17,0.3620,0.2237,0.3544,0.0536,0.0090,0.0510,0.2520,0.7823,0.7149,0.1531,0.0843,0.0333,0.0798
1,WEEKDAY,18,0.3183,0.1857,0.1995,0.0478,0.0042,0.0492,0.2520,0.5651,0.5973,0.1112,0.0408,0.0235,0.0563
1,WEEKDAY,19,0.3394,0.1784,0.1866,0.0410,0.0012,0.0478,0.2916,0.3910,0.5325,0.0742,0.0184,0.0174,0.0270
1,WEEKDAY,20,0.0523,0.1730,0.1547,0.0352,0.0003,0.0473,0.2916,0.3057,0.5157,0.0596,0.0107,0.0109,0.0098
1,WEEKDAY,21,0.0667,0.1681,0.1573,0.0328,0.0002,0.0470,0.2916,0.2549,0.5072,0.0570,0.0087,0.0031,0.0042
1,WEEKDAY,22,0.0989,0.1529,0.1578,0.0324,0.0001,0.0470,0.2846,0.2311,0.5058,0.0568,0.0084,0.0017,0.0036
1,WEEKDAY,23,0.1182,0.1417,0.1595,0.0324,0.0001,0.0470,0.2846,0.1855,0.5058,0.0568,0.0084,0.0017,0.0036
1,SATURDAY,0,0.0368,0.1213,0.1351,0.0324,0.0001,0.0470,0.2847,0.1589,0.5058,0.0568,0.0084,0.0017,0.0036
1,SATURDAY,1,0.0484,0.1164,0.1377,0.0324,0.0001,0.0470,0.2846,0.1589,0.5058,0.0568,0.0084,0.0019,0.0037
