Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.1078,0.0045,0.1728,0.0171,0.0037,0.1347,0.2635,0.2546,0.0177,0.0358,0.0227,0.0083
1,WEEKDAY,1,0.1255,0.0033,0.1762,0.0171,0.0036,0.1345,0.2600,0.2357,0.0176,0.0355,0.0227,0.0083
1,WEEKDAY,2,0.1384,0.0021,0.1780,0.0171,0.0041,0.1344,0.2600,0.2401,0.0179,0.0356,0.0227,0.0083
1,WEEKDAY,3,0.1572,0.0017,0.1827,0.0173,0.0066,0.1345,0.2600,0.2625,0.0205,0.0362,0.0236,0.0088
1,WEEKDAY,4,0.1805,0.0014,0.1832,0.0188,0.0128,0.1351,0.2600,0.3376,0.0300,0.0413,0.0322,0.0132
1,WEEKDAY,5,0.1550,0.0022,0.1822,0.0235,0.0197,0.1417,0.2600,0.4262,0.0441,0.0618,0.0656,0.0331
1,WEEKDAY,6,0.1661,0.0026,0.1841,0.0345,0.0324,0.1418,0.1203,0.5894,0.0688,0.0954,0.1395,0.0785
1,WEEKDAY,7,0.1407,0.0379,0.2588,0.0496,0.0463,0.1422,0.0040,0.8324,0.0961,0.1350,0.1901,0.1084
1,WEEKDAY,8,0.1726,0.0691,0.3435,0.0619,0.0589,0.1421,0.0040,1.0886,0.1169,0.1746,0.2182,0.1274
1,WEEKDAY,9,0.1251,0.1544,0.3707,0.0657,0.0627,0.1495,0.0048,1.1595,0.1310,0.1925,0.2379,0.1442
1,WEEKDAY,10,0.0688,0.2810,0.3957,0.0683,0.0628,0.1512,0.0048,1.1765,0.1382,0.2007,0.2456,0.1508
1,WEEKDAY,11,0.0558,0.3707,0.3975,0.0710,0.0640,0.1531,0.0048,1.1714,0.1406,0.2046,0.2466,0.1517
1,WEEKDAY,12,0.0483,0.4633,0.4011,0.0707,0.0642,0.1597,0.0048,1.1758,0.1409,0.2047,0.2466,0.1517
1,WEEKDAY,13,0.0459,0.5212,0.4047,0.0687,0.0625,0.1600,0.0048,1.1804,0.1405,0.2046,0.2462,0.1515
1,WEEKDAY,14,0.0463,0.5476,0.4064,0.0695,0.0612,0.1656,0.0048,1.1836,0.1393,0.2033,0.2421,0.1490
1,WEEKDAY,15,0.0445,0.5358,0.4061,0.0682,0.0572,0.1652,0.0048,1.1703,0.1336,0.2007,0.2273,0.1401
1,WEEKDAY,16,0.0453,0.4587,0.4013,0.0621,0.0509,0.1587,0.0048,1.1150,0.1224,0.1885,0.1914,0.1171
1,WEEKDAY,17,0.0510,0.3847,0.3948,0.0531,0.0428,0.1574,0.1603,1.0440,0.1057,0.1739,0.1315,0.0763
1,WEEKDAY,18,0.0547,0.3197,0.3792,0.0442,0.0342,0.1506,0.2360,0.8963,0.0849,0.1453,0.0881,0.0473
1,WEEKDAY,19,0.0708,0.2498,0.3713,0.0377,0.0260,0.1499,0.3076,0.7452,0.0631,0.1239,0.0644,0.0316
1,WEEKDAY,20,0.0785,0.1743,0.3529,0.0320,0.0192,0.1495,0.2916,0.6613,0.0482,0.1020,0.0487,0.0206
1,WEEKDAY,21,0.0808,0.0875,0.3292,0.0247,0.0125,0.1427,0.2916,0.4853,0.0381,0.0745,0.0369,0.0134
1,WEEKDAY,22,0.1023,0.0158,0.2871,0.0205,0.0080,0.1418,0.2672,0.3730,0.0289,0.0539,0.0272,0.0087
1,WEEKDAY,23,0.0827,0.0051,0.1920,0.0177,0.0047,0.1350,0.2704,0.2892,0.0200,0.0458,0.0234,0.0084
1,SATURDAY,0,0.0696,0.0047,0.1637,0.0171,0.0037,0.1347,0.2635,0.2544,0.0177,0.0357,0.0227,0.0083
1,SATURDAY,1,0.0903,0.0035,0.1664,0.0171,0.0036,0.1345,0.2600,0.2356,0.0175,0.0355,0.0227,0.0083
1,SATURDAY,2,0.1043,0.0027,0.1645,0.0171,0.0038,0.1344,0.2600,0.2383,0.0177,0.0355,0.0227,0.0083
1,SATURDAY,3,0.1168,0.0022,0.1713,0.0172,0.0051,0.1343,0.2600,0.2504,0.0196,0.0357,0.0237,0.0087
1,SATURDAY,4,0.1349,0.0016,0.1720,0.0184,0.0088,0.1347,0.2600,0.3001,0.0268,0.0366,0.0302,0.0114
1,SATURDAY,5,0.1166,0.0025,0.1701,0.0218,0.0154,0.1413,0.2600,0.3858,0.0356,0.0400,0.0422,0.0169
1,SATURDAY,6,0.1043,0.0027,0.1814,0.0283,0.0239,0.1412,0.1203,0.4783,0.0492,0.0542,0.0747,0.0365
1,SATURDAY,7,0.0828,0.0108,0.2358,0.0400,0.0367,0.1411,0.0040,0.6546,0.0691,0.1025,0.1505,0.0846
1,SATURDAY,8,0.0855,0.0614,0.3178,0.0493,0.0489,0.1407,0.0040,0.8869,0.0901,0.1478,0.1933,0.1137
1,SATURDAY,9,0.0769,0.1856,0.3545,0.0559,0.0565,0.1483,0.0048,1.0700,0.1083,0.1759,0.2191,0.1330
1,SATURDAY,10,0.0521,0.3046,0.3789,0.0599,0.0574,0.1500,0.0048,1.1477,0.1203,0.1897,0.2323,0.1457
1,SATURDAY,11,0.0458,0.4569,0.3859,0.0625,0.0543,0.1516,0.0048,1.1305,0.1223,0.1914,0.2362,0.1497
1,SATURDAY,12,0.0411,0.5602,0.3892,0.0627,0.0511,0.1579,0.0048,1.0979,0.1199,0.1882,0.2319,0.1472
1,SATURDAY,13,0.0411,0.6303,0.3938,0.0611,0.0472,0.1581,0.0048,1.0758,0.1176,0.1794,0.2200,0.1396
1,SATURDAY,14,0.0391,0.6594,0.3980,0.0596,0.0440,0.1637,0.0048,1.0674,0.1153,0.1663,0.1992,0.1264
1,SATURDAY,15,0.0385,0.6354,0.3962,0.0548,0.0421,0.1636,0.0048,1.0514,0.1091,0.1513,0.1651,0.1044
1,SATURDAY,16,0.0391,0.5577,0.3903,0.0486,0.0374,0.1573,0.0048,0.9977,0.0937,0.1277,0.1118,0.0693
1,SATURDAY,17,0.0395,0.4495,0.3854,0.0431,0.0298,0.1563,0.1603,0.8871,0.0752,0.1277,0.0791,0.0454
1,SATURDAY,18,0.0413,0.3453,0.3700,0.0383,0.0218,0.1498,0.2360,0.7293,0.0606,0.1194,0.0607,0.0321
1,SATURDAY,19,0.0488,0.2632,0.3581,0.0342,0.0163,0.1493,0.3076,0.6426,0.0510,0.0985,0.0482,0.0209
