Month,Daytype,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0659,0.0078,0.1217,0.0097,0.1884,0.3346,0.1546,0.0633,0.0235,0.0147,0.0030
1,WEEKDAY,1,0.0677,0.0052,0.1217,0.0080,0.1841,0.3346,0.1483,0.0628,0.0227,0.0110,0.0021
1,WEEKDAY,2,0.0690,0.0039,0.1217,0.0079,0.1823,0.3346,0.1470,0.0654,0.0224,0.0097,0.0019
1,WEEKDAY,3,0.0726,0.0024,0.1217,0.0088,0.1836,0.3346,0.1614,0.0799,0.0227,0.0097,0.0019
1,WEEKDAY,4,0.0734,0.0019,0.1217,0.0603,0.1905,0.3346,0.2496,0.0880,0.0239,0.0122,0.0022
1,WEEKDAY,5,0.0746,0.0013,0.1218,0.0839,0.1988,0.3346,0.3028,0.0925,0.0402,0.0244,0.0043
1,WEEKDAY,6,0.0747,0.0144,0.1843,0.1281,0.2041,0.3346,0.3361,0.0953,0.0684,0.0321,0.0061
1,WEEKDAY,7,0.0731,0.0115,0.1862,0.1677,0.2076,0.0000,0.4179,0.0972,0.0753,0.0345,0.0071
1,WEEKDAY,8,0.0621,0.0288,0.1871,0.1310,0.2102,0.0000,0.3956,0.0982,0.0761,0.0344,0.0073
1,WEEKDAY,9,0.0755,0.0673,0.1884,0.0945,0.2131,0.0000,0.4750,0.0978,0.0617,0.0329,0.0071
1,WEEKDAY,10,0.0620,0.0809,0.1905,0.0595,0.2140,0.0000,0.4357,0.0960,0.0505,0.0316,0.0070
1,WEEKDAY,11,0.0343,0.1232,0.1932,0.0604,0.2143,0.0000,0.4149,0.0948,0.0506,0.0311,0.0069
1,WEEKDAY,12,0.0301,0.1582,0.1956,0.0606,0.2149,0.0000,0.4280,0.0947,0.0506,0.0311,0.0069
1,WEEKDAY,13,0.0312,0.2023,0.1971,0.0596,0.2150,0.0000,0.4280,0.0959,0.0506,0.0310,0.0069
1,WEEKDAY,14,0.0266,0.2221,0.1987,0.0587,0.2155,0.0000,0.4280,0.0981,0.0506,0.0315,0.0070
1,WEEKDAY,15,0.0264,0.2080,0.1968,0.0585,0.2156,0.0000,0.4322,0.0989,0.0508,0.0322,0.0070
1,WEEKDAY,16,0.0325,0.1580,0.1927,0.0600,0.2150,0.0000,0.5090,0.0989,0.0567,0.0312,0.0069
1,WEEKDAY,17,0.0481,0.1278,0.1917,0.1171,0.2139,0.3346,0.5313,0.0984,0.0598,0.0297,0.0067
1,WEEKDAY,18,0.0516,0.0969,0.1913,0.1353,0.2116,0.3346,0.6308,0.0975,0.0771,0.0391,0.0079
1,WEEKDAY,19,0.0434,0.0750,0.1905,0.0606,0.2099,0.3346,0.6699,0.0957,0.0828,0.0410,0.0082
1,WEEKDAY,20,0.0442,0.0587,0.1893,0.0574,0.2069,0.3346,0.6723,0.0906,0.0675,0.0419,0.0083
1,WEEKDAY,21,0.0454,0.0384,0.1867,0.0543,0.2012,0.3346,0.5589,0.0756,0.0604,0.0387,0.0078
1,WEEKDAY,22,0.0503,0.0243,0.1362,0.0494,0.1961,0.3346,0.3702,0.0680,0.0384,0.0251,0.0058
1,WEEKDAY,23,0.0573,0.0145,0.1218,0.0429,0.1922,0.3346,0.2939,0.0644,0.0338,0.0171,0.0041
1,SATURDAY,0,0.0621,0.0076,0.1217,0.0097,0.1884,0.3346,0.1546,0.0219,0.0235,0.0147,0.0030
1,SATURDAY,1,0.0661,0.0067,0.1217,0.0080,0.1841,0.3346,0.1483,0.0215,0.0227,0.0110,0.0021
1,SATURDAY,2,0.0702,0.0035,0.1217,0.0078,0.1823,0.3346,0.1467,0.0216,0.0224,0.0097,0.0019
