Month,Daytype,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0000,0.0000,0.0000,0.0000,0.0580,0.1125,0.4847,0.1657,0.0424,0.0000,0.0000
1,WEEKDAY,1,0.0000,0.0000,0.0000,0.0000,0.0580,0.1125,0.4847,0.1657,0.0424,0.0000,0.0000
1,WEEKDAY,2,0.0000,0.0000,0.0000,0.0000,0.0580,0.1125,0.4847,0.1657,0.0424,0.0000,0.0000
1,WEEKDAY,3,0.0000,0.0000,0.0000,0.0000,0.0581,0.1125,0.4895,0.1657,0.0424,0.0000,0.0000
1,WEEKDAY,4,0.0000,0.0000,0.0000,0.0015,0.0582,0.1125,0.5414,0.1723,0.0449,0.0010,0.0005
1,WEEKDAY,5,0.0000,0.0000,0.0000,0.0130,0.0602,0.1125,0.7060,0.2200,0.0620,0.0102,0.0049
1,WEEKDAY,6,0.0000,0.0000,0.0000,0.0362,0.0624,0.1125,0.8568,0.3072,0.0897,0.0342,0.0165
1,WEEKDAY,7,0.0729,0.4381,0.4450,0.0512,0.0641,0.0000,0.9262,0.3617,0.1108,0.0463,0.0224
1,WEEKDAY,8,0.0903,0.4349,0.4674,0.0572,0.0647,0.0000,0.9577,0.3922,0.1224,0.0509,0.0246
1,WEEKDAY,9,0.0939,0.4588,0.4635,0.0588,0.0659,0.0000,0.9693,0.4078,0.1266,0.0528,0.0255
1,WEEKDAY,10,0.0909,0.5306,0.4549,0.0589,0.0662,0.0000,0.9659,0.4135,0.1271,0.0536,0.0259
1,WEEKDAY,11,0.0917,0.5410,0.4493,0.0587,0.0668,0.0000,0.9598,0.4142,0.1271,0.0536,0.0259
1,WEEKDAY,12,0.0938,0.5854,0.4506,0.0578,0.0681,0.0000,0.9599,0.4128,0.1271,0.0536,0.0259
1,WEEKDAY,13,0.0931,0.6314,0.4481,0.0560,0.0682,0.0000,0.9624,0.4043,0.1263,0.0534,0.0258
1,WEEKDAY,14,0.0942,0.6615,0.4478,0.0515,0.0691,0.0000,0.9613,0.3901,0.1201,0.0507,0.0245
1,WEEKDAY,15,0.0955,0.6541,0.4460,0.0423,0.0685,0.0000,0.9325,0.3510,0.1057,0.0415,0.0200
1,WEEKDAY,16,0.0962,0.6477,0.4416,0.0273,0.0659,0.0000,0.8769,0.2867,0.0838,0.0253,0.0122
1,WEEKDAY,17,0.0000,0.0000,0.0000,0.0092,0.0635,0.1125,0.8144,0.2098,0.0582,0.0090,0.0043
1,WEEKDAY,18,0.0000,0.0000,0.0000,0.0010,0.0610,0.1125,0.7148,0.1710,0.0443,0.0011,0.0005
