Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0711,0.0022,0.1766,0.0038,0.0004,0.1417,0.0495,0.1177,0.0101,0.0301,0.0076,0.0549,0.0066
1,WEEKDAY,1,0.0836,0.0019,0.1779,0.0037,0.0005,0.1419,0.0494,0.1128,0.0100,0.0285,0.0029,0.0541,0.0063
1,WEEKDAY,2,0.1037,0.0020,0.1459,0.0039,0.0007,0.1418,0.0484,0.1205,0.0103,0.0281,0.0029,0.0585,0.0069
1,WEEKDAY,3,0.1102,0.0014,0.1483,0.0043,0.0009,0.1417,0.0484,0.1414,0.0120,0.0306,0.0217,0.0663,0.0081
1,WEEKDAY,4,0.1270,0.0019,0.1536,0.0057,0.0012,0.1421,0.0484,0.2190,0.0172,0.0414,0.1240,0.0909,0.0135
1,WEEKDAY,5,0.1505,0.0039,0.1707,0.0075,0.0019,0.1507,0.0462,0.3030,0.0246,0.0531,0.1919,0.1164,0.0198
1,WEEKDAY,6,0.2349,0.0071,0.2090,0.0099,0.0029,0.1496,0.0384,0.4015,0.0342,0.0658,0.2308,0.1334,0.0253
1,WEEKDAY,7,0.3728,0.0163,0.2320,0.0121,0.0039,0.1464,0.0007,0.4492,0.0439,0.0751,0.2494,0.1435,0.0292
1,WEEKDAY,8,0.4382,0.0228,0.2792,0.0133,0.0046,0.1454,0.0007,0.4536,0.0497,0.0791,0.2522,0.1475,0.0309
1,WEEKDAY,9,0.4359,0.0372,0.2757,0.0134,0.0048,0.1557,0.0007,0.4471,0.0514,0.0797,0.2522,0.1466,0.0310
1,WEEKDAY,10,0.3447,0.0639,0.2602,0.0135,0.0049,0.1597,0.0007,0.4465,0.0518,0.0797,0.2522,0.1466,0.0310
1,WEEKDAY,11,0.2620,0.0928,0.2510,0.0137,0.0049,0.1640,0.0007,0.4455,0.0519,0.0797,0.2522,0.1466,0.0310
1,WEEKDAY,12,0.1998,0.1236,0.2450,0.0137,0.0048,0.1746,0.0007,0.4473,0.0518,0.0799,0.2522,0.1482,0.0311
1,WEEKDAY,13,0.1532,0.1489,0.2428,0.0133,0.0048,0.1764,0.0007,0.4501,0.0514,0.0799,0.2522,0.1488,0.0311
1,WEEKDAY,14,0.1286,0.1695,0.2430,0.0132,0.0047,0.1854,0.0007,0.4535,0.0505,0.0796,0.2522,0.1492,0.0313
1,WEEKDAY,15,0.1190,0.1656,0.2413,0.0133,0.0042,0.1857,0.0007,0.4500,0.0476,0.0794,0.2522,0.1487,0.0310
1,WEEKDAY,16,0.1236,0.1353,0.2394,0.0129,0.0035,0.1764,0.0009,0.4327,0.0416,0.0778,0.2520,0.1454,0.0297
1,WEEKDAY,17,0.0678,0.0890,0.2226,0.0107,0.0027,0.1732,0.0402,0.3765,0.0330,0.0740,0.2513,0.1350,0.0265
1,WEEKDAY,18,0.0503,0.0477,0.2063,0.0080,0.0020,0.1625,0.0514,0.3105,0.0251,0.0645,0.2488,0.1169,0.0225
1,WEEKDAY,19,0.0334,0.0270,0.1927,0.0061,0.0015,0.1604,0.0528,0.2589,0.0195,0.0558,0.2418,0.0956,0.0186
1,WEEKDAY,20,0.0393,0.0189,0.1887,0.0047,0.0010,0.1593,0.0529,0.2053,0.0153,0.0469,0.2266,0.0776,0.0128
1,WEEKDAY,21,0.0460,0.0077,0.1812,0.0043,0.0006,0.1505,0.0529,0.1704,0.0128,0.0389,0.1983,0.0677,0.0106
1,WEEKDAY,22,0.0457,0.0047,0.1783,0.0045,0.0005,0.1510,0.0529,0.1544,0.0117,0.0366,0.1496,0.0624,0.0114
1,WEEKDAY,23,0.0564,0.0033,0.1780,0.0040,0.0005,0.1422,0.0521,0.1301,0.0106,0.0343,0.0490,0.0589,0.0087
1,SATURDAY,0,0.0301,0.0040,0.1102,0.0037,0.0004,0.1417,0.0495,0.0986,0.0099,0.0251,0.0029,0.0456,0.0066
1,SATURDAY,1,0.0435,0.0031,0.1105,0.0037,0.0004,0.1418,0.0494,0.0989,0.0100,0.0252,0.0029,0.0432,0.0059
1,SATURDAY,2,0.0511,0.0023,0.0789,0.0038,0.0004,0.1416,0.0484,0.1027,0.0106,0.0263,0.0029,0.0419,0.0068
1,SATURDAY,3,0.0685,0.0020,0.0801,0.0039,0.0005,0.1414,0.0484,0.1178,0.0119,0.0290,0.0029,0.0424,0.0098
1,SATURDAY,4,0.0889,0.0017,0.0842,0.0040,0.0005,0.1412,0.0484,0.1350,0.0130,0.0315,0.0029,0.0471,0.0106
