Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.0573,0.0000,0.1100,0.0052,0.0040,0.0427,0.1318,0.1167,0.0242,0.0188,0.0122
1,WEEKDAY,1,0.0605,0.0000,0.1282,0.0052,0.0040,0.0427,0.1318,0.1167,0.0242,0.0188,0.0122
1,WEEKDAY,2,0.0640,0.0000,0.1176,0.0052,0.0040,0.0428,0.1067,0.1167,0.0242,0.0190,0.0122
1,WEEKDAY,3,0.0665,0.0000,0.1472,0.0052,0.0040,0.0428,0.1067,0.1176,0.0242,0.0207,0.0122
1,WEEKDAY,4,0.0691,0.0000,0.1351,0.0059,0.0047,0.0429,0.0929,0.1255,0.0245,0.0260,0.0128
1,WEEKDAY,5,0.1950,0.0000,0.1607,0.0101,0.0102,0.0439,0.0929,0.2012,0.0267,0.0372,0.0174
1,WEEKDAY,6,0.2162,0.0000,0.3267,0.0190,0.0293,0.0452,0.0929,0.4066,0.0356,0.0542,0.0289
1,WEEKDAY,7,0.2184,0.0000,0.3376,0.0331,0.0484,0.0469,0.0419,0.5768,0.0572,0.0789,0.0435
1,WEEKDAY,8,0.1606,0.0020,0.4127,0.0478,0.0714,0.0491,0.0000,0.7853,0.0944,0.1069,0.0574
1,WEEKDAY,9,0.1176,0.0244,0.4146,0.0470,0.0816,0.0509,0.0000,0.8501,0.1325,0.1253,0.0630
1,WEEKDAY,10,0.0877,0.0568,0.4172,0.0468,0.0809,0.0514,0.0000,0.8522,0.1401,0.1289,0.0639
1,WEEKDAY,11,0.0707,0.0907,0.4180,0.0499,0.0853,0.0516,0.0000,0.8458,0.1384,0.1247,0.0626
1,WEEKDAY,12,0.0493,0.1168,0.4176,0.0465,0.0777,0.0516,0.0000,0.8317,0.1342,0.1108,0.0593
1,WEEKDAY,13,0.0422,0.1315,0.4158,0.0390,0.0495,0.0508,0.0000,0.7745,0.1099,0.0924,0.0529
1,WEEKDAY,14,0.0715,0.1210,0.4144,0.0277,0.0376,0.0505,0.0000,0.6786,0.0735,0.0756,0.0456
1,WEEKDAY,15,0.0522,0.0798,0.2602,0.0158,0.0246,0.0485,0.0000,0.6080,0.0465,0.0580,0.0389
1,WEEKDAY,16,0.0589,0.0246,0.1888,0.0102,0.0151,0.0465,0.0008,0.4704,0.0310,0.0439,0.0332
1,WEEKDAY,17,0.0674,0.0000,0.0668,0.0071,0.0099,0.0454,0.0954,0.2552,0.0254,0.0336,0.0280
1,WEEKDAY,18,0.0746,0.0000,0.0567,0.0056,0.0069,0.0443,0.1092,0.1799,0.0243,0.0275,0.0238
1,WEEKDAY,19,0.0882,0.0000,0.0658,0.0053,0.0049,0.0440,0.1318,0.1551,0.0242,0.0227,0.0194
1,WEEKDAY,20,0.0953,0.0000,0.0766,0.0052,0.0041,0.0439,0.1318,0.1479,0.0242,0.0201,0.0159
1,WEEKDAY,21,0.1068,0.0000,0.0719,0.0052,0.0040,0.0433,0.1318,0.1439,0.0242,0.0191,0.0132
1,WEEKDAY,22,0.0342,0.0000,0.0703,0.0052,0.0040,0.0432,0.1318,0.1158,0.0242,0.0188,0.0123
1,WEEKDAY,23,0.0455,0.0000,0.0818,0.0052,0.0040,0.0427,0.1318,0.1158,0.0242,0.0188,0.0122
1,SATURDAY,0,0.0390,0.0000,0.0810,0.0052,0.0041,0.0427,0.1318,0.1140,0.0243,0.0192,0.0122
1,SATURDAY,1,0.0569,0.0000,0.0821,0.0052,0.0041,0.0427,0.1318,0.1140,0.0243,0.0192,0.0122
1,SATURDAY,2,0.0605,0.0000,0.0912,0.0052,0.0041,0.0428,0.1067,0.1140,0.0243,0.0192,0.0122
1,SATURDAY,3,0.0641,0.0000,0.0999,0.0052,0.0041,0.0428,0.1067,0.1140,0.0243,0.0192,0.0122
1,SATURDAY,4,0.0664,0.0000,0.0923,0.0052,0.0041,0.0428,0.0929,0.1140,0.0243,0.0192,0.0122
1,SATURDAY,5,0.0686,0.0000,0.0878,0.0052,0.0041,0.0432,0.0929,0.1140,0.0243,0.0192,0.0122
1,SATURDAY,6,0.0692,0.0000,0.1088,0.0058,0.0042,0.0432,0.0929,0.1257,0.0244,0.0198,0.0126
