Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0262,0.2612,0.0418,0.0816,1.6736,0.7179,0.7564,0.0253,0.0486,0.4235,0.0938
1,WEEKDAY,1,0.0122,0.2539,0.0418,0.0620,1.6729,0.7179,0.7281,0.0174,0.0404,0.4235,0.0938
1,WEEKDAY,2,0.0011,0.2479,0.0433,0.0340,1.6697,0.7179,0.7223,0.0127,0.0326,0.4235,0.0938
1,WEEKDAY,3,0.0003,0.2503,0.0541,0.0763,1.6725,0.7179,0.7249,0.0132,0.0416,0.4235,0.0940
1,WEEKDAY,4,0.0100,0.2550,0.0840,0.1743,1.6836,0.7179,0.7459,0.0211,0.0896,0.4495,0.1009
1,WEEKDAY,5,0.0250,0.2648,0.1520,0.3166,1.7838,0.7179,0.8197,0.0329,0.1347,0.5275,0.1207
1,WEEKDAY,6,0.0353,0.2676,0.1960,0.4733,1.7791,0.6326,0.9471,0.0462,0.1715,0.6678,0.1557
1,WEEKDAY,7,0.0478,0.2783,0.2085,0.5379,1.7487,0.0000,1.1644,0.0598,0.1972,0.8208,0.1960
1,WEEKDAY,8,0.0504,0.3359,0.2077,0.5508,1.7175,0.0000,1.2334,0.0688,0.2035,0.8990,0.2228
1,WEEKDAY,9,0.0627,0.3372,0.2043,0.5521,1.8145,0.0000,1.2396,0.0723,0.2039,0.9122,0.2308
1,WEEKDAY,10,0.0698,0.3394,0.2007,0.5520,1.8405,0.0000,1.2396,0.0730,0.2039,0.9122,0.2319
1,WEEKDAY,11,0.0869,0.3417,0.1989,0.5507,1.8792,0.0000,1.2396,0.0730,0.2039,0.9122,0.2320
1,WEEKDAY,12,0.1059,0.3439,0.1982,0.5362,1.9934,0.0000,1.2396,0.0730,0.2039,0.9122,0.2320
1,WEEKDAY,13,0.1173,0.3456,0.1966,0.4819,2.0251,0.0000,1.2396,0.0730,0.2039,0.9122,0.2320
1,WEEKDAY,14,0.1463,0.3467,0.1989,0.4155,2.1420,0.0000,1.2355,0.0730,0.2039,0.9122,0.2320
1,WEEKDAY,15,0.1429,0.3470,0.2026,0.3790,2.1670,0.0000,1.2144,0.0730,0.2039,0.9122,0.2319
1,WEEKDAY,16,0.1427,0.3463,0.2068,0.3596,2.0886,0.0000,1.2129,0.0729,0.2031,0.9122,0.2314
